,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
50006,2016,2015-16,1610612755,Philadelphia 76ers,203924,Jerami Grant,F,PF,03-06-2016,21500935,MIA,PHI,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.0,7.35,2,4,0,4
50011,2016,2015-16,1610612755,Philadelphia 76ers,203138,Hollis Thompson,G,SG,03-06-2016,21500935,MIA,PHI,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-3.0,6.85,3,4,0,13
50030,2016,2015-16,1610612755,Philadelphia 76ers,202397,Ish Smith,G,PG,03-06-2016,21500935,MIA,PHI,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,10.4,27.65,24,4,0,42
50037,2016,2015-16,1610612748,Miami Heat,202355,Hassan Whiteside,C,C,03-06-2016,21500935,MIA,PHI,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,1,0
50042,2016,2015-16,1610612755,Philadelphia 76ers,202397,Ish Smith,G,PG,03-06-2016,21500935,MIA,PHI,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,16.8,5.15,16,4,1,24
50044,2016,2015-16,1610612748,Miami Heat,201609,Goran Dragic,G,PG,03-06-2016,21500935,MIA,PHI,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.5,4.25,23,4,1,39
50046,2016,2015-16,1610612755,Philadelphia 76ers,202397,Ish Smith,G,PG,03-06-2016,21500935,MIA,PHI,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.2,7.05,2,4,2,2
50049,2016,2015-16,1610612748,Miami Heat,2736,Luol Deng,F,PF,03-06-2016,21500935,MIA,PHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-14.1,25.25,24,4,2,21
50062,2016,2015-16,1610612748,Miami Heat,2548,Dwyane Wade,G,SG,03-06-2016,21500935,MIA,PHI,Missed Shot,False,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,6.35,1,4,2,47
50068,2016,2015-16,1610612755,Philadelphia 76ers,203477,Isaiah Canaan,G,SG,03-06-2016,21500935,MIA,PHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,13.8,26.05,24,4,3,3
50076,2016,2015-16,1610612748,Miami Heat,2548,Dwyane Wade,G,SG,03-06-2016,21500935,MIA,PHI,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,3,21
50078,2016,2015-16,1610612755,Philadelphia 76ers,203496,Robert Covington,F,SF,03-06-2016,21500935,MIA,PHI,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.5,5.55,1,4,3,26
50082,2016,2015-16,1610612755,Philadelphia 76ers,203477,Isaiah Canaan,G,SG,03-06-2016,21500935,MIA,PHI,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.7,5.55,1,4,3,32
50084,2016,2015-16,1610612748,Miami Heat,2736,Luol Deng,F,PF,03-06-2016,21500935,MIA,PHI,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.2,6.55,1,4,3,52
50091,2016,2015-16,1610612755,Philadelphia 76ers,201171,Carl Landry,F,PF,03-06-2016,21500935,MIA,PHI,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.5,5.45,2,4,3,59
