,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
115710,2016,2015-16,1610612756,Phoenix Suns,203141,Mirza Teletovic,F,PF,01-08-2016,21500547,PHX,MIA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-6.9,28.65,24,4,0,23
115714,2016,2015-16,1610612756,Phoenix Suns,203141,Mirza Teletovic,F,PF,01-08-2016,21500547,PHX,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-4.2,29.95,25,4,0,27
115720,2016,2015-16,1610612748,Miami Heat,1626159,Justise Winslow,F,SF,01-08-2016,21500547,PHX,MIA,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,0,37
115726,2016,2015-16,1610612756,Phoenix Suns,202688,Brandon Knight,G,SG,01-08-2016,21500547,PHX,MIA,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,5.45,0,4,0,57
115731,2016,2015-16,1610612756,Phoenix Suns,2199,Tyson Chandler,C,C,01-08-2016,21500547,PHX,MIA,Missed Shot,False,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.9,7.35,2,4,1,2
115757,2016,2015-16,1610612756,Phoenix Suns,1626164,Devin Booker,G,SG,01-08-2016,21500547,PHX,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-12.7,27.55,25,4,1,34
115764,2016,2015-16,1610612756,Phoenix Suns,202688,Brandon Knight,G,SG,01-08-2016,21500547,PHX,MIA,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,21.9,17.65,25,4,1,38
115778,2016,2015-16,1610612748,Miami Heat,2547,Chris Bosh,F,PF,01-08-2016,21500547,PHX,MIA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-11.7,26.55,24,4,1,51
115780,2016,2015-16,1610612756,Phoenix Suns,202688,Brandon Knight,G,SG,01-08-2016,21500547,PHX,MIA,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-6.6,21.15,17,4,2,13
115783,2016,2015-16,1610612748,Miami Heat,2548,Dwyane Wade,G,SG,01-08-2016,21500547,PHX,MIA,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-16.6,9.85,17,4,2,25
