,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
61548,2016,2015-16,1610612758,Sacramento Kings,201954,Darren Collison,G,PG,02-26-2016,21500867,SAC,LAC,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,14.2,27.05,26,4,0,4
61549,2016,2015-16,1610612746,LA Clippers,201145,Jeff Green,F,SF,02-26-2016,21500867,SAC,LAC,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-13.8,17.25,18,4,0,15
61551,2016,2015-16,1610612746,LA Clippers,2037,Jamal Crawford,G,SG,02-26-2016,21500867,SAC,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.5,5.45,22,4,0,49
61552,2016,2015-16,1610612758,Sacramento Kings,203552,Seth Curry,G,PG,02-26-2016,21500867,SAC,LAC,Made Shot,True,Fadeaway Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-4.3,30.45,25,4,1,12
61555,2016,2015-16,1610612758,Sacramento Kings,201956,Omri Casspi,F,PF,02-26-2016,21500867,SAC,LAC,Missed Shot,False,Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,3.0,9.35,5,4,1,18
61557,2016,2015-16,1610612746,LA Clippers,101108,Chris Paul,G,PG,02-26-2016,21500867,SAC,LAC,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-11.2,18.15,17,4,1,31
61565,2016,2015-16,1610612758,Sacramento Kings,200752,Rudy Gay,F,SF,02-26-2016,21500867,SAC,LAC,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,1,51
61566,2016,2015-16,1610612746,LA Clippers,201599,DeAndre Jordan,C,C,02-26-2016,21500867,SAC,LAC,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-5.8,9.85,7,4,2,4
61567,2016,2015-16,1610612758,Sacramento Kings,201956,Omri Casspi,F,PF,02-26-2016,21500867,SAC,LAC,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.4,7.85,3,4,2,21
61568,2016,2015-16,1610612758,Sacramento Kings,201954,Darren Collison,G,PG,02-26-2016,21500867,SAC,LAC,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.7,15.75,10,4,2,27
