,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
4893,2016,2015-16,1610612759,San Antonio Spurs,201980,Danny Green,G,SG,04-10-2016,21501201,SAS,GSW,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-18.2,25.55,27,4,0,6
4909,2016,2015-16,1610612759,San Antonio Spurs,202695,Kawhi Leonard,F,SF,04-10-2016,21501201,SAS,GSW,Made Shot,True,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,0,20
4911,2016,2015-16,1610612744,Golden State Warriors,2738,Andre Iguodala,F,SF,04-10-2016,21501201,SAS,GSW,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,4.65,0,4,0,33
4923,2016,2015-16,1610612744,Golden State Warriors,2733,Shaun Livingston,G,PG,04-10-2016,21501201,SAS,GSW,Missed Shot,False,Hook Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,9.6,5.25,9,4,1,2
4944,2016,2015-16,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,04-10-2016,21501201,SAS,GSW,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.7,5.25,2,4,1,34
4947,2016,2015-16,1610612744,Golden State Warriors,203084,Harrison Barnes,F,SF,04-10-2016,21501201,SAS,GSW,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,21.7,18.85,25,4,1,50
4948,2016,2015-16,1610612759,San Antonio Spurs,202695,Kawhi Leonard,F,SF,04-10-2016,21501201,SAS,GSW,Made Shot,True,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.9,5.45,0,4,2,9
4952,2016,2015-16,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,04-10-2016,21501201,SAS,GSW,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.7,6.35,2,4,2,22
4955,2016,2015-16,1610612759,San Antonio Spurs,202695,Kawhi Leonard,F,SF,04-10-2016,21501201,SAS,GSW,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.2,14.45,9,4,2,35
4963,2016,2015-16,1610612759,San Antonio Spurs,202695,Kawhi Leonard,F,SF,04-10-2016,21501201,SAS,GSW,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.4,5.95,0,4,2,39
4965,2016,2015-16,1610612744,Golden State Warriors,202691,Klay Thompson,G,SG,04-10-2016,21501201,SAS,GSW,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.1,6.55,1,4,3,1
4967,2016,2015-16,1610612759,San Antonio Spurs,200746,LaMarcus Aldridge,F,PF,04-10-2016,21501201,SAS,GSW,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-16.1,11.35,17,4,3,17
4974,2016,2015-16,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,04-10-2016,21501201,SAS,GSW,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,16.5,27.15,27,4,3,30
4978,2016,2015-16,1610612744,Golden State Warriors,2738,Andre Iguodala,F,SF,04-10-2016,21501201,SAS,GSW,Missed Shot,False,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.0,7.05,2,4,3,53
4979,2016,2015-16,1610612759,San Antonio Spurs,200746,LaMarcus Aldridge,F,PF,04-10-2016,21501201,SAS,GSW,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-14.0,9.35,14,4,4,9
4998,2016,2015-16,1610612759,San Antonio Spurs,2225,Tony Parker,G,PG,04-10-2016,21501201,SAS,GSW,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,1.2,25.05,19,4,4,42
5006,2016,2015-16,1610612744,Golden State Warriors,202691,Klay Thompson,G,SG,04-10-2016,21501201,SAS,GSW,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,5,8
5012,2016,2015-16,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,04-10-2016,21501201,SAS,GSW,Made Shot,True,Jump Bank Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-12.5,18.15,17,4,5,30
5017,2016,2015-16,1610612744,Golden State Warriors,2738,Andre Iguodala,F,SF,04-10-2016,21501201,SAS,GSW,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.1,5.45,0,4,5,37
