,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
152754,2016,2015-16,1610612761,Toronto Raptors,200768,Kyle Lowry,G,PG,12-09-2015,21500323,TOR,SAS,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,4.7,9.35,6,4,0,8
152757,2016,2015-16,1610612759,San Antonio Spurs,201980,Danny Green,G,SG,12-09-2015,21500323,TOR,SAS,Made Shot,True,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.4,5.95,0,4,0,28
152763,2016,2015-16,1610612759,San Antonio Spurs,1938,Manu Ginobili,G,SG,12-09-2015,21500323,TOR,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,15.1,28.45,27,4,0,31
152772,2016,2015-16,1610612759,San Antonio Spurs,200746,LaMarcus Aldridge,F,PF,12-09-2015,21500323,TOR,SAS,Missed Shot,False,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,0,34
152777,2016,2015-16,1610612759,San Antonio Spurs,202695,Kawhi Leonard,F,SF,12-09-2015,21500323,TOR,SAS,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-6.0,6.55,6,4,0,37
152787,2016,2015-16,1610612761,Toronto Raptors,201942,DeMar DeRozan,G,SG,12-09-2015,21500323,TOR,SAS,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.7,7.35,3,4,1,22
152810,2016,2015-16,1610612761,Toronto Raptors,202687,Bismack Biyombo,C,C,12-09-2015,21500323,TOR,SAS,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,1,50
152815,2016,2015-16,1610612759,San Antonio Spurs,1938,Manu Ginobili,G,SG,12-09-2015,21500323,TOR,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,13.8,27.55,26,4,2,14
152822,2016,2015-16,1610612759,San Antonio Spurs,201980,Danny Green,G,SG,12-09-2015,21500323,TOR,SAS,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-24.0,3.75,24,4,2,47
152832,2016,2015-16,1610612761,Toronto Raptors,201942,DeMar DeRozan,G,SG,12-09-2015,21500323,TOR,SAS,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-12.3,19.15,18,4,3,4
152860,2016,2015-16,1610612761,Toronto Raptors,202687,Bismack Biyombo,C,C,12-09-2015,21500323,TOR,SAS,Missed Shot,False,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,3,24
152864,2016,2015-16,1610612759,San Antonio Spurs,1938,Manu Ginobili,G,SG,12-09-2015,21500323,TOR,SAS,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.7,6.35,1,4,3,46
152867,2016,2015-16,1610612761,Toronto Raptors,201942,DeMar DeRozan,G,SG,12-09-2015,21500323,TOR,SAS,Made Shot,True,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,3.7,11.75,7,4,3,57
152871,2016,2015-16,1610612759,San Antonio Spurs,201988,Patty Mills,G,PG,12-09-2015,21500323,TOR,SAS,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,2.2,15.75,10,4,4,5
