,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
117333,2016,2015-16,1610612762,Utah Jazz,204060,Joe Ingles,F,SF,01-07-2016,21500538,HOU,UTA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,2.5,31.45,26,4,0,18
117358,2016,2015-16,1610612762,Utah Jazz,202330,Gordon Hayward,F,SF,01-07-2016,21500538,HOU,UTA,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-17.3,22.75,24,4,0,25
117371,2016,2015-16,1610612762,Utah Jazz,202330,Gordon Hayward,F,SF,01-07-2016,21500538,HOU,UTA,Made Shot,True,Jump Bank Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,10.1,9.35,10,4,0,35
117376,2016,2015-16,1610612745,Houston Rockets,201935,James Harden,G,SG,01-07-2016,21500538,HOU,UTA,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,6.5,15.25,11,4,0,45
117379,2016,2015-16,1610612762,Utah Jazz,203187,Chris Johnson,F,SF,01-07-2016,21500538,HOU,UTA,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,13.3,8.35,13,4,1,7
117390,2016,2015-16,1610612762,Utah Jazz,1626168,Trey Lyles,F,PF,01-07-2016,21500538,HOU,UTA,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.7,6.35,2,4,1,37
117391,2016,2015-16,1610612762,Utah Jazz,202344,Trevor Booker,F,PF,01-07-2016,21500538,HOU,UTA,Missed Shot,False,Turnaround Hook Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,8.8,6.35,8,4,1,38
117393,2016,2015-16,1610612745,Houston Rockets,201935,James Harden,G,SG,01-07-2016,21500538,HOU,UTA,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.1,6.35,1,4,1,51
117398,2016,2015-16,1610612762,Utah Jazz,202330,Gordon Hayward,F,SF,01-07-2016,21500538,HOU,UTA,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,22.0,15.85,24,4,2,29
117399,2016,2015-16,1610612745,Houston Rockets,201935,James Harden,G,SG,01-07-2016,21500538,HOU,UTA,Made Shot,True,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,8.8,22.15,19,4,2,46
117400,2016,2015-16,1610612762,Utah Jazz,202344,Trevor Booker,F,PF,01-07-2016,21500538,HOU,UTA,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,3,10
117402,2016,2015-16,1610612745,Houston Rockets,201976,Patrick Beverley,G,PG,01-07-2016,21500538,HOU,UTA,Made Shot,True,Driving Bank shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-7.3,7.55,7,4,3,32
117404,2016,2015-16,1610612762,Utah Jazz,203187,Chris Johnson,F,SF,01-07-2016,21500538,HOU,UTA,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.3,5.45,23,4,3,50
117407,2016,2015-16,1610612745,Houston Rockets,201935,James Harden,G,SG,01-07-2016,21500538,HOU,UTA,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-8.2,19.65,16,4,4,6
117409,2016,2015-16,1610612762,Utah Jazz,203187,Chris Johnson,F,SF,01-07-2016,21500538,HOU,UTA,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.4,5.15,2,4,4,19
