,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
74517,2017,2016-17,1610612737,Atlanta Hawks,203145,Kent Bazemore,F,SF,02-08-2017,21600785,ATL,DEN,Missed Shot,False,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.3,6.75,1,4,1,13
74524,2017,2016-17,1610612743,Denver Nuggets,203999,Nikola Jokic,C,C,02-08-2017,21600785,ATL,DEN,Missed Shot,False,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.0,5.95,1,4,0,26
74526,2017,2016-17,1610612743,Denver Nuggets,2749,Jameer Nelson,G,PG,02-08-2017,21600785,ATL,DEN,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,2.5,29.65,24,4,0,29
74535,2017,2016-17,1610612743,Denver Nuggets,2749,Jameer Nelson,G,PG,02-08-2017,21600785,ATL,DEN,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-11.4,22.25,20,4,0,38
74544,2017,2016-17,1610612743,Denver Nuggets,203115,Will Barton,G,SG,02-08-2017,21600785,ATL,DEN,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.0,9.85,23,4,0,55
74550,2017,2016-17,1610612737,Atlanta Hawks,203471,Dennis Schroder,G,PG,02-08-2017,21600785,ATL,DEN,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,6.85,1,4,1,13
74555,2017,2016-17,1610612743,Denver Nuggets,201163,Wilson Chandler,F,SF,02-08-2017,21600785,ATL,DEN,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-1.7,15.25,10,4,1,35
74561,2017,2016-17,1610612737,Atlanta Hawks,200794,Paul Millsap,F,PF,02-08-2017,21600785,ATL,DEN,Made Shot,True,Pullup Bank shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-11.0,10.85,12,4,1,47
74565,2017,2016-17,1610612743,Denver Nuggets,203914,Gary Harris,G,SG,02-08-2017,21600785,ATL,DEN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-22.0,17.65,25,4,2,2
74570,2017,2016-17,1610612743,Denver Nuggets,203115,Will Barton,G,SG,02-08-2017,21600785,ATL,DEN,Missed Shot,False,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,5.95,0,4,2,27
74584,2017,2016-17,1610612743,Denver Nuggets,203914,Gary Harris,G,SG,02-08-2017,21600785,ATL,DEN,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,2,56
74589,2017,2016-17,1610612737,Atlanta Hawks,203471,Dennis Schroder,G,PG,02-08-2017,21600785,ATL,DEN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,6.6,29.45,25,4,3,1
74594,2017,2016-17,1610612743,Denver Nuggets,203999,Nikola Jokic,C,C,02-08-2017,21600785,ATL,DEN,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.5,5.95,1,4,3,28
74597,2017,2016-17,1610612737,Atlanta Hawks,203471,Dennis Schroder,G,PG,02-08-2017,21600785,ATL,DEN,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,7.9,19.65,16,4,3,38
74609,2017,2016-17,1610612743,Denver Nuggets,203999,Nikola Jokic,C,C,02-08-2017,21600785,ATL,DEN,Missed Shot,False,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.5,6.05,1,4,3,49
74627,2017,2016-17,1610612737,Atlanta Hawks,203471,Dennis Schroder,G,PG,02-08-2017,21600785,ATL,DEN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,10.9,26.55,23,4,4,3
