,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
166871,2017,2016-17,1610612737,Atlanta Hawks,200757,Thabo Sefolosha,F,SF,11-27-2016,21600252,LAL,ATL,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,0,2
166873,2017,2016-17,1610612737,Atlanta Hawks,203501,Tim Hardaway Jr.,G,SG,11-27-2016,21600252,LAL,ATL,Made Shot,True,Fadeaway Bank shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,14.7,14.35,17,4,0,27
166874,2017,2016-17,1610612747,Los Angeles Lakers,204028,Tarik Black,C,C,11-27-2016,21600252,LAL,ATL,Made Shot,True,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-4.9,7.35,5,4,0,36
166880,2017,2016-17,1610612737,Atlanta Hawks,1627761,DeAndre' Bembry,F,SF,11-27-2016,21600252,LAL,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,25.0,1.65,25,4,0,50
166885,2017,2016-17,1610612747,Los Angeles Lakers,203080,Thomas Robinson,F,PF,11-27-2016,21600252,LAL,ATL,Missed Shot,False,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.0,7.35,2,4,0,59
166887,2017,2016-17,1610612737,Atlanta Hawks,203501,Tim Hardaway Jr.,G,SG,11-27-2016,21600252,LAL,ATL,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.0,7.05,2,4,1,21
166897,2017,2016-17,1610612747,Los Angeles Lakers,203903,Jordan Clarkson,G,SG,11-27-2016,21600252,LAL,ATL,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.8,7.35,2,4,1,27
166899,2017,2016-17,1610612737,Atlanta Hawks,203501,Tim Hardaway Jr.,G,SG,11-27-2016,21600252,LAL,ATL,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,3.9,30.85,25,4,1,49
166901,2017,2016-17,1610612747,Los Angeles Lakers,101150,Lou Williams,G,SG,11-27-2016,21600252,LAL,ATL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-5.0,32.35,27,4,2,0
166906,2017,2016-17,1610612737,Atlanta Hawks,203501,Tim Hardaway Jr.,G,SG,11-27-2016,21600252,LAL,ATL,Missed Shot,False,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-11.2,28.45,25,4,2,16
166910,2017,2016-17,1610612747,Los Angeles Lakers,1626204,Larry Nance Jr.,F,PF,11-27-2016,21600252,LAL,ATL,Missed Shot,False,Driving Hook Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,2,23
166934,2017,2016-17,1610612737,Atlanta Hawks,203527,Ryan Kelly,F,PF,11-27-2016,21600252,LAL,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.8,30.35,25,4,3,4
166940,2017,2016-17,1610612737,Atlanta Hawks,1627752,Taurean Prince,F,SF,11-27-2016,21600252,LAL,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,11.7,28.45,25,4,3,31
166943,2017,2016-17,1610612747,Los Angeles Lakers,101150,Lou Williams,G,SG,11-27-2016,21600252,LAL,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-23.1,15.15,25,4,3,45
166952,2017,2016-17,1610612747,Los Angeles Lakers,203903,Jordan Clarkson,G,SG,11-27-2016,21600252,LAL,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-13.2,27.45,25,4,4,11
166957,2017,2016-17,1610612737,Atlanta Hawks,203471,Dennis Schroder,G,PG,11-27-2016,21600252,LAL,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-21.8,18.65,25,4,4,36
166966,2017,2016-17,1610612737,Atlanta Hawks,2594,Kyle Korver,G,SG,11-27-2016,21600252,LAL,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.7,31.85,26,4,4,47
166968,2017,2016-17,1610612747,Los Angeles Lakers,1626204,Larry Nance Jr.,F,PF,11-27-2016,21600252,LAL,ATL,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-9.8,22.05,19,4,5,13
166975,2017,2016-17,1610612737,Atlanta Hawks,200757,Thabo Sefolosha,F,SF,11-27-2016,21600252,LAL,ATL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-18.4,5.85,18,4,5,38
166981,2017,2016-17,1610612747,Los Angeles Lakers,101150,Lou Williams,G,SG,11-27-2016,21600252,LAL,ATL,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-12.2,9.45,12,4,5,58
166995,2017,2016-17,1610612747,Los Angeles Lakers,1627742,Brandon Ingram,F,SF,11-27-2016,21600252,LAL,ATL,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-10.9,15.85,15,4,6,23
167015,2017,2016-17,1610612737,Atlanta Hawks,203145,Kent Bazemore,F,SF,11-27-2016,21600252,LAL,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,3.9,30.85,25,4,6,46
167017,2017,2016-17,1610612747,Los Angeles Lakers,1626204,Larry Nance Jr.,F,PF,11-27-2016,21600252,LAL,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,7.7,28.05,24,4,7,8
167025,2017,2016-17,1610612737,Atlanta Hawks,203145,Kent Bazemore,F,SF,11-27-2016,21600252,LAL,ATL,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-3.4,7.55,4,4,7,31
167026,2017,2016-17,1610612747,Los Angeles Lakers,203903,Jordan Clarkson,G,SG,11-27-2016,21600252,LAL,ATL,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,8.6,6.35,8,4,7,50
167033,2017,2016-17,1610612737,Atlanta Hawks,2730,Dwight Howard,C,C,11-27-2016,21600252,LAL,ATL,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,8,14
