,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
156438,2017,2016-17,1610612751,Brooklyn Nets,202711,Bojan Bogdanovic,F,SF,12-05-2016,21600306,BKN,WAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-13.7,28.95,27,4,0,3
156485,2017,2016-17,1610612764,Washington Wizards,1626162,Kelly Oubre Jr.,F,SF,12-05-2016,21600306,BKN,WAS,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-24.0,2.65,24,4,0,19
156492,2017,2016-17,1610612751,Brooklyn Nets,203930,Sean Kilpatrick,G,SG,12-05-2016,21600306,BKN,WAS,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.4,5.45,2,4,0,39
156493,2017,2016-17,1610612764,Washington Wizards,202693,Markieff Morris,F,PF,12-05-2016,21600306,BKN,WAS,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,0,46
156519,2017,2016-17,1610612764,Washington Wizards,202322,John Wall,G,PG,12-05-2016,21600306,BKN,WAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.1,30.15,24,4,1,19
156527,2017,2016-17,1610612751,Brooklyn Nets,201572,Brook Lopez,C,C,12-05-2016,21600306,BKN,WAS,Made Shot,True,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,5.6,11.35,8,4,1,41
156528,2017,2016-17,1610612764,Washington Wizards,101162,Marcin Gortat,C,C,12-05-2016,21600306,BKN,WAS,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.4,5.45,2,4,1,54
156556,2017,2016-17,1610612751,Brooklyn Nets,202711,Bojan Bogdanovic,F,SF,12-05-2016,21600306,BKN,WAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,7.4,32.15,27,4,2,8
156557,2017,2016-17,1610612764,Washington Wizards,202322,John Wall,G,PG,12-05-2016,21600306,BKN,WAS,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.3,9.85,23,4,2,32
156574,2017,2016-17,1610612751,Brooklyn Nets,201572,Brook Lopez,C,C,12-05-2016,21600306,BKN,WAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-12.0,29.95,27,4,2,55
156580,2017,2016-17,1610612764,Washington Wizards,202322,John Wall,G,PG,12-05-2016,21600306,BKN,WAS,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,3,9
156585,2017,2016-17,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,12-05-2016,21600306,BKN,WAS,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-6.1,29.45,24,4,3,27
156597,2017,2016-17,1610612751,Brooklyn Nets,202344,Trevor Booker,F,PF,12-05-2016,21600306,BKN,WAS,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.4,5.95,1,4,3,45
156605,2017,2016-17,1610612751,Brooklyn Nets,203925,Joe Harris,G,SG,12-05-2016,21600306,BKN,WAS,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.4,5.15,0,4,3,49
156616,2017,2016-17,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,12-05-2016,21600306,BKN,WAS,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,-1.7,19.65,14,4,4,1
156643,2017,2016-17,1610612764,Washington Wizards,202322,John Wall,G,PG,12-05-2016,21600306,BKN,WAS,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-6.0,25.55,21,4,4,34
156654,2017,2016-17,1610612751,Brooklyn Nets,1627785,Isaiah Whitehead,G,PG,12-05-2016,21600306,BKN,WAS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-18.2,6.85,18,4,4,44
156655,2017,2016-17,1610612764,Washington Wizards,202322,John Wall,G,PG,12-05-2016,21600306,BKN,WAS,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,9.7,20.15,17,4,5,11
156681,2017,2016-17,1610612764,Washington Wizards,202322,John Wall,G,PG,12-05-2016,21600306,BKN,WAS,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-5.8,26.05,21,4,5,30
156687,2017,2016-17,1610612751,Brooklyn Nets,203930,Sean Kilpatrick,G,SG,12-05-2016,21600306,BKN,WAS,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.4,6.05,2,4,5,50
156696,2017,2016-17,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,12-05-2016,21600306,BKN,WAS,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.0,3.65,23,4,6,3
156711,2017,2016-17,1610612751,Brooklyn Nets,201572,Brook Lopez,C,C,12-05-2016,21600306,BKN,WAS,Made Shot,True,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,7.35,2,4,6,17
156715,2017,2016-17,1610612751,Brooklyn Nets,201572,Brook Lopez,C,C,12-05-2016,21600306,BKN,WAS,Missed Shot,False,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.4,12.95,7,4,6,17
156717,2017,2016-17,1610612764,Washington Wizards,203490,Otto Porter Jr.,F,SF,12-05-2016,21600306,BKN,WAS,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,12.7,27.55,25,4,6,34
156746,2017,2016-17,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,12-05-2016,21600306,BKN,WAS,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-14.1,15.25,17,4,7,5
156755,2017,2016-17,1610612751,Brooklyn Nets,1627785,Isaiah Whitehead,G,PG,12-05-2016,21600306,BKN,WAS,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.0,5.45,2,4,7,16
156757,2017,2016-17,1610612764,Washington Wizards,201160,Jason Smith,C,C,12-05-2016,21600306,BKN,WAS,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-1.9,25.55,20,4,7,33
156780,2017,2016-17,1610612764,Washington Wizards,203490,Otto Porter Jr.,F,SF,12-05-2016,21600306,BKN,WAS,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-19.1,5.55,19,4,7,58
156788,2017,2016-17,1610612751,Brooklyn Nets,203930,Sean Kilpatrick,G,SG,12-05-2016,21600306,BKN,WAS,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.8,3.35,23,4,8,20
156792,2017,2016-17,1610612764,Washington Wizards,201977,Marcus Thornton,G,SG,12-05-2016,21600306,BKN,WAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,20.5,20.35,25,4,8,30
156804,2017,2016-17,1610612751,Brooklyn Nets,1627785,Isaiah Whitehead,G,PG,12-05-2016,21600306,BKN,WAS,Made Shot,True,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.2,11.75,6,4,8,51
156814,2017,2016-17,1610612764,Washington Wizards,201977,Marcus Thornton,G,SG,12-05-2016,21600306,BKN,WAS,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,19.6,19.85,24,4,9,18
156824,2017,2016-17,1610612764,Washington Wizards,201977,Marcus Thornton,G,SG,12-05-2016,21600306,BKN,WAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,18.3,23.05,25,4,9,42
156830,2017,2016-17,1610612751,Brooklyn Nets,203930,Sean Kilpatrick,G,SG,12-05-2016,21600306,BKN,WAS,Made Shot,True,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,7.8,16.85,13,4,9,55
156834,2017,2016-17,1610612764,Washington Wizards,203504,Trey Burke,G,PG,12-05-2016,21600306,BKN,WAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.2,29.45,24,4,10,7
156845,2017,2016-17,1610612764,Washington Wizards,201977,Marcus Thornton,G,SG,12-05-2016,21600306,BKN,WAS,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.2,6.55,2,4,10,31
156902,2017,2016-17,1610612751,Brooklyn Nets,203925,Joe Harris,G,SG,12-05-2016,21600306,BKN,WAS,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,5.25,0,4,11,11
156903,2017,2016-17,1610612764,Washington Wizards,203490,Otto Porter Jr.,F,SF,12-05-2016,21600306,BKN,WAS,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.2,31.15,25,4,11,25
156907,2017,2016-17,1610612751,Brooklyn Nets,203925,Joe Harris,G,SG,12-05-2016,21600306,BKN,WAS,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.8,5.45,2,4,11,48
156914,2017,2016-17,1610612764,Washington Wizards,1626162,Kelly Oubre Jr.,F,SF,12-05-2016,21600306,BKN,WAS,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,10.9,27.05,24,3,0,0
156924,2017,2016-17,1610612751,Brooklyn Nets,202711,Bojan Bogdanovic,F,SF,12-05-2016,21600306,BKN,WAS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,-1.0,19.15,13,3,0,3
