,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
81164,2017,2016-17,1610612741,Chicago Bulls,203926,Doug McDermott,F,SF,02-03-2017,21600749,HOU,CHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,12.9,28.65,26,5,0,3
81165,2017,2016-17,1610612741,Chicago Bulls,2548,Dwyane Wade,G,SG,02-03-2017,21600749,HOU,CHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-10.1,28.65,25,5,0,10
81166,2017,2016-17,1610612741,Chicago Bulls,203926,Doug McDermott,F,SF,02-03-2017,21600749,HOU,CHI,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,0.4,28.15,22,5,0,20
81167,2017,2016-17,1610612745,Houston Rockets,201935,James Harden,G,PG,02-03-2017,21600749,HOU,CHI,Made Shot,True,Step Back Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-5.1,23.25,18,5,0,36
81168,2017,2016-17,1610612741,Chicago Bulls,2548,Dwyane Wade,G,SG,02-03-2017,21600749,HOU,CHI,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-15.1,22.15,22,5,0,52
81169,2017,2016-17,1610612741,Chicago Bulls,2548,Dwyane Wade,G,SG,02-03-2017,21600749,HOU,CHI,Made Shot,True,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-4.3,23.25,18,5,1,28
81171,2017,2016-17,1610612741,Chicago Bulls,203487,Michael Carter-Williams,G,PG,02-03-2017,21600749,HOU,CHI,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-11.7,7.35,11,5,2,11
81173,2017,2016-17,1610612741,Chicago Bulls,203487,Michael Carter-Williams,G,PG,02-03-2017,21600749,HOU,CHI,Made Shot,True,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-1.5,14.25,9,5,2,19
81174,2017,2016-17,1610612741,Chicago Bulls,2548,Dwyane Wade,G,SG,02-03-2017,21600749,HOU,CHI,Missed Shot,False,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-4.2,10.85,7,5,2,28
81175,2017,2016-17,1610612745,Houston Rockets,203991,Clint Capela,C,C,02-03-2017,21600749,HOU,CHI,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,5,2,42
