,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
37461,2017,2016-17,1610612741,Chicago Bulls,201577,Robin Lopez,C,C,03-15-2017,21601009,CHI,MEM,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,0.2,21.15,15,4,0,4
37463,2017,2016-17,1610612741,Chicago Bulls,1627756,Denzel Valentine,G,SG,03-15-2017,21601009,CHI,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-12.2,27.05,24,4,0,9
37468,2017,2016-17,1610612763,Memphis Grizzlies,203210,JaMychal Green,F,PF,03-15-2017,21601009,CHI,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,12.0,27.15,24,4,0,19
37473,2017,2016-17,1610612763,Memphis Grizzlies,203210,JaMychal Green,F,PF,03-15-2017,21601009,CHI,MEM,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.5,6.05,2,4,0,27
37476,2017,2016-17,1610612741,Chicago Bulls,202703,Nikola Mirotic,F,PF,03-15-2017,21601009,CHI,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,15.6,25.25,25,4,0,36
37488,2017,2016-17,1610612741,Chicago Bulls,202710,Jimmy Butler,F,SF,03-15-2017,21601009,CHI,MEM,Missed Shot,False,Fadeaway Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-13.7,27.15,25,4,0,50
37492,2017,2016-17,1610612741,Chicago Bulls,202703,Nikola Mirotic,F,PF,03-15-2017,21601009,CHI,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-15.5,25.05,25,4,0,59
37503,2017,2016-17,1610612763,Memphis Grizzlies,201188,Marc Gasol,C,C,03-15-2017,21601009,CHI,MEM,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,14.7,25.55,25,4,1,12
37506,2017,2016-17,1610612741,Chicago Bulls,200765,Rajon Rondo,G,PG,03-15-2017,21601009,CHI,MEM,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-11.0,28.05,25,4,1,30
37508,2017,2016-17,1610612763,Memphis Grizzlies,2754,Tony Allen,G,SG,03-15-2017,21601009,CHI,MEM,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,1,45
