,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
112935,2017,2016-17,1610612741,Chicago Bulls,1626170,Jerian Grant,G,PG,01-09-2017,21600569,CHI,OKC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,11.0,28.05,25,4,0,5
112936,2017,2016-17,1610612741,Chicago Bulls,203477,Isaiah Canaan,G,SG,01-09-2017,21600569,CHI,OKC,Missed Shot,False,Floating Jump shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,13.8,6.35,13,4,0,14
112937,2017,2016-17,1610612760,Oklahoma City Thunder,1626166,Cameron Payne,G,PG,01-09-2017,21600569,CHI,OKC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,13.3,28.05,26,4,0,50
112940,2017,2016-17,1610612741,Chicago Bulls,1626171,Bobby Portis,F,PF,01-09-2017,21600569,CHI,OKC,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-12.2,18.15,17,4,1,11
112944,2017,2016-17,1610612760,Oklahoma City Thunder,201566,Russell Westbrook,G,PG,01-09-2017,21600569,CHI,OKC,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-13.2,9.05,13,4,1,21
112947,2017,2016-17,1610612741,Chicago Bulls,1626171,Bobby Portis,F,PF,01-09-2017,21600569,CHI,OKC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.1,30.65,25,4,1,35
112948,2017,2016-17,1610612760,Oklahoma City Thunder,202683,Enes Freedom,C,C,01-09-2017,21600569,CHI,OKC,Made Shot,True,Driving Hook Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.8,8.05,3,4,1,47
112949,2017,2016-17,1610612741,Chicago Bulls,1626171,Bobby Portis,F,PF,01-09-2017,21600569,CHI,OKC,Made Shot,True,Floating Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,7.1,21.15,17,4,2,9
112950,2017,2016-17,1610612760,Oklahoma City Thunder,203500,Steven Adams,C,C,01-09-2017,21600569,CHI,OKC,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.5,5.45,2,4,2,31
112953,2017,2016-17,1610612741,Chicago Bulls,203477,Isaiah Canaan,G,SG,01-09-2017,21600569,CHI,OKC,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,14.2,19.35,20,4,2,38
