,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
49004,2017,2016-17,1610612739,Cleveland Cavaliers,202681,Kyrie Irving,G,PG,03-06-2017,21600936,CLE,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-13.8,36.35,34,4,0,8
49005,2017,2016-17,1610612748,Miami Heat,203079,Dion Waiters,G,SG,03-06-2017,21600936,CLE,MIA,Made Shot,True,Jump Bank Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,3.4,37.35,32,4,0,12
49013,2017,2016-17,1610612739,Cleveland Cavaliers,2544,LeBron James,F,SF,03-06-2017,21600936,CLE,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-1.4,31.65,26,4,0,34
49017,2017,2016-17,1610612748,Miami Heat,203079,Dion Waiters,G,SG,03-06-2017,21600936,CLE,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-9.1,29.45,25,4,0,47
49020,2017,2016-17,1610612739,Cleveland Cavaliers,101114,Deron Williams,G,PG,03-06-2017,21600936,CLE,MIA,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-14.3,10.35,15,4,1,8
49023,2017,2016-17,1610612748,Miami Heat,201961,Wayne Ellington,G,SG,03-06-2017,21600936,CLE,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-24.0,6.35,24,4,1,21
49040,2017,2016-17,1610612748,Miami Heat,1626196,Josh Richardson,G,SG,03-06-2017,21600936,CLE,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.7,10.35,23,4,1,52
49044,2017,2016-17,1610612748,Miami Heat,201609,Goran Dragic,G,PG,03-06-2017,21600936,CLE,MIA,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,16.8,10.85,17,4,2,2
49047,2017,2016-17,1610612739,Cleveland Cavaliers,202684,Tristan Thompson,C,C,03-06-2017,21600936,CLE,MIA,Made Shot,True,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,2,30
49082,2017,2016-17,1610612739,Cleveland Cavaliers,101114,Deron Williams,G,PG,03-06-2017,21600936,CLE,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,24.0,4.75,24,4,2,52
