,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
124676,2017,2016-17,1610612743,Denver Nuggets,201163,Wilson Chandler,F,SF,12-30-2016,21600500,DEN,PHI,Missed Shot,False,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.3,6.15,1,4,0,1
124677,2017,2016-17,1610612743,Denver Nuggets,202702,Kenneth Faried,F,PF,12-30-2016,21600500,DEN,PHI,Missed Shot,False,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.0,8.15,3,4,0,1
124678,2017,2016-17,1610612743,Denver Nuggets,203914,Gary Harris,G,SG,12-30-2016,21600500,DEN,PHI,Missed Shot,False,Fadeaway Bank shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-5.9,5.25,5,4,0,2
124679,2017,2016-17,1610612743,Denver Nuggets,201568,Danilo Gallinari,F,SF,12-30-2016,21600500,DEN,PHI,Made Shot,True,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,0,10
124680,2017,2016-17,1610612743,Denver Nuggets,203999,Nikola Jokic,C,C,12-30-2016,21600500,DEN,PHI,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.3,4.85,2,4,0,18
124685,2017,2016-17,1610612755,Philadelphia 76ers,203954,Joel Embiid,C,C,12-30-2016,21600500,DEN,PHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,8.6,29.45,25,4,0,58
124688,2017,2016-17,1610612755,Philadelphia 76ers,204456,T.J. McConnell,G,PG,12-30-2016,21600500,DEN,PHI,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.7,6.05,23,4,1,22
124690,2017,2016-17,1610612743,Denver Nuggets,201163,Wilson Chandler,F,SF,12-30-2016,21600500,DEN,PHI,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.0,18.65,13,4,1,44
124691,2017,2016-17,1610612755,Philadelphia 76ers,204456,T.J. McConnell,G,PG,12-30-2016,21600500,DEN,PHI,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-11.7,12.25,13,4,1,52
124694,2017,2016-17,1610612743,Denver Nuggets,203999,Nikola Jokic,C,C,12-30-2016,21600500,DEN,PHI,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,2,10
124698,2017,2016-17,1610612755,Philadelphia 76ers,203967,Dario Saric,F,PF,12-30-2016,21600500,DEN,PHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-17.7,23.75,25,4,2,40
124709,2017,2016-17,1610612755,Philadelphia 76ers,101141,Ersan Ilyasova,F,PF,12-30-2016,21600500,DEN,PHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-15.3,26.25,25,4,3,10
124713,2017,2016-17,1610612743,Denver Nuggets,1626144,Emmanuel Mudiay,G,PG,12-30-2016,21600500,DEN,PHI,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-24.1,5.25,24,4,3,27
124718,2017,2016-17,1610612755,Philadelphia 76ers,203967,Dario Saric,F,PF,12-30-2016,21600500,DEN,PHI,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,1.7,30.15,24,4,3,37
124721,2017,2016-17,1610612755,Philadelphia 76ers,203917,Nik Stauskas,G,SG,12-30-2016,21600500,DEN,PHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,23.2,16.75,25,4,3,55
124726,2017,2016-17,1610612755,Philadelphia 76ers,204456,T.J. McConnell,G,PG,12-30-2016,21600500,DEN,PHI,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-24.5,4.65,24,4,4,20
124729,2017,2016-17,1610612755,Philadelphia 76ers,204456,T.J. McConnell,G,PG,12-30-2016,21600500,DEN,PHI,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-13.0,17.25,17,4,4,53
124743,2017,2016-17,1610612755,Philadelphia 76ers,203967,Dario Saric,F,PF,12-30-2016,21600500,DEN,PHI,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.6,5.55,1,4,5,17
124746,2017,2016-17,1610612743,Denver Nuggets,201568,Danilo Gallinari,F,SF,12-30-2016,21600500,DEN,PHI,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,17.9,18.15,22,4,5,26
124751,2017,2016-17,1610612743,Denver Nuggets,203994,Jusuf Nurkic,C,C,12-30-2016,21600500,DEN,PHI,Missed Shot,False,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.8,6.15,2,4,6,26
124764,2017,2016-17,1610612755,Philadelphia 76ers,203917,Nik Stauskas,G,SG,12-30-2016,21600500,DEN,PHI,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,20.4,18.65,24,4,5,48
124770,2017,2016-17,1610612743,Denver Nuggets,203115,Will Barton,G,SG,12-30-2016,21600500,DEN,PHI,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.7,6.05,1,4,6,2
124775,2017,2016-17,1610612755,Philadelphia 76ers,204456,T.J. McConnell,G,PG,12-30-2016,21600500,DEN,PHI,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-10.2,8.85,10,4,6,13
124782,2017,2016-17,1610612743,Denver Nuggets,201163,Wilson Chandler,F,SF,12-30-2016,21600500,DEN,PHI,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,11.9,4.65,11,4,6,27
124798,2017,2016-17,1610612743,Denver Nuggets,2749,Jameer Nelson,G,PG,12-30-2016,21600500,DEN,PHI,Made Shot,True,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,21.0,11.95,22,4,7,12
124801,2017,2016-17,1610612755,Philadelphia 76ers,203457,Nerlens Noel,C,C,12-30-2016,21600500,DEN,PHI,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.2,6.05,2,4,7,23
124806,2017,2016-17,1610612743,Denver Nuggets,2749,Jameer Nelson,G,PG,12-30-2016,21600500,DEN,PHI,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,13.2,27.15,25,4,7,47
124809,2017,2016-17,1610612755,Philadelphia 76ers,203917,Nik Stauskas,G,SG,12-30-2016,21600500,DEN,PHI,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,15.1,9.35,15,4,8,7
