,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
144695,2017,2016-17,1610612765,Detroit Pistons,1626169,Stanley Johnson,F,SF,12-14-2016,21600381,DAL,DET,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-8.6,19.15,16,4,0,10
144739,2017,2016-17,1610612765,Detroit Pistons,202704,Reggie Jackson,G,PG,12-14-2016,21600381,DAL,DET,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-2.4,10.45,5,4,0,43
144743,2017,2016-17,1610612742,Dallas Mavericks,1627852,Nicolas Brussino,G,SG,12-14-2016,21600381,DAL,DET,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,10.4,21.25,19,4,1,4
144782,2017,2016-17,1610612742,Dallas Mavericks,202083,Wesley Matthews,G,SG,12-14-2016,21600381,DAL,DET,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.6,6.35,1,4,1,22
144803,2017,2016-17,1610612765,Detroit Pistons,202704,Reggie Jackson,G,PG,12-14-2016,21600381,DAL,DET,Made Shot,True,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.9,5.25,0,4,1,28
144807,2017,2016-17,1610612742,Dallas Mavericks,203084,Harrison Barnes,F,PF,12-14-2016,21600381,DAL,DET,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,2.7,17.25,12,4,1,46
144813,2017,2016-17,1610612765,Detroit Pistons,202694,Marcus Morris Sr.,F,SF,12-14-2016,21600381,DAL,DET,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,9.9,28.45,25,4,2,0
144818,2017,2016-17,1610612742,Dallas Mavericks,203084,Harrison Barnes,F,PF,12-14-2016,21600381,DAL,DET,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-9.7,10.85,11,4,2,21
144857,2017,2016-17,1610612742,Dallas Mavericks,202083,Wesley Matthews,G,SG,12-14-2016,21600381,DAL,DET,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-18.9,20.85,24,4,2,42
144863,2017,2016-17,1610612765,Detroit Pistons,203484,Kentavious Caldwell-Pope,G,SG,12-14-2016,21600381,DAL,DET,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.2,7.85,23,4,2,48
144871,2017,2016-17,1610612765,Detroit Pistons,203484,Kentavious Caldwell-Pope,G,SG,12-14-2016,21600381,DAL,DET,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,19.1,21.25,24,4,3,7
144875,2017,2016-17,1610612742,Dallas Mavericks,203084,Harrison Barnes,F,PF,12-14-2016,21600381,DAL,DET,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,3,25
144879,2017,2016-17,1610612765,Detroit Pistons,203382,Aron Baynes,C,C,12-14-2016,21600381,DAL,DET,Made Shot,True,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.6,7.35,2,4,3,39
144885,2017,2016-17,1610612765,Detroit Pistons,202704,Reggie Jackson,G,PG,12-14-2016,21600381,DAL,DET,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.7,7.35,2,4,3,40
144914,2017,2016-17,1610612765,Detroit Pistons,203484,Kentavious Caldwell-Pope,G,SG,12-14-2016,21600381,DAL,DET,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.4,5.95,0,4,4,2
144928,2017,2016-17,1610612742,Dallas Mavericks,203939,Dwight Powell,C,C,12-14-2016,21600381,DAL,DET,Made Shot,True,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,4,26
