,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
120190,2017,2016-17,1610612765,Detroit Pistons,202704,Reggie Jackson,G,PG,01-03-2017,21600523,DET,IND,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.5,8.35,23,4,0,6
120196,2017,2016-17,1610612765,Detroit Pistons,202694,Marcus Morris Sr.,F,SF,01-03-2017,21600523,DET,IND,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-9.9,29.95,26,4,0,11
120219,2017,2016-17,1610612765,Detroit Pistons,203083,Andre Drummond,C,C,01-03-2017,21600523,DET,IND,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,5.45,0,4,0,19
120225,2017,2016-17,1610612765,Detroit Pistons,202699,Tobias Harris,F,PF,01-03-2017,21600523,DET,IND,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.0,6.05,2,4,0,22
120233,2017,2016-17,1610612765,Detroit Pistons,202694,Marcus Morris Sr.,F,SF,01-03-2017,21600523,DET,IND,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-10.4,29.45,26,4,0,50
120238,2017,2016-17,1610612754,Indiana Pacers,201152,Thaddeus Young,F,PF,01-03-2017,21600523,DET,IND,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.5,7.05,23,4,0,57
120241,2017,2016-17,1610612765,Detroit Pistons,202694,Marcus Morris Sr.,F,SF,01-03-2017,21600523,DET,IND,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-15.1,26.55,26,4,1,16
120244,2017,2016-17,1610612754,Indiana Pacers,201952,Jeff Teague,G,PG,01-03-2017,21600523,DET,IND,Made Shot,True,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.9,15.25,10,4,1,28
120248,2017,2016-17,1610612765,Detroit Pistons,203484,Kentavious Caldwell-Pope,G,SG,01-03-2017,21600523,DET,IND,Made Shot,True,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,1,44
120254,2017,2016-17,1610612765,Detroit Pistons,202699,Tobias Harris,F,PF,01-03-2017,21600523,DET,IND,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,16.9,7.85,17,4,1,58
120280,2017,2016-17,1610612765,Detroit Pistons,202704,Reggie Jackson,G,PG,01-03-2017,21600523,DET,IND,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-5.1,5.95,5,4,2,24
120283,2017,2016-17,1610612754,Indiana Pacers,202331,Paul George,F,SF,01-03-2017,21600523,DET,IND,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-14.1,11.75,15,4,2,48
120288,2017,2016-17,1610612765,Detroit Pistons,203083,Andre Drummond,C,C,01-03-2017,21600523,DET,IND,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-4.2,6.35,4,4,3,9
120302,2017,2016-17,1610612754,Indiana Pacers,202331,Paul George,F,SF,01-03-2017,21600523,DET,IND,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,11.7,16.25,16,4,3,28
120310,2017,2016-17,1610612765,Detroit Pistons,203484,Kentavious Caldwell-Pope,G,SG,01-03-2017,21600523,DET,IND,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.7,8.35,23,4,3,44
120315,2017,2016-17,1610612754,Indiana Pacers,202331,Paul George,F,SF,01-03-2017,21600523,DET,IND,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.1,5.45,0,4,3,52
120318,2017,2016-17,1610612765,Detroit Pistons,203484,Kentavious Caldwell-Pope,G,SG,01-03-2017,21600523,DET,IND,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.1,5.25,0,4,4,17
120348,2017,2016-17,1610612765,Detroit Pistons,203083,Andre Drummond,C,C,01-03-2017,21600523,DET,IND,Missed Shot,False,Hook Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,8.85,3,4,4,57
120351,2017,2016-17,1610612754,Indiana Pacers,202331,Paul George,F,SF,01-03-2017,21600523,DET,IND,Made Shot,True,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.2,10.85,5,4,5,16
120364,2017,2016-17,1610612754,Indiana Pacers,202331,Paul George,F,SF,01-03-2017,21600523,DET,IND,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,6.8,23.05,19,4,5,49
120367,2017,2016-17,1610612765,Detroit Pistons,202699,Tobias Harris,F,PF,01-03-2017,21600523,DET,IND,Made Shot,True,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.4,10.45,5,4,6,13
120370,2017,2016-17,1610612754,Indiana Pacers,201152,Thaddeus Young,F,PF,01-03-2017,21600523,DET,IND,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-5.1,6.55,5,4,6,20
120378,2017,2016-17,1610612765,Detroit Pistons,202704,Reggie Jackson,G,PG,01-03-2017,21600523,DET,IND,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,5.8,6.35,5,4,6,29
120388,2017,2016-17,1610612765,Detroit Pistons,203083,Andre Drummond,C,C,01-03-2017,21600523,DET,IND,Made Shot,True,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,4.5,8.85,5,4,6,57
120390,2017,2016-17,1610612754,Indiana Pacers,101145,Monta Ellis,G,SG,01-03-2017,21600523,DET,IND,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.1,5.95,0,4,7,17
120398,2017,2016-17,1610612765,Detroit Pistons,202699,Tobias Harris,F,PF,01-03-2017,21600523,DET,IND,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,20.2,21.65,26,4,7,38
120416,2017,2016-17,1610612765,Detroit Pistons,1626169,Stanley Johnson,F,SF,01-03-2017,21600523,DET,IND,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.6,14.25,9,4,7,45
120418,2017,2016-17,1610612754,Indiana Pacers,101145,Monta Ellis,G,SG,01-03-2017,21600523,DET,IND,Made Shot,True,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-2.0,17.85,12,4,8,5
120437,2017,2016-17,1610612765,Detroit Pistons,202694,Marcus Morris Sr.,F,SF,01-03-2017,21600523,DET,IND,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-9.4,29.65,26,4,8,28
120446,2017,2016-17,1610612754,Indiana Pacers,2744,Al Jefferson,C,C,01-03-2017,21600523,DET,IND,Missed Shot,False,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.6,5.25,0,4,8,34
120450,2017,2016-17,1610612765,Detroit Pistons,202694,Marcus Morris Sr.,F,SF,01-03-2017,21600523,DET,IND,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-3.2,30.95,25,4,8,59
120453,2017,2016-17,1610612754,Indiana Pacers,2744,Al Jefferson,C,C,01-03-2017,21600523,DET,IND,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-6.3,8.35,7,4,9,8
120454,2017,2016-17,1610612765,Detroit Pistons,202699,Tobias Harris,F,PF,01-03-2017,21600523,DET,IND,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.6,5.15,0,4,9,21
120456,2017,2016-17,1610612754,Indiana Pacers,101145,Monta Ellis,G,SG,01-03-2017,21600523,DET,IND,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-10.7,17.85,16,4,9,39
120461,2017,2016-17,1610612765,Detroit Pistons,1626169,Stanley Johnson,F,SF,01-03-2017,21600523,DET,IND,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-5.6,31.95,27,4,9,56
120466,2017,2016-17,1610612754,Indiana Pacers,101139,CJ Miles,F,SF,01-03-2017,21600523,DET,IND,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-19.4,22.75,26,4,10,7
120471,2017,2016-17,1610612765,Detroit Pistons,1626246,Boban Marjanovic,C,C,01-03-2017,21600523,DET,IND,Missed Shot,False,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,5.3,7.35,5,4,10,23
