,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
186219,2017,2016-17,1610612745,Houston Rockets,201583,Ryan Anderson,F,PF,11-12-2016,21600134,HOU,SAS,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,20.5,7.85,20,4,0,6
186234,2017,2016-17,1610612745,Houston Rockets,201935,James Harden,G,PG,11-12-2016,21600134,HOU,SAS,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.9,8.35,3,4,0,13
186245,2017,2016-17,1610612745,Houston Rockets,201935,James Harden,G,PG,11-12-2016,21600134,HOU,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.5,6.35,23,4,0,20
186253,2017,2016-17,1610612745,Houston Rockets,201935,James Harden,G,PG,11-12-2016,21600134,HOU,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-2.2,30.65,25,4,0,58
186263,2017,2016-17,1610612745,Houston Rockets,201569,Eric Gordon,G,SG,11-12-2016,21600134,HOU,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-14.6,26.65,25,4,1,11
186267,2017,2016-17,1610612745,Houston Rockets,201569,Eric Gordon,G,SG,11-12-2016,21600134,HOU,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,19.6,22.75,26,4,1,18
186270,2017,2016-17,1610612759,San Antonio Spurs,200746,LaMarcus Aldridge,F,PF,11-12-2016,21600134,HOU,SAS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-12.8,20.35,19,4,1,36
186276,2017,2016-17,1610612745,Houston Rockets,201935,James Harden,G,PG,11-12-2016,21600134,HOU,SAS,Made Shot,True,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-6.6,9.55,7,4,1,49
186278,2017,2016-17,1610612759,San Antonio Spurs,200746,LaMarcus Aldridge,F,PF,11-12-2016,21600134,HOU,SAS,Made Shot,True,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,6.0,9.05,7,4,2,4
186284,2017,2016-17,1610612745,Houston Rockets,201569,Eric Gordon,G,SG,11-12-2016,21600134,HOU,SAS,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.7,9.85,24,4,2,22
186286,2017,2016-17,1610612759,San Antonio Spurs,202695,Kawhi Leonard,F,SF,11-12-2016,21600134,HOU,SAS,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,13.0,16.35,17,4,2,32
186290,2017,2016-17,1610612745,Houston Rockets,201935,James Harden,G,PG,11-12-2016,21600134,HOU,SAS,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.1,31.45,26,4,2,57
186296,2017,2016-17,1610612759,San Antonio Spurs,202695,Kawhi Leonard,F,SF,11-12-2016,21600134,HOU,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-3.2,30.45,25,4,3,11
186300,2017,2016-17,1610612745,Houston Rockets,2772,Trevor Ariza,F,SF,11-12-2016,21600134,HOU,SAS,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-17.4,23.75,25,4,3,28
186313,2017,2016-17,1610612745,Houston Rockets,201935,James Harden,G,PG,11-12-2016,21600134,HOU,SAS,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.4,8.05,3,4,3,50
186336,2017,2016-17,1610612759,San Antonio Spurs,202695,Kawhi Leonard,F,SF,11-12-2016,21600134,HOU,SAS,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,4,13
186344,2017,2016-17,1610612759,San Antonio Spurs,2200,Pau Gasol,C,C,11-12-2016,21600134,HOU,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.6,4.75,23,4,4,18
186348,2017,2016-17,1610612745,Houston Rockets,201569,Eric Gordon,G,SG,11-12-2016,21600134,HOU,SAS,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,14.7,26.55,25,4,4,43
186363,2017,2016-17,1610612759,San Antonio Spurs,202695,Kawhi Leonard,F,SF,11-12-2016,21600134,HOU,SAS,Made Shot,True,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,4.2,7.05,4,4,5,26
186375,2017,2016-17,1610612745,Houston Rockets,201569,Eric Gordon,G,SG,11-12-2016,21600134,HOU,SAS,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,19.1,23.55,26,4,5,43
186380,2017,2016-17,1610612759,San Antonio Spurs,2225,Tony Parker,G,PG,11-12-2016,21600134,HOU,SAS,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,7.85,2,4,5,51
186388,2017,2016-17,1610612745,Houston Rockets,201569,Eric Gordon,G,SG,11-12-2016,21600134,HOU,SAS,Made Shot,True,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,6,12
186397,2017,2016-17,1610612745,Houston Rockets,2772,Trevor Ariza,F,SF,11-12-2016,21600134,HOU,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-22.8,15.35,24,4,6,19
186408,2017,2016-17,1610612759,San Antonio Spurs,101135,David Lee,F,PF,11-12-2016,21600134,HOU,SAS,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-6.6,8.05,7,4,6,40
186412,2017,2016-17,1610612745,Houston Rockets,201569,Eric Gordon,G,SG,11-12-2016,21600134,HOU,SAS,Made Shot,True,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-15.1,17.25,19,4,6,58
186418,2017,2016-17,1610612759,San Antonio Spurs,202695,Kawhi Leonard,F,SF,11-12-2016,21600134,HOU,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,16.5,26.65,27,4,7,14
186434,2017,2016-17,1610612745,Houston Rockets,201935,James Harden,G,PG,11-12-2016,21600134,HOU,SAS,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,7.1,30.15,25,4,7,25
186441,2017,2016-17,1610612745,Houston Rockets,201583,Ryan Anderson,F,PF,11-12-2016,21600134,HOU,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,15.0,29.45,28,4,7,36
186445,2017,2016-17,1610612759,San Antonio Spurs,200746,LaMarcus Aldridge,F,PF,11-12-2016,21600134,HOU,SAS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-6.6,24.75,20,4,7,45
186484,2017,2016-17,1610612759,San Antonio Spurs,203613,Jonathon Simmons,G,SG,11-12-2016,21600134,HOU,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-24.0,5.55,24,4,8,11
186488,2017,2016-17,1610612745,Houston Rockets,201935,James Harden,G,PG,11-12-2016,21600134,HOU,SAS,Made Shot,True,Driving Floating Bank Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,12.0,11.75,13,4,8,39
186505,2017,2016-17,1610612759,San Antonio Spurs,2225,Tony Parker,G,PG,11-12-2016,21600134,HOU,SAS,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-3.8,9.85,5,4,8,55
186509,2017,2016-17,1610612745,Houston Rockets,2772,Trevor Ariza,F,SF,11-12-2016,21600134,HOU,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-8.2,29.45,25,4,9,4
186522,2017,2016-17,1610612759,San Antonio Spurs,2225,Tony Parker,G,PG,11-12-2016,21600134,HOU,SAS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-2.2,22.15,17,4,9,18
186531,2017,2016-17,1610612745,Houston Rockets,201583,Ryan Anderson,F,PF,11-12-2016,21600134,HOU,SAS,Missed Shot,False,Tip Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-2.0,9.55,4,4,9,35
