,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
27509,2017,2016-17,1610612746,LA Clippers,200755,JJ Redick,G,SG,03-23-2017,21601069,DAL,LAC,Missed Shot,False,Floating Jump shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.2,13.25,24,4,0,0
27527,2017,2016-17,1610612746,LA Clippers,101108,Chris Paul,G,PG,03-23-2017,21601069,DAL,LAC,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-4.5,22.15,17,4,0,30
27529,2017,2016-17,1610612742,Dallas Mavericks,203084,Harrison Barnes,F,PF,03-23-2017,21601069,DAL,LAC,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,11.7,18.65,17,4,0,40
27536,2017,2016-17,1610612742,Dallas Mavericks,203084,Harrison Barnes,F,PF,03-23-2017,21601069,DAL,LAC,Made Shot,True,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-10.7,14.25,13,4,1,9
27540,2017,2016-17,1610612742,Dallas Mavericks,202083,Wesley Matthews,G,SG,03-23-2017,21601069,DAL,LAC,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.4,5.95,2,4,1,49
27542,2017,2016-17,1610612746,LA Clippers,201933,Blake Griffin,F,PF,03-23-2017,21601069,DAL,LAC,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,2.5,20.15,15,4,2,0
27543,2017,2016-17,1610612742,Dallas Mavericks,203552,Seth Curry,G,PG,03-23-2017,21601069,DAL,LAC,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-18.1,8.85,18,4,2,20
27545,2017,2016-17,1610612746,LA Clippers,201599,DeAndre Jordan,C,C,03-23-2017,21601069,DAL,LAC,Made Shot,True,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,2,30
27547,2017,2016-17,1610612742,Dallas Mavericks,203457,Nerlens Noel,C,C,03-23-2017,21601069,DAL,LAC,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,2,53
27550,2017,2016-17,1610612742,Dallas Mavericks,202083,Wesley Matthews,G,SG,03-23-2017,21601069,DAL,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-22.3,15.25,24,4,3,8
27553,2017,2016-17,1610612746,LA Clippers,201933,Blake Griffin,F,PF,03-23-2017,21601069,DAL,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.1,29.45,24,4,3,26
27559,2017,2016-17,1610612746,LA Clippers,101108,Chris Paul,G,PG,03-23-2017,21601069,DAL,LAC,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-1.0,23.25,18,4,4,5
27560,2017,2016-17,1610612746,LA Clippers,201933,Blake Griffin,F,PF,03-23-2017,21601069,DAL,LAC,Missed Shot,False,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,4.5,12.75,8,4,4,16
27563,2017,2016-17,1610612742,Dallas Mavericks,203552,Seth Curry,G,PG,03-23-2017,21601069,DAL,LAC,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-8.4,11.75,10,4,4,44
27564,2017,2016-17,1610612746,LA Clippers,201933,Blake Griffin,F,PF,03-23-2017,21601069,DAL,LAC,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.0,7.85,23,4,5,2
27568,2017,2016-17,1610612742,Dallas Mavericks,203084,Harrison Barnes,F,PF,03-23-2017,21601069,DAL,LAC,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-15.0,15.75,18,4,5,17
27579,2017,2016-17,1610612742,Dallas Mavericks,203552,Seth Curry,G,PG,03-23-2017,21601069,DAL,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,12.7,26.55,24,4,5,48
27585,2017,2016-17,1610612746,LA Clippers,201933,Blake Griffin,F,PF,03-23-2017,21601069,DAL,LAC,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.5,5.15,1,4,6,2
27587,2017,2016-17,1610612742,Dallas Mavericks,203084,Harrison Barnes,F,PF,03-23-2017,21601069,DAL,LAC,Missed Shot,False,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,-7.4,9.55,8,4,6,14
