,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
4874,2017,2016-17,1610612747,Los Angeles Lakers,1626156,D'Angelo Russell,G,PG,04-09-2017,21601202,LAL,MIN,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,19.9,20.55,25,4,0,2
4876,2017,2016-17,1610612747,Los Angeles Lakers,1897,Metta World Peace,F,SF,04-09-2017,21601202,LAL,MIN,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.2,5.35,23,4,0,4
4877,2017,2016-17,1610612750,Minnesota Timberwolves,201937,Ricky Rubio,G,PG,04-09-2017,21601202,LAL,MIN,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,7.55,2,4,0,10
4882,2017,2016-17,1610612747,Los Angeles Lakers,203944,Julius Randle,F,PF,04-09-2017,21601202,LAL,MIN,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,0,32
4884,2017,2016-17,1610612750,Minnesota Timberwolves,203952,Andrew Wiggins,F,SF,04-09-2017,21601202,LAL,MIN,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,6.55,1,4,0,33
4885,2017,2016-17,1610612747,Los Angeles Lakers,203903,Jordan Clarkson,G,SG,04-09-2017,21601202,LAL,MIN,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,8.2,14.65,12,4,0,53
4886,2017,2016-17,1610612747,Los Angeles Lakers,1626156,D'Angelo Russell,G,PG,04-09-2017,21601202,LAL,MIN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,21.7,17.15,24,4,0,58
4889,2017,2016-17,1610612747,Los Angeles Lakers,203944,Julius Randle,F,PF,04-09-2017,21601202,LAL,MIN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,1.3,29.55,24,4,1,4
4892,2017,2016-17,1610612750,Minnesota Timberwolves,1626157,Karl-Anthony Towns,C,C,04-09-2017,21601202,LAL,MIN,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,18.4,12.75,19,4,1,19
4896,2017,2016-17,1610612747,Los Angeles Lakers,1897,Metta World Peace,F,SF,04-09-2017,21601202,LAL,MIN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-4.5,29.35,24,4,1,36
4899,2017,2016-17,1610612750,Minnesota Timberwolves,1626157,Karl-Anthony Towns,C,C,04-09-2017,21601202,LAL,MIN,Made Shot,True,Driving Hook Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.8,8.85,3,4,1,46
4913,2017,2016-17,1610612747,Los Angeles Lakers,1626156,D'Angelo Russell,G,PG,04-09-2017,21601202,LAL,MIN,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.3,9.75,4,4,2,30
4914,2017,2016-17,1610612750,Minnesota Timberwolves,201937,Ricky Rubio,G,PG,04-09-2017,21601202,LAL,MIN,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.9,5.05,1,4,2,50
4916,2017,2016-17,1610612747,Los Angeles Lakers,1626156,D'Angelo Russell,G,PG,04-09-2017,21601202,LAL,MIN,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-20.2,20.05,25,4,3,9
4921,2017,2016-17,1610612750,Minnesota Timberwolves,203952,Andrew Wiggins,F,SF,04-09-2017,21601202,LAL,MIN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,4.4,30.35,25,4,3,27
