,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
53458,2017,2016-17,1610612748,Miami Heat,201949,James Johnson,F,PF,03-03-2017,21600911,ORL,MIA,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,6.55,1,4,0,33
53469,2017,2016-17,1610612753,Orlando Magic,203082,Terrence Ross,F,SF,03-03-2017,21600911,ORL,MIA,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-18.4,5.45,18,4,0,40
53477,2017,2016-17,1610612748,Miami Heat,202355,Hassan Whiteside,C,C,03-03-2017,21600911,ORL,MIA,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,-6.4,11.95,9,4,0,50
53485,2017,2016-17,1610612753,Orlando Magic,203932,Aaron Gordon,F,SF,03-03-2017,21600911,ORL,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.8,10.85,23,4,1,11
53492,2017,2016-17,1610612748,Miami Heat,201961,Wayne Ellington,G,SG,03-03-2017,21600911,ORL,MIA,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-18.9,6.85,18,4,1,34
53505,2017,2016-17,1610612753,Orlando Magic,203901,Elfrid Payton,G,PG,03-03-2017,21600911,ORL,MIA,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.9,6.35,2,4,1,45
53509,2017,2016-17,1610612748,Miami Heat,201961,Wayne Ellington,G,SG,03-03-2017,21600911,ORL,MIA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,4.2,28.95,24,4,2,3
53520,2017,2016-17,1610612753,Orlando Magic,203095,Evan Fournier,G,SG,03-03-2017,21600911,ORL,MIA,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-2.4,30.45,25,4,2,14
53523,2017,2016-17,1610612748,Miami Heat,201609,Goran Dragic,G,PG,03-03-2017,21600911,ORL,MIA,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,3.5,12.25,7,4,2,36
53529,2017,2016-17,1610612753,Orlando Magic,202696,Nikola Vucevic,C,C,03-03-2017,21600911,ORL,MIA,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.2,6.85,2,4,2,55
53532,2017,2016-17,1610612753,Orlando Magic,203082,Terrence Ross,F,SF,03-03-2017,21600911,ORL,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,17.3,22.65,24,4,2,57
