,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
6098,2017,2016-17,1610612740,New Orleans Pelicans,1626188,Quinn Cook,G,PG,04-08-2017,21601195,GSW,NOP,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,6.35,1,4,0,5
6104,2017,2016-17,1610612744,Golden State Warriors,203949,James Michael McAdoo,F,PF,04-08-2017,21601195,GSW,NOP,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-13.5,9.95,14,4,0,12
6114,2017,2016-17,1610612744,Golden State Warriors,203546,Ian Clark,G,SG,04-08-2017,21601195,GSW,NOP,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-10.7,20.35,18,4,0,28
6118,2017,2016-17,1610612740,New Orleans Pelicans,202348,Jordan Crawford,G,SG,04-08-2017,21601195,GSW,NOP,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,7.4,20.85,17,4,0,41
6121,2017,2016-17,1610612744,Golden State Warriors,201580,JaVale McGee,C,C,04-08-2017,21601195,GSW,NOP,Made Shot,True,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,1,0
6124,2017,2016-17,1610612744,Golden State Warriors,203949,James Michael McAdoo,F,PF,04-08-2017,21601195,GSW,NOP,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,5.0,30.15,25,4,1,2
6126,2017,2016-17,1610612740,New Orleans Pelicans,1626188,Quinn Cook,G,PG,04-08-2017,21601195,GSW,NOP,Made Shot,True,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,7.85,2,4,1,16
6128,2017,2016-17,1610612744,Golden State Warriors,203949,James Michael McAdoo,F,PF,04-08-2017,21601195,GSW,NOP,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,12.5,27.65,25,4,1,33
6131,2017,2016-17,1610612740,New Orleans Pelicans,1626188,Quinn Cook,G,PG,04-08-2017,21601195,GSW,NOP,Made Shot,True,Pullup Bank shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,3.4,30.65,25,4,1,49
6145,2017,2016-17,1610612740,New Orleans Pelicans,1626188,Quinn Cook,G,PG,04-08-2017,21601195,GSW,NOP,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,18.6,7.85,18,4,2,12
6146,2017,2016-17,1610612744,Golden State Warriors,201580,JaVale McGee,C,C,04-08-2017,21601195,GSW,NOP,Made Shot,True,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-9.6,8.05,10,4,2,27
6149,2017,2016-17,1610612744,Golden State Warriors,201580,JaVale McGee,C,C,04-08-2017,21601195,GSW,NOP,Missed Shot,False,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,6.85,1,4,2,32
6150,2017,2016-17,1610612740,New Orleans Pelicans,202348,Jordan Crawford,G,SG,04-08-2017,21601195,GSW,NOP,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.6,5.45,0,4,2,52
6158,2017,2016-17,1610612740,New Orleans Pelicans,202348,Jordan Crawford,G,SG,04-08-2017,21601195,GSW,NOP,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,6.3,16.35,12,4,3,49
6165,2017,2016-17,1610612740,New Orleans Pelicans,202348,Jordan Crawford,G,SG,04-08-2017,21601195,GSW,NOP,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-16.4,25.75,26,4,4,16
6169,2017,2016-17,1610612744,Golden State Warriors,203546,Ian Clark,G,SG,04-08-2017,21601195,GSW,NOP,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-4.0,20.85,16,4,4,33
6175,2017,2016-17,1610612744,Golden State Warriors,1627775,Patrick McCaw,G,SG,04-08-2017,21601195,GSW,NOP,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-17.6,24.75,26,4,4,44
6190,2017,2016-17,1610612740,New Orleans Pelicans,202348,Jordan Crawford,G,SG,04-08-2017,21601195,GSW,NOP,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.4,7.55,2,4,5,23
6197,2017,2016-17,1610612744,Golden State Warriors,203546,Ian Clark,G,SG,04-08-2017,21601195,GSW,NOP,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-4.2,15.85,11,4,5,27
6204,2017,2016-17,1610612744,Golden State Warriors,1627775,Patrick McCaw,G,SG,04-08-2017,21601195,GSW,NOP,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,10.2,28.95,25,4,5,32
6223,2017,2016-17,1610612740,New Orleans Pelicans,1627767,Cheick Diallo,F,PF,04-08-2017,21601195,GSW,NOP,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.5,5.45,1,4,5,50
6226,2017,2016-17,1610612744,Golden State Warriors,203546,Ian Clark,G,SG,04-08-2017,21601195,GSW,NOP,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,18.6,5.55,18,4,6,18
6228,2017,2016-17,1610612740,New Orleans Pelicans,201950,Jrue Holiday,G,PG,04-08-2017,21601195,GSW,NOP,Made Shot,True,Driving Bank Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,2.2,13.25,8,4,6,40
6231,2017,2016-17,1610612744,Golden State Warriors,201142,Kevin Durant,F,PF,04-08-2017,21601195,GSW,NOP,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-13.7,17.25,18,4,6,57
6239,2017,2016-17,1610612740,New Orleans Pelicans,202348,Jordan Crawford,G,SG,04-08-2017,21601195,GSW,NOP,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-8.9,30.45,26,4,7,10
6244,2017,2016-17,1610612744,Golden State Warriors,203546,Ian Clark,G,SG,04-08-2017,21601195,GSW,NOP,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,7.1,20.85,17,4,7,25
6259,2017,2016-17,1610612744,Golden State Warriors,2733,Shaun Livingston,G,PG,04-08-2017,21601195,GSW,NOP,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,7,58
6276,2017,2016-17,1610612744,Golden State Warriors,201142,Kevin Durant,F,PF,04-08-2017,21601195,GSW,NOP,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-8.6,15.35,13,4,8,24
6283,2017,2016-17,1610612740,New Orleans Pelicans,1627767,Cheick Diallo,F,PF,04-08-2017,21601195,GSW,NOP,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,13.7,15.75,17,4,8,40
6300,2017,2016-17,1610612740,New Orleans Pelicans,201950,Jrue Holiday,G,PG,04-08-2017,21601195,GSW,NOP,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.4,6.85,1,4,9,12
6314,2017,2016-17,1610612740,New Orleans Pelicans,1626188,Quinn Cook,G,PG,04-08-2017,21601195,GSW,NOP,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,17.8,26.05,27,4,9,32
6317,2017,2016-17,1610612744,Golden State Warriors,203546,Ian Clark,G,SG,04-08-2017,21601195,GSW,NOP,Made Shot,True,Driving Floating Bank Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-9.1,11.45,11,4,9,47
6322,2017,2016-17,1610612740,New Orleans Pelicans,201950,Jrue Holiday,G,PG,04-08-2017,21601195,GSW,NOP,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,17.6,27.15,28,4,10,1
6326,2017,2016-17,1610612744,Golden State Warriors,2738,Andre Iguodala,F,SF,04-08-2017,21601195,GSW,NOP,Made Shot,True,Pullup Jump shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.8,9.05,24,4,10,23
6331,2017,2016-17,1610612740,New Orleans Pelicans,202348,Jordan Crawford,G,SG,04-08-2017,21601195,GSW,NOP,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.5,10.35,24,4,10,32
