,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
101800,2017,2016-17,1610612752,New York Knicks,201565,Derrick Rose,G,PG,01-18-2017,21600630,BOS,NYK,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,1.1,12.25,7,4,0,16
101802,2017,2016-17,1610612738,Boston Celtics,1627759,Jaylen Brown,F,SF,01-18-2017,21600630,BOS,NYK,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.6,5.15,0,4,0,41
101815,2017,2016-17,1610612738,Boston Celtics,201143,Al Horford,C,C,01-18-2017,21600630,BOS,NYK,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.9,4.15,1,4,1,3
101817,2017,2016-17,1610612738,Boston Celtics,202738,Isaiah Thomas,G,PG,01-18-2017,21600630,BOS,NYK,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.2,5.55,2,4,1,5
101818,2017,2016-17,1610612752,New York Knicks,1627850,Marshall Plumlee,C,C,01-18-2017,21600630,BOS,NYK,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.6,5.95,1,4,1,11
101823,2017,2016-17,1610612752,New York Knicks,201565,Derrick Rose,G,PG,01-18-2017,21600630,BOS,NYK,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,4.8,24.05,19,4,1,34
101846,2017,2016-17,1610612738,Boston Celtics,202738,Isaiah Thomas,G,PG,01-18-2017,21600630,BOS,NYK,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.4,6.05,0,4,2,14
101847,2017,2016-17,1610612752,New York Knicks,201565,Derrick Rose,G,PG,01-18-2017,21600630,BOS,NYK,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,3.7,23.55,18,4,2,25
101850,2017,2016-17,1610612738,Boston Celtics,203109,Jae Crowder,F,SF,01-18-2017,21600630,BOS,NYK,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,20.7,4.65,20,4,2,47
101859,2017,2016-17,1610612738,Boston Celtics,202738,Isaiah Thomas,G,PG,01-18-2017,21600630,BOS,NYK,Missed Shot,False,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.1,6.35,1,4,2,51
101862,2017,2016-17,1610612752,New York Knicks,201584,Courtney Lee,G,SG,01-18-2017,21600630,BOS,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.3,6.85,23,4,2,56
101867,2017,2016-17,1610612738,Boston Celtics,202738,Isaiah Thomas,G,PG,01-18-2017,21600630,BOS,NYK,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.5,6.35,2,4,3,18
101872,2017,2016-17,1610612752,New York Knicks,201565,Derrick Rose,G,PG,01-18-2017,21600630,BOS,NYK,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-2.2,9.95,5,4,3,34
101876,2017,2016-17,1610612752,New York Knicks,201565,Derrick Rose,G,PG,01-18-2017,21600630,BOS,NYK,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,11.7,18.65,17,4,4,9
101882,2017,2016-17,1610612738,Boston Celtics,201143,Al Horford,C,C,01-18-2017,21600630,BOS,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,1.1,30.95,25,4,4,31
101888,2017,2016-17,1610612738,Boston Celtics,1626179,Terry Rozier,G,PG,01-18-2017,21600630,BOS,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,16.8,25.25,26,4,4,59
101895,2017,2016-17,1610612738,Boston Celtics,203935,Marcus Smart,G,SG,01-18-2017,21600630,BOS,NYK,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,1.6,16.85,11,4,5,4
101898,2017,2016-17,1610612752,New York Knicks,2546,Carmelo Anthony,F,SF,01-18-2017,21600630,BOS,NYK,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.0,7.85,23,4,5,20
101902,2017,2016-17,1610612738,Boston Celtics,202738,Isaiah Thomas,G,PG,01-18-2017,21600630,BOS,NYK,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.0,6.85,1,4,5,34
101938,2017,2016-17,1610612752,New York Knicks,201565,Derrick Rose,G,PG,01-18-2017,21600630,BOS,NYK,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.4,5.45,0,4,6,6
101942,2017,2016-17,1610612752,New York Knicks,201565,Derrick Rose,G,PG,01-18-2017,21600630,BOS,NYK,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.1,5.15,1,4,6,9
101948,2017,2016-17,1610612752,New York Knicks,201943,Brandon Jennings,G,PG,01-18-2017,21600630,BOS,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.2,6.85,23,4,6,12
101955,2017,2016-17,1610612738,Boston Celtics,202738,Isaiah Thomas,G,PG,01-18-2017,21600630,BOS,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,10.4,28.05,25,4,6,29
101959,2017,2016-17,1610612752,New York Knicks,203200,Justin Holiday,G,SG,01-18-2017,21600630,BOS,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,21.0,20.15,25,4,6,39
101966,2017,2016-17,1610612738,Boston Celtics,101161,Amir Johnson,F,PF,01-18-2017,21600630,BOS,NYK,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.7,5.95,1,4,6,46
101987,2017,2016-17,1610612752,New York Knicks,201584,Courtney Lee,G,SG,01-18-2017,21600630,BOS,NYK,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,15.5,25.75,25,4,7,10
101991,2017,2016-17,1610612738,Boston Celtics,202738,Isaiah Thomas,G,PG,01-18-2017,21600630,BOS,NYK,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-5.8,22.15,17,4,7,19
101993,2017,2016-17,1610612752,New York Knicks,203200,Justin Holiday,G,SG,01-18-2017,21600630,BOS,NYK,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,19.7,22.65,26,4,7,39
102012,2017,2016-17,1610612752,New York Knicks,201584,Courtney Lee,G,SG,01-18-2017,21600630,BOS,NYK,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-9.6,21.65,19,4,8,3
102021,2017,2016-17,1610612738,Boston Celtics,202738,Isaiah Thomas,G,PG,01-18-2017,21600630,BOS,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-15.3,28.15,27,4,8,18
102023,2017,2016-17,1610612752,New York Knicks,201565,Derrick Rose,G,PG,01-18-2017,21600630,BOS,NYK,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,14.3,18.65,19,4,8,42
102041,2017,2016-17,1610612752,New York Knicks,203200,Justin Holiday,G,SG,01-18-2017,21600630,BOS,NYK,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-4.0,26.05,21,4,9,1
102047,2017,2016-17,1610612738,Boston Celtics,1626179,Terry Rozier,G,PG,01-18-2017,21600630,BOS,NYK,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-2.0,30.65,25,4,9,16
102050,2017,2016-17,1610612752,New York Knicks,201565,Derrick Rose,G,PG,01-18-2017,21600630,BOS,NYK,Made Shot,True,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.4,5.15,0,4,9,27
102068,2017,2016-17,1610612752,New York Knicks,201943,Brandon Jennings,G,PG,01-18-2017,21600630,BOS,NYK,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,1.6,21.25,16,4,10,4
102086,2017,2016-17,1610612738,Boston Celtics,1627759,Jaylen Brown,F,SF,01-18-2017,21600630,BOS,NYK,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.8,5.55,2,4,10,24
102096,2017,2016-17,1610612738,Boston Celtics,201143,Al Horford,C,C,01-18-2017,21600630,BOS,NYK,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-11.7,22.15,20,4,10,55
102100,2017,2016-17,1610612738,Boston Celtics,202738,Isaiah Thomas,G,PG,01-18-2017,21600630,BOS,NYK,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.4,6.85,2,4,10,59
102112,2017,2016-17,1610612752,New York Knicks,1626195,Willy Hernangomez,C,C,01-18-2017,21600630,BOS,NYK,Made Shot,True,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,11,20
102136,2017,2016-17,1610612738,Boston Celtics,1626179,Terry Rozier,G,PG,01-18-2017,21600630,BOS,NYK,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.8,5.75,1,3,0,3
102143,2017,2016-17,1610612738,Boston Celtics,202738,Isaiah Thomas,G,PG,01-18-2017,21600630,BOS,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,22.8,17.85,26,3,0,0
102150,2017,2016-17,1610612752,New York Knicks,2546,Carmelo Anthony,F,SF,01-18-2017,21600630,BOS,NYK,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-8.7,15.85,13,3,0,10
102159,2017,2016-17,1610612738,Boston Celtics,1627759,Jaylen Brown,F,SF,01-18-2017,21600630,BOS,NYK,Made Shot,True,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.7,6.55,1,3,0,32
102165,2017,2016-17,1610612738,Boston Celtics,1626179,Terry Rozier,G,PG,01-18-2017,21600630,BOS,NYK,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,3.75,1,3,0,33
102172,2017,2016-17,1610612738,Boston Celtics,203109,Jae Crowder,F,SF,01-18-2017,21600630,BOS,NYK,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.45,0,3,1,3
102173,2017,2016-17,1610612752,New York Knicks,1626195,Willy Hernangomez,C,C,01-18-2017,21600630,BOS,NYK,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.4,6.35,1,3,1,16
