,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
168204,2017,2016-17,1610612752,New York Knicks,201149,Joakim Noah,C,C,11-26-2016,21600241,CHA,NYK,Missed Shot,False,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,3.3,6.15,3,1,7,5
168205,2017,2016-17,1610612752,New York Knicks,2546,Carmelo Anthony,F,SF,11-26-2016,21600241,CHA,NYK,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.4,5.25,0,4,0,3
168206,2017,2016-17,1610612752,New York Knicks,203200,Justin Holiday,G,SG,11-26-2016,21600241,CHA,NYK,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.0,8.85,23,4,0,11
168208,2017,2016-17,1610612752,New York Knicks,2546,Carmelo Anthony,F,SF,11-26-2016,21600241,CHA,NYK,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,10.6,12.95,13,4,0,25
168210,2017,2016-17,1610612766,Charlotte Hornets,202689,Kemba Walker,G,PG,11-26-2016,21600241,CHA,NYK,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,5.95,1,4,0,31
168211,2017,2016-17,1610612752,New York Knicks,1626195,Willy Hernangomez,C,C,11-26-2016,21600241,CHA,NYK,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.5,5.15,1,4,0,47
168212,2017,2016-17,1610612766,Charlotte Hornets,202689,Kemba Walker,G,PG,11-26-2016,21600241,CHA,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-14.6,25.55,25,4,0,57
168213,2017,2016-17,1610612752,New York Knicks,201565,Derrick Rose,G,PG,11-26-2016,21600241,CHA,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.0,29.15,23,4,1,17
168215,2017,2016-17,1610612766,Charlotte Hornets,202689,Kemba Walker,G,PG,11-26-2016,21600241,CHA,NYK,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.4,11.95,6,4,1,32
168217,2017,2016-17,1610612766,Charlotte Hornets,1626163,Frank Kaminsky,C,C,11-26-2016,21600241,CHA,NYK,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,16.8,23.25,24,4,2,0
168218,2017,2016-17,1610612752,New York Knicks,201584,Courtney Lee,G,SG,11-26-2016,21600241,CHA,NYK,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.3,7.55,23,4,2,29
168220,2017,2016-17,1610612766,Charlotte Hornets,1626163,Frank Kaminsky,C,C,11-26-2016,21600241,CHA,NYK,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,5.95,1,4,2,49
168221,2017,2016-17,1610612752,New York Knicks,201565,Derrick Rose,G,PG,11-26-2016,21600241,CHA,NYK,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-3.2,29.45,24,4,3,6
168223,2017,2016-17,1610612766,Charlotte Hornets,203087,Jeremy Lamb,G,SG,11-26-2016,21600241,CHA,NYK,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,12.0,17.35,17,4,3,25
168224,2017,2016-17,1610612752,New York Knicks,204001,Kristaps Porzingis,F,PF,11-26-2016,21600241,CHA,NYK,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,3.5,24.05,19,4,3,46
168225,2017,2016-17,1610612752,New York Knicks,2546,Carmelo Anthony,F,SF,11-26-2016,21600241,CHA,NYK,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,11.9,8.35,12,4,3,58
168229,2017,2016-17,1610612766,Charlotte Hornets,1626163,Frank Kaminsky,C,C,11-26-2016,21600241,CHA,NYK,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,1.2,29.95,24,4,4,16
168230,2017,2016-17,1610612766,Charlotte Hornets,202689,Kemba Walker,G,PG,11-26-2016,21600241,CHA,NYK,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.7,5.45,0,4,4,26
168233,2017,2016-17,1610612752,New York Knicks,204001,Kristaps Porzingis,F,PF,11-26-2016,21600241,CHA,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.5,6.85,22,4,4,36
168239,2017,2016-17,1610612766,Charlotte Hornets,202689,Kemba Walker,G,PG,11-26-2016,21600241,CHA,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-4.2,29.45,24,4,4,51
