,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
92621,2017,2016-17,1610612752,New York Knicks,204001,Kristaps Porzingis,F,PF,01-25-2017,21600688,DAL,NYK,Missed Shot,False,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-4.2,6.05,4,4,0,19
92625,2017,2016-17,1610612752,New York Knicks,2546,Carmelo Anthony,F,SF,01-25-2017,21600688,DAL,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,14.5,25.75,25,4,0,23
92653,2017,2016-17,1610612742,Dallas Mavericks,1626147,Justin Anderson,F,SF,01-25-2017,21600688,DAL,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.4,30.15,24,4,0,36
92674,2017,2016-17,1610612752,New York Knicks,204001,Kristaps Porzingis,F,PF,01-25-2017,21600688,DAL,NYK,Made Shot,True,Jump Bank Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.7,7.85,3,4,0,56
92678,2017,2016-17,1610612752,New York Knicks,204001,Kristaps Porzingis,F,PF,01-25-2017,21600688,DAL,NYK,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,1.2,11.35,6,4,0,58
92685,2017,2016-17,1610612742,Dallas Mavericks,1626147,Justin Anderson,F,SF,01-25-2017,21600688,DAL,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-7.1,30.15,25,4,1,10
92689,2017,2016-17,1610612752,New York Knicks,203200,Justin Holiday,G,SG,01-25-2017,21600688,DAL,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,18.4,23.25,25,4,1,24
92694,2017,2016-17,1610612742,Dallas Mavericks,203084,Harrison Barnes,F,PF,01-25-2017,21600688,DAL,NYK,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,6.3,25.05,20,4,1,35
92697,2017,2016-17,1610612752,New York Knicks,201584,Courtney Lee,G,SG,01-25-2017,21600688,DAL,NYK,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,15.1,6.35,15,4,2,3
92716,2017,2016-17,1610612742,Dallas Mavericks,1626147,Justin Anderson,F,SF,01-25-2017,21600688,DAL,NYK,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.15,0,4,2,18
92718,2017,2016-17,1610612752,New York Knicks,201565,Derrick Rose,G,PG,01-25-2017,21600688,DAL,NYK,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.6,4.65,0,4,2,39
92740,2017,2016-17,1610612742,Dallas Mavericks,203552,Seth Curry,G,PG,01-25-2017,21600688,DAL,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-14.1,25.55,24,4,2,58
92746,2017,2016-17,1610612752,New York Knicks,2546,Carmelo Anthony,F,SF,01-25-2017,21600688,DAL,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-10.9,26.55,23,4,3,21
92780,2017,2016-17,1610612742,Dallas Mavericks,203510,Pierre Jackson,G,PG,01-25-2017,21600688,DAL,NYK,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.4,6.35,2,4,4,33
92787,2017,2016-17,1610612752,New York Knicks,201584,Courtney Lee,G,SG,01-25-2017,21600688,DAL,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-14.5,27.55,26,4,4,44
92803,2017,2016-17,1610612742,Dallas Mavericks,203084,Harrison Barnes,F,PF,01-25-2017,21600688,DAL,NYK,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-13.2,15.75,16,4,5,10
92813,2017,2016-17,1610612752,New York Knicks,201565,Derrick Rose,G,PG,01-25-2017,21600688,DAL,NYK,Missed Shot,False,Floating Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,10.9,18.15,16,4,5,24
92822,2017,2016-17,1610612742,Dallas Mavericks,1626147,Justin Anderson,F,SF,01-25-2017,21600688,DAL,NYK,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,21.5,6.85,21,4,5,33
92826,2017,2016-17,1610612752,New York Knicks,1627758,Ron Baker,G,SG,01-25-2017,21600688,DAL,NYK,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-16.3,7.55,16,4,5,57
92837,2017,2016-17,1610612742,Dallas Mavericks,203552,Seth Curry,G,PG,01-25-2017,21600688,DAL,NYK,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-12.0,23.05,21,4,6,24
92839,2017,2016-17,1610612752,New York Knicks,1627758,Ron Baker,G,SG,01-25-2017,21600688,DAL,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.5,7.85,23,4,6,33
92846,2017,2016-17,1610612742,Dallas Mavericks,203084,Harrison Barnes,F,PF,01-25-2017,21600688,DAL,NYK,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,7.85,2,4,6,40
92849,2017,2016-17,1610612752,New York Knicks,204001,Kristaps Porzingis,F,PF,01-25-2017,21600688,DAL,NYK,Made Shot,True,Fadeaway Bank shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-7.1,7.85,7,4,6,58
92870,2017,2016-17,1610612752,New York Knicks,1626195,Willy Hernangomez,C,C,01-25-2017,21600688,DAL,NYK,Made Shot,True,Floating Jump shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,8.85,3,4,7,33
92876,2017,2016-17,1610612742,Dallas Mavericks,1626147,Justin Anderson,F,SF,01-25-2017,21600688,DAL,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-17.7,23.55,25,4,7,45
92916,2017,2016-17,1610612742,Dallas Mavericks,203510,Pierre Jackson,G,PG,01-25-2017,21600688,DAL,NYK,Made Shot,True,Driving Bank shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-3.3,5.25,3,4,8,12
92921,2017,2016-17,1610612752,New York Knicks,1626195,Willy Hernangomez,C,C,01-25-2017,21600688,DAL,NYK,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.9,4.25,1,4,8,21
92923,2017,2016-17,1610612742,Dallas Mavericks,203939,Dwight Powell,C,C,01-25-2017,21600688,DAL,NYK,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,8,26
92927,2017,2016-17,1610612752,New York Knicks,1626195,Willy Hernangomez,C,C,01-25-2017,21600688,DAL,NYK,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.4,5.25,2,4,8,47
92934,2017,2016-17,1610612752,New York Knicks,204001,Kristaps Porzingis,F,PF,01-25-2017,21600688,DAL,NYK,Missed Shot,False,Jump Bank Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,12.9,14.95,16,4,8,50
92960,2017,2016-17,1610612742,Dallas Mavericks,2734,Devin Harris,G,PG,01-25-2017,21600688,DAL,NYK,Missed Shot,False,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.9,4.65,1,4,9,1
92966,2017,2016-17,1610612752,New York Knicks,1627851,Mindaugas Kuzminskas,F,SF,01-25-2017,21600688,DAL,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,16.6,23.55,24,4,9,8
92972,2017,2016-17,1610612742,Dallas Mavericks,2734,Devin Harris,G,PG,01-25-2017,21600688,DAL,NYK,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,8.1,29.15,25,4,9,21
92980,2017,2016-17,1610612752,New York Knicks,1626195,Willy Hernangomez,C,C,01-25-2017,21600688,DAL,NYK,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.7,5.45,1,4,9,38
92991,2017,2016-17,1610612742,Dallas Mavericks,2734,Devin Harris,G,PG,01-25-2017,21600688,DAL,NYK,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.6,5.15,0,4,9,44
92993,2017,2016-17,1610612752,New York Knicks,201584,Courtney Lee,G,SG,01-25-2017,21600688,DAL,NYK,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-3.0,7.05,3,4,10,2
93004,2017,2016-17,1610612752,New York Knicks,201584,Courtney Lee,G,SG,01-25-2017,21600688,DAL,NYK,Missed Shot,False,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.7,5.55,1,4,10,6
93007,2017,2016-17,1610612752,New York Knicks,204001,Kristaps Porzingis,F,PF,01-25-2017,21600688,DAL,NYK,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,3.0,17.25,12,4,10,9
93014,2017,2016-17,1610612742,Dallas Mavericks,203510,Pierre Jackson,G,PG,01-25-2017,21600688,DAL,NYK,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-2.8,22.75,17,4,10,20
93026,2017,2016-17,1610612742,Dallas Mavericks,1626147,Justin Anderson,F,SF,01-25-2017,21600688,DAL,NYK,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.1,4.65,1,4,10,39
93031,2017,2016-17,1610612742,Dallas Mavericks,2734,Devin Harris,G,PG,01-25-2017,21600688,DAL,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,13.2,25.55,24,4,10,41
93033,2017,2016-17,1610612752,New York Knicks,201584,Courtney Lee,G,SG,01-25-2017,21600688,DAL,NYK,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,9.9,27.05,23,4,11,0
