,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
114969,2017,2016-17,1610612752,New York Knicks,1627758,Ron Baker,G,SG,01-07-2017,21600552,IND,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.9,31.65,26,4,0,15
114980,2017,2016-17,1610612754,Indiana Pacers,203922,Glenn Robinson III,F,SF,01-07-2017,21600552,IND,NYK,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.0,7.55,23,4,0,26
114986,2017,2016-17,1610612754,Indiana Pacers,202338,Kevin Seraphin,F,PF,01-07-2017,21600552,IND,NYK,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-8.4,26.55,22,4,0,43
114989,2017,2016-17,1610612752,New York Knicks,1626195,Willy Hernangomez,C,C,01-07-2017,21600552,IND,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.9,30.95,25,4,1,3
114991,2017,2016-17,1610612754,Indiana Pacers,1626202,Joe Young,G,PG,01-07-2017,21600552,IND,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,13.0,27.55,25,4,1,12
114993,2017,2016-17,1610612754,Indiana Pacers,201952,Jeff Teague,G,PG,01-07-2017,21600552,IND,NYK,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.6,7.05,1,4,1,17
114995,2017,2016-17,1610612752,New York Knicks,201943,Brandon Jennings,G,PG,01-07-2017,21600552,IND,NYK,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,12.5,28.15,26,4,1,35
115024,2017,2016-17,1610612752,New York Knicks,201943,Brandon Jennings,G,PG,01-07-2017,21600552,IND,NYK,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-6.1,31.45,26,4,2,8
115051,2017,2016-17,1610612752,New York Knicks,1626195,Willy Hernangomez,C,C,01-07-2017,21600552,IND,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-2.4,31.45,26,4,3,2
115054,2017,2016-17,1610612754,Indiana Pacers,202331,Paul George,F,SF,01-07-2017,21600552,IND,NYK,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,16.3,15.25,19,4,3,18
115059,2017,2016-17,1610612752,New York Knicks,1627851,Mindaugas Kuzminskas,F,SF,01-07-2017,21600552,IND,NYK,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.6,5.45,0,4,3,39
115062,2017,2016-17,1610612752,New York Knicks,1627851,Mindaugas Kuzminskas,F,SF,01-07-2017,21600552,IND,NYK,Made Shot,True,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.5,7.15,1,4,5,59
115066,2017,2016-17,1610612754,Indiana Pacers,201152,Thaddeus Young,F,PF,01-07-2017,21600552,IND,NYK,Made Shot,True,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,3,50
115070,2017,2016-17,1610612752,New York Knicks,1627851,Mindaugas Kuzminskas,F,SF,01-07-2017,21600552,IND,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-13.7,27.65,26,4,3,58
115092,2017,2016-17,1610612752,New York Knicks,1627851,Mindaugas Kuzminskas,F,SF,01-07-2017,21600552,IND,NYK,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.2,7.35,3,4,4,57
115102,2017,2016-17,1610612754,Indiana Pacers,201952,Jeff Teague,G,PG,01-07-2017,21600552,IND,NYK,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.1,7.85,2,4,5,1
115112,2017,2016-17,1610612752,New York Knicks,1627851,Mindaugas Kuzminskas,F,SF,01-07-2017,21600552,IND,NYK,Made Shot,True,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-3.2,7.85,4,4,5,37
115124,2017,2016-17,1610612752,New York Knicks,1626195,Willy Hernangomez,C,C,01-07-2017,21600552,IND,NYK,Missed Shot,False,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.7,8.35,3,4,6,1
115129,2017,2016-17,1610612754,Indiana Pacers,202331,Paul George,F,SF,01-07-2017,21600552,IND,NYK,Missed Shot,False,Driving Dunk Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-3.0,8.35,4,4,6,10
115143,2017,2016-17,1610612752,New York Knicks,201943,Brandon Jennings,G,PG,01-07-2017,21600552,IND,NYK,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,9.6,8.35,10,4,6,30
115149,2017,2016-17,1610612752,New York Knicks,1627851,Mindaugas Kuzminskas,F,SF,01-07-2017,21600552,IND,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,16.1,25.05,25,4,6,34
115153,2017,2016-17,1610612754,Indiana Pacers,2744,Al Jefferson,C,C,01-07-2017,21600552,IND,NYK,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,5.3,7.85,5,4,6,42
115164,2017,2016-17,1610612752,New York Knicks,201943,Brandon Jennings,G,PG,01-07-2017,21600552,IND,NYK,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-3.5,16.25,11,4,6,59
115171,2017,2016-17,1610612754,Indiana Pacers,2744,Al Jefferson,C,C,01-07-2017,21600552,IND,NYK,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-5.5,8.05,6,4,7,6
115173,2017,2016-17,1610612752,New York Knicks,201943,Brandon Jennings,G,PG,01-07-2017,21600552,IND,NYK,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.8,11.35,24,4,7,22
115177,2017,2016-17,1610612752,New York Knicks,1627851,Mindaugas Kuzminskas,F,SF,01-07-2017,21600552,IND,NYK,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,13.7,28.05,26,4,7,43
115204,2017,2016-17,1610612754,Indiana Pacers,101139,CJ Miles,F,SF,01-07-2017,21600552,IND,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-8.1,30.95,26,4,8,30
115207,2017,2016-17,1610612752,New York Knicks,204001,Kristaps Porzingis,F,PF,01-07-2017,21600552,IND,NYK,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.1,31.95,26,4,8,44
115209,2017,2016-17,1610612754,Indiana Pacers,101139,CJ Miles,F,SF,01-07-2017,21600552,IND,NYK,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.3,6.85,23,4,8,54
115220,2017,2016-17,1610612754,Indiana Pacers,101145,Monta Ellis,G,SG,01-07-2017,21600552,IND,NYK,Missed Shot,False,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-3.2,6.55,3,4,9,22
115223,2017,2016-17,1610612752,New York Knicks,1626195,Willy Hernangomez,C,C,01-07-2017,21600552,IND,NYK,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-5.0,7.35,5,4,9,31
115232,2017,2016-17,1610612752,New York Knicks,201943,Brandon Jennings,G,PG,01-07-2017,21600552,IND,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-8.7,30.15,26,4,9,50
115243,2017,2016-17,1610612752,New York Knicks,1626195,Willy Hernangomez,C,C,01-07-2017,21600552,IND,NYK,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.7,6.55,1,4,9,57
115246,2017,2016-17,1610612752,New York Knicks,201943,Brandon Jennings,G,PG,01-07-2017,21600552,IND,NYK,Made Shot,True,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,19.7,8.35,19,4,10,18
115254,2017,2016-17,1610612754,Indiana Pacers,202338,Kevin Seraphin,F,PF,01-07-2017,21600552,IND,NYK,Missed Shot,False,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.9,6.55,2,4,10,26
115258,2017,2016-17,1610612754,Indiana Pacers,2744,Al Jefferson,C,C,01-07-2017,21600552,IND,NYK,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,6.0,7.85,6,4,10,28
115260,2017,2016-17,1610612752,New York Knicks,201943,Brandon Jennings,G,PG,01-07-2017,21600552,IND,NYK,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.4,6.35,2,4,10,45
115261,2017,2016-17,1610612754,Indiana Pacers,2744,Al Jefferson,C,C,01-07-2017,21600552,IND,NYK,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.4,11.35,6,4,10,53
115264,2017,2016-17,1610612752,New York Knicks,201943,Brandon Jennings,G,PG,01-07-2017,21600552,IND,NYK,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.8,11.45,23,4,11,12
115266,2017,2016-17,1610612754,Indiana Pacers,101139,CJ Miles,F,SF,01-07-2017,21600552,IND,NYK,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-24.6,6.85,24,4,11,27
115271,2017,2016-17,1610612752,New York Knicks,1627851,Mindaugas Kuzminskas,F,SF,01-07-2017,21600552,IND,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,21.9,17.35,25,4,11,49
115282,2017,2016-17,1610612754,Indiana Pacers,202331,Paul George,F,SF,01-07-2017,21600552,IND,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-14.8,42.75,40,3,0,0
115284,2017,2016-17,1610612752,New York Knicks,2546,Carmelo Anthony,F,SF,01-07-2017,21600552,IND,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,22.8,17.25,25,3,0,4
115286,2017,2016-17,1610612754,Indiana Pacers,1626167,Myles Turner,C,C,01-07-2017,21600552,IND,NYK,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.7,5.55,0,3,0,21
115287,2017,2016-17,1610612752,New York Knicks,201943,Brandon Jennings,G,PG,01-07-2017,21600552,IND,NYK,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-2.8,10.35,5,3,0,34
115293,2017,2016-17,1610612754,Indiana Pacers,201166,Aaron Brooks,G,PG,01-07-2017,21600552,IND,NYK,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.1,7.35,2,3,0,48
115295,2017,2016-17,1610612754,Indiana Pacers,202331,Paul George,F,SF,01-07-2017,21600552,IND,NYK,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.7,6.05,2,3,0,48
115301,2017,2016-17,1610612752,New York Knicks,2546,Carmelo Anthony,F,SF,01-07-2017,21600552,IND,NYK,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.1,7.55,2,3,0,54
115306,2017,2016-17,1610612754,Indiana Pacers,1626167,Myles Turner,C,C,01-07-2017,21600552,IND,NYK,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-10.4,7.35,10,3,1,6
115308,2017,2016-17,1610612752,New York Knicks,2546,Carmelo Anthony,F,SF,01-07-2017,21600552,IND,NYK,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,12.2,28.15,25,3,1,25
115316,2017,2016-17,1610612752,New York Knicks,201584,Courtney Lee,G,SG,01-07-2017,21600552,IND,NYK,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.1,18.15,12,3,1,54
115323,2017,2016-17,1610612754,Indiana Pacers,1626167,Myles Turner,C,C,01-07-2017,21600552,IND,NYK,Made Shot,True,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,10.4,9.85,11,3,2,3
115327,2017,2016-17,1610612752,New York Knicks,202498,Lance Thomas,F,PF,01-07-2017,21600552,IND,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,13.3,27.55,25,3,2,19
115346,2017,2016-17,1610612752,New York Knicks,202498,Lance Thomas,F,PF,01-07-2017,21600552,IND,NYK,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-1.0,10.45,5,3,2,57
115356,2017,2016-17,1610612752,New York Knicks,201584,Courtney Lee,G,SG,01-07-2017,21600552,IND,NYK,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.7,7.35,3,3,3,30
115362,2017,2016-17,1610612754,Indiana Pacers,202331,Paul George,F,SF,01-07-2017,21600552,IND,NYK,Made Shot,True,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.9,9.95,4,3,4,4
115368,2017,2016-17,1610612752,New York Knicks,203124,Kyle O'Quinn,C,C,01-07-2017,21600552,IND,NYK,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,6.85,1,3,4,29
115377,2017,2016-17,1610612752,New York Knicks,201565,Derrick Rose,G,PG,01-07-2017,21600552,IND,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,5.8,30.95,26,3,4,35
