,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
204039,2017,2016-17,1610612753,Orlando Magic,203095,Evan Fournier,G,SG,10-29-2016,21600029,CLE,ORL,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,5.15,0,4,0,13
204041,2017,2016-17,1610612753,Orlando Magic,201145,Jeff Green,F,PF,10-29-2016,21600029,CLE,ORL,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.5,8.55,22,4,0,18
204042,2017,2016-17,1610612753,Orlando Magic,203901,Elfrid Payton,G,PG,10-29-2016,21600029,CLE,ORL,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,5.45,0,4,0,27
204043,2017,2016-17,1610612739,Cleveland Cavaliers,2747,JR Smith,G,SG,10-29-2016,21600029,CLE,ORL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-18.4,23.55,25,4,0,31
204048,2017,2016-17,1610612739,Cleveland Cavaliers,2747,JR Smith,G,SG,10-29-2016,21600029,CLE,ORL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,11.0,27.65,24,4,0,50
204051,2017,2016-17,1610612753,Orlando Magic,201586,Serge Ibaka,F,PF,10-29-2016,21600029,CLE,ORL,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,1,12
204052,2017,2016-17,1610612753,Orlando Magic,203901,Elfrid Payton,G,PG,10-29-2016,21600029,CLE,ORL,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.0,7.05,2,4,1,12
204056,2017,2016-17,1610612739,Cleveland Cavaliers,2544,LeBron James,F,SF,10-29-2016,21600029,CLE,ORL,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-1.7,9.35,4,4,1,21
204059,2017,2016-17,1610612753,Orlando Magic,201586,Serge Ibaka,F,PF,10-29-2016,21600029,CLE,ORL,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,1,43
204064,2017,2016-17,1610612739,Cleveland Cavaliers,2544,LeBron James,F,SF,10-29-2016,21600029,CLE,ORL,Made Shot,True,Turnaround Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,8.85,3,4,1,54
204069,2017,2016-17,1610612753,Orlando Magic,201571,D.J. Augustin,G,PG,10-29-2016,21600029,CLE,ORL,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,22.2,17.65,25,4,2,18
204070,2017,2016-17,1610612739,Cleveland Cavaliers,2747,JR Smith,G,SG,10-29-2016,21600029,CLE,ORL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,13.8,26.05,24,4,2,46
204071,2017,2016-17,1610612753,Orlando Magic,203095,Evan Fournier,G,SG,10-29-2016,21600029,CLE,ORL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-14.1,29.15,27,4,3,11
204073,2017,2016-17,1610612739,Cleveland Cavaliers,2747,JR Smith,G,SG,10-29-2016,21600029,CLE,ORL,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.2,5.45,22,4,3,31
204074,2017,2016-17,1610612753,Orlando Magic,203901,Elfrid Payton,G,PG,10-29-2016,21600029,CLE,ORL,Made Shot,True,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,7.8,18.35,15,4,3,59
204076,2017,2016-17,1610612739,Cleveland Cavaliers,202681,Kyrie Irving,G,PG,10-29-2016,21600029,CLE,ORL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-15.3,28.15,27,4,4,5
204082,2017,2016-17,1610612753,Orlando Magic,201571,D.J. Augustin,G,PG,10-29-2016,21600029,CLE,ORL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,12.0,28.15,25,4,4,21
204086,2017,2016-17,1610612739,Cleveland Cavaliers,2399,Mike Dunleavy,F,SF,10-29-2016,21600029,CLE,ORL,Missed Shot,False,Driving Bank shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-6.0,8.05,6,4,4,44
204099,2017,2016-17,1610612739,Cleveland Cavaliers,2544,LeBron James,F,SF,10-29-2016,21600029,CLE,ORL,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,5.25,0,4,5,25
204103,2017,2016-17,1610612739,Cleveland Cavaliers,2544,LeBron James,F,SF,10-29-2016,21600029,CLE,ORL,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-2.2,10.35,5,4,5,30
204109,2017,2016-17,1610612739,Cleveland Cavaliers,2747,JR Smith,G,SG,10-29-2016,21600029,CLE,ORL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-18.9,23.75,26,4,5,45
204110,2017,2016-17,1610612753,Orlando Magic,201571,D.J. Augustin,G,PG,10-29-2016,21600029,CLE,ORL,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.4,7.35,2,4,6,2
204115,2017,2016-17,1610612739,Cleveland Cavaliers,201567,Kevin Love,F,PF,10-29-2016,21600029,CLE,ORL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-3.8,29.95,24,4,6,19
204116,2017,2016-17,1610612753,Orlando Magic,201571,D.J. Augustin,G,PG,10-29-2016,21600029,CLE,ORL,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.4,6.55,1,4,6,28
204120,2017,2016-17,1610612753,Orlando Magic,203095,Evan Fournier,G,SG,10-29-2016,21600029,CLE,ORL,Missed Shot,False,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.5,7.35,3,4,6,41
204134,2017,2016-17,1610612739,Cleveland Cavaliers,201567,Kevin Love,F,PF,10-29-2016,21600029,CLE,ORL,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.2,4.65,23,4,7,4
204143,2017,2016-17,1610612753,Orlando Magic,201571,D.J. Augustin,G,PG,10-29-2016,21600029,CLE,ORL,Made Shot,True,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,6.35,1,4,7,17
204151,2017,2016-17,1610612739,Cleveland Cavaliers,201567,Kevin Love,F,PF,10-29-2016,21600029,CLE,ORL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,10.4,21.15,18,4,7,24
204176,2017,2016-17,1610612753,Orlando Magic,201571,D.J. Augustin,G,PG,10-29-2016,21600029,CLE,ORL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,13.3,24.55,23,4,7,52
204184,2017,2016-17,1610612739,Cleveland Cavaliers,2399,Mike Dunleavy,F,SF,10-29-2016,21600029,CLE,ORL,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-24.0,3.15,24,4,7,58
204191,2017,2016-17,1610612739,Cleveland Cavaliers,2399,Mike Dunleavy,F,SF,10-29-2016,21600029,CLE,ORL,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.6,4.15,23,4,8,14
204203,2017,2016-17,1610612739,Cleveland Cavaliers,2210,Richard Jefferson,F,SF,10-29-2016,21600029,CLE,ORL,Missed Shot,False,Reverse Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,8,41
