,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
149377,2017,2016-17,1610612753,Orlando Magic,201571,D.J. Augustin,G,PG,12-10-2016,21600347,ORL,DEN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-6.1,31.45,26,4,0,6
149404,2017,2016-17,1610612753,Orlando Magic,201145,Jeff Green,F,PF,12-10-2016,21600347,ORL,DEN,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,17.8,25.55,26,4,0,25
149424,2017,2016-17,1610612753,Orlando Magic,203095,Evan Fournier,G,SG,12-10-2016,21600347,ORL,DEN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-8.7,29.95,26,4,0,33
149451,2017,2016-17,1610612753,Orlando Magic,203901,Elfrid Payton,G,PG,12-10-2016,21600347,ORL,DEN,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.8,12.75,24,4,1,8
149454,2017,2016-17,1610612743,Denver Nuggets,203115,Will Barton,G,SG,12-10-2016,21600347,ORL,DEN,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.1,6.85,1,4,1,26
149457,2017,2016-17,1610612753,Orlando Magic,203095,Evan Fournier,G,SG,12-10-2016,21600347,ORL,DEN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,14.0,28.95,27,4,1,42
149463,2017,2016-17,1610612743,Denver Nuggets,203999,Nikola Jokic,C,C,12-10-2016,21600347,ORL,DEN,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,7.85,2,4,1,59
149476,2017,2016-17,1610612753,Orlando Magic,202687,Bismack Biyombo,C,C,12-10-2016,21600347,ORL,DEN,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,-0.0,20.85,15,4,2,15
149482,2017,2016-17,1610612743,Denver Nuggets,203115,Will Barton,G,SG,12-10-2016,21600347,ORL,DEN,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,9.2,14.75,13,4,2,40
149484,2017,2016-17,1610612753,Orlando Magic,203932,Aaron Gordon,F,SF,12-10-2016,21600347,ORL,DEN,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,0.7,22.15,16,4,3,1
