,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
204125,2017,2016-17,1610612755,Philadelphia 76ers,204456,T.J. McConnell,G,PG,10-29-2016,21600026,PHI,ATL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-14.6,8.05,14,4,0,14
204127,2017,2016-17,1610612737,Atlanta Hawks,1627752,Taurean Prince,F,SF,10-29-2016,21600026,PHI,ATL,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,4.5,6.55,4,4,0,26
204130,2017,2016-17,1610612755,Philadelphia 76ers,1627789,Timothe Luwawu-Cabarrot,F,SF,10-29-2016,21600026,PHI,ATL,Missed Shot,False,Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,3.0,5.25,3,4,0,34
204135,2017,2016-17,1610612737,Atlanta Hawks,1627761,DeAndre' Bembry,F,SF,10-29-2016,21600026,PHI,ATL,Made Shot,True,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-12.8,5.15,12,4,0,55
204154,2017,2016-17,1610612755,Philadelphia 76ers,1626158,Richaun Holmes,C,C,10-29-2016,21600026,PHI,ATL,Made Shot,True,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.6,5.45,0,4,1,26
204168,2017,2016-17,1610612755,Philadelphia 76ers,203924,Jerami Grant,F,PF,10-29-2016,21600026,PHI,ATL,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,5.25,0,4,1,42
204175,2017,2016-17,1610612755,Philadelphia 76ers,1626158,Richaun Holmes,C,C,10-29-2016,21600026,PHI,ATL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,13.2,12.25,14,4,2,5
204181,2017,2016-17,1610612755,Philadelphia 76ers,1626158,Richaun Holmes,C,C,10-29-2016,21600026,PHI,ATL,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.1,12.95,7,4,2,11
204187,2017,2016-17,1610612737,Atlanta Hawks,204002,Edy Tavares,C,C,10-29-2016,21600026,PHI,ATL,Made Shot,True,Reverse Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,2,34
204189,2017,2016-17,1610612755,Philadelphia 76ers,1626158,Richaun Holmes,C,C,10-29-2016,21600026,PHI,ATL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,13.5,9.05,14,4,2,54
204200,2017,2016-17,1610612737,Atlanta Hawks,1627761,DeAndre' Bembry,F,SF,10-29-2016,21600026,PHI,ATL,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,6.0,13.25,10,4,3,7
204204,2017,2016-17,1610612737,Atlanta Hawks,1627752,Taurean Prince,F,SF,10-29-2016,21600026,PHI,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.2,4.15,23,4,3,30
204221,2017,2016-17,1610612737,Atlanta Hawks,2743,Kris Humphries,F,PF,10-29-2016,21600026,PHI,ATL,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.6,18.65,13,4,3,37
204223,2017,2016-17,1610612755,Philadelphia 76ers,200771,Sergio Rodriguez,G,PG,10-29-2016,21600026,PHI,ATL,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,1.7,15.25,10,4,3,57
204230,2017,2016-17,1610612737,Atlanta Hawks,1627098,Malcolm Delaney,G,PG,10-29-2016,21600026,PHI,ATL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,12.2,18.15,17,4,4,7
