,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
140867,2017,2016-17,1610612756,Phoenix Suns,1627755,Tyler Ulis,G,PG,12-17-2016,21600399,OKC,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Backcourt,Back Court,BC,Back Court Shot,-10.9,60.75,56,4,0,0
140868,2017,2016-17,1610612760,Oklahoma City Thunder,203902,Semaj Christon,G,PG,12-17-2016,21600399,OKC,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,6.1,35.85,31,4,0,1
140869,2017,2016-17,1610612756,Phoenix Suns,1627755,Tyler Ulis,G,PG,12-17-2016,21600399,OKC,PHX,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-2.0,23.05,17,4,0,24
140871,2017,2016-17,1610612760,Oklahoma City Thunder,203518,Alex Abrines,G,SG,12-17-2016,21600399,OKC,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,5.6,29.15,24,4,0,35
140872,2017,2016-17,1610612760,Oklahoma City Thunder,1627734,Domantas Sabonis,F,PF,12-17-2016,21600399,OKC,PHX,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.2,6.05,1,4,0,38
140875,2017,2016-17,1610612756,Phoenix Suns,1626210,Alan Williams,C,C,12-17-2016,21600399,OKC,PHX,Made Shot,True,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.6,6.35,1,4,1,0
140876,2017,2016-17,1610612756,Phoenix Suns,1626210,Alan Williams,C,C,12-17-2016,21600399,OKC,PHX,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.6,6.85,1,4,1,1
140877,2017,2016-17,1610612756,Phoenix Suns,1626210,Alan Williams,C,C,12-17-2016,21600399,OKC,PHX,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-1.7,10.95,5,4,1,3
140886,2017,2016-17,1610612760,Oklahoma City Thunder,1627734,Domantas Sabonis,F,PF,12-17-2016,21600399,OKC,PHX,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,5.5,24.25,19,4,1,42
140887,2017,2016-17,1610612760,Oklahoma City Thunder,1627734,Domantas Sabonis,F,PF,12-17-2016,21600399,OKC,PHX,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,7.35,2,4,1,48
140888,2017,2016-17,1610612760,Oklahoma City Thunder,203902,Semaj Christon,G,PG,12-17-2016,21600399,OKC,PHX,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,6.0,17.25,13,4,2,14
140891,2017,2016-17,1610612760,Oklahoma City Thunder,203500,Steven Adams,C,C,12-17-2016,21600399,OKC,PHX,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,2,33
140893,2017,2016-17,1610612756,Phoenix Suns,1626164,Devin Booker,G,SG,12-17-2016,21600399,OKC,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-17.6,22.65,24,4,2,50
140896,2017,2016-17,1610612760,Oklahoma City Thunder,203460,Andre Roberson,F,SF,12-17-2016,21600399,OKC,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,14.7,26.05,25,4,2,59
