,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
196593,2017,2016-17,1610612757,Portland Trail Blazers,203081,Damian Lillard,G,PG,11-04-2016,21600076,DAL,POR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,9.7,31.95,28,4,0,46
196597,2017,2016-17,1610612742,Dallas Mavericks,200826,J.J. Barea,G,PG,11-04-2016,21600076,DAL,POR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,9.7,27.15,23,4,1,2
196600,2017,2016-17,1610612757,Portland Trail Blazers,203090,Maurice Harkless,F,SF,11-04-2016,21600076,DAL,POR,Made Shot,True,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.2,5.15,1,4,1,9
196601,2017,2016-17,1610612742,Dallas Mavericks,1626257,Salah Mejri,C,C,11-04-2016,21600076,DAL,POR,Made Shot,True,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-6.4,9.55,7,4,1,22
196621,2017,2016-17,1610612757,Portland Trail Blazers,203486,Mason Plumlee,C,C,11-04-2016,21600076,DAL,POR,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,1,58
196645,2017,2016-17,1610612742,Dallas Mavericks,200826,J.J. Barea,G,PG,11-04-2016,21600076,DAL,POR,Missed Shot,False,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.7,5.55,1,4,2,25
196648,2017,2016-17,1610612757,Portland Trail Blazers,202329,Al-Farouq Aminu,F,PF,11-04-2016,21600076,DAL,POR,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.0,5.55,23,4,2,46
196654,2017,2016-17,1610612742,Dallas Mavericks,203084,Harrison Barnes,F,PF,11-04-2016,21600076,DAL,POR,Made Shot,True,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.2,5.15,1,4,3,7
196659,2017,2016-17,1610612757,Portland Trail Blazers,203468,CJ McCollum,G,SG,11-04-2016,21600076,DAL,POR,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-3.5,14.25,9,4,3,27
196662,2017,2016-17,1610612742,Dallas Mavericks,203939,Dwight Powell,C,C,11-04-2016,21600076,DAL,POR,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,13.0,18.85,18,4,3,49
196671,2017,2016-17,1610612757,Portland Trail Blazers,203081,Damian Lillard,G,PG,11-04-2016,21600076,DAL,POR,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,2.2,20.65,15,4,4,8
196678,2017,2016-17,1610612742,Dallas Mavericks,202083,Wesley Matthews,G,SG,11-04-2016,21600076,DAL,POR,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-16.4,11.35,17,4,4,19
