,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
206959,2017,2016-17,1610612757,Portland Trail Blazers,203468,CJ McCollum,G,SG,10-27-2016,21600017,POR,LAC,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-5.6,9.05,6,4,0,10
206960,2017,2016-17,1610612757,Portland Trail Blazers,203081,Damian Lillard,G,PG,10-27-2016,21600017,POR,LAC,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.4,7.35,2,4,0,22
206961,2017,2016-17,1610612757,Portland Trail Blazers,203081,Damian Lillard,G,PG,10-27-2016,21600017,POR,LAC,Made Shot,True,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.6,7.05,1,4,0,35
206962,2017,2016-17,1610612757,Portland Trail Blazers,203090,Maurice Harkless,F,SF,10-27-2016,21600017,POR,LAC,Missed Shot,False,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.4,7.35,2,4,0,36
206963,2017,2016-17,1610612757,Portland Trail Blazers,203459,Allen Crabbe,G,SG,10-27-2016,21600017,POR,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,7.8,28.95,24,4,0,37
206964,2017,2016-17,1610612746,LA Clippers,101108,Chris Paul,G,PG,10-27-2016,21600017,POR,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,14.8,27.55,26,4,0,56
206966,2017,2016-17,1610612757,Portland Trail Blazers,203090,Maurice Harkless,F,SF,10-27-2016,21600017,POR,LAC,Made Shot,True,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.2,5.55,1,4,1,18
206967,2017,2016-17,1610612757,Portland Trail Blazers,202329,Al-Farouq Aminu,F,PF,10-27-2016,21600017,POR,LAC,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,0.2,21.15,15,4,1,19
206968,2017,2016-17,1610612746,LA Clippers,201933,Blake Griffin,F,PF,10-27-2016,21600017,POR,LAC,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,17.6,8.85,17,4,1,29
206970,2017,2016-17,1610612757,Portland Trail Blazers,202329,Al-Farouq Aminu,F,PF,10-27-2016,21600017,POR,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-21.0,17.25,24,4,2,15
206974,2017,2016-17,1610612746,LA Clippers,2037,Jamal Crawford,G,SG,10-27-2016,21600017,POR,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.8,5.15,23,4,2,27
206982,2017,2016-17,1610612746,LA Clippers,101108,Chris Paul,G,PG,10-27-2016,21600017,POR,LAC,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.1,5.95,1,4,2,54
206983,2017,2016-17,1610612757,Portland Trail Blazers,203081,Damian Lillard,G,PG,10-27-2016,21600017,POR,LAC,Made Shot,True,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.1,6.55,1,4,3,5
206984,2017,2016-17,1610612746,LA Clippers,2037,Jamal Crawford,G,SG,10-27-2016,21600017,POR,LAC,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,3,15
206985,2017,2016-17,1610612746,LA Clippers,101108,Chris Paul,G,PG,10-27-2016,21600017,POR,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.0,30.45,25,4,3,28
206987,2017,2016-17,1610612757,Portland Trail Blazers,203090,Maurice Harkless,F,SF,10-27-2016,21600017,POR,LAC,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.7,7.35,3,4,3,50
206997,2017,2016-17,1610612746,LA Clippers,101108,Chris Paul,G,PG,10-27-2016,21600017,POR,LAC,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,18.9,23.05,25,4,4,7
