,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
64083,2018,2017-18,1610612738,Boston Celtics,1628369,Jayson Tatum,F,SF,02-14-2018,21700858,BOS,LAC,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.0,10.85,23,4,0,26
64084,2018,2017-18,1610612746,LA Clippers,101150,Lou Williams,G,SG,02-14-2018,21700858,BOS,LAC,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,17.5,24.25,25,4,0,31
64087,2018,2017-18,1610612746,LA Clippers,101150,Lou Williams,G,SG,02-14-2018,21700858,BOS,LAC,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,20.4,11.15,21,4,0,56
64090,2018,2017-18,1610612738,Boston Celtics,201143,Al Horford,C,C,02-14-2018,21700858,BOS,LAC,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.2,31.45,26,4,1,19
64095,2018,2017-18,1610612746,LA Clippers,101150,Lou Williams,G,SG,02-14-2018,21700858,BOS,LAC,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.8,6.25,1,4,1,36
64097,2018,2017-18,1610612738,Boston Celtics,1628369,Jayson Tatum,F,SF,02-14-2018,21700858,BOS,LAC,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,2.9,8.65,4,4,1,57
64101,2018,2017-18,1610612738,Boston Celtics,202681,Kyrie Irving,G,PG,02-14-2018,21700858,BOS,LAC,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,2.9,8.25,4,4,2,10
64103,2018,2017-18,1610612746,LA Clippers,101150,Lou Williams,G,SG,02-14-2018,21700858,BOS,LAC,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.3,11.55,6,4,2,23
64111,2018,2017-18,1610612746,LA Clippers,202699,Tobias Harris,F,PF,02-14-2018,21700858,BOS,LAC,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.3,6.25,1,4,2,57
64117,2018,2017-18,1610612738,Boston Celtics,1628369,Jayson Tatum,F,SF,02-14-2018,21700858,BOS,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,16.2,25.05,25,4,3,26
64121,2018,2017-18,1610612738,Boston Celtics,202681,Kyrie Irving,G,PG,02-14-2018,21700858,BOS,LAC,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-8.1,20.55,17,4,3,31
64126,2018,2017-18,1610612746,LA Clippers,201599,DeAndre Jordan,C,C,02-14-2018,21700858,BOS,LAC,Made Shot,True,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.1,5.45,0,4,4,5
64128,2018,2017-18,1610612738,Boston Celtics,202681,Kyrie Irving,G,PG,02-14-2018,21700858,BOS,LAC,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-5.1,17.35,13,4,4,27
64137,2018,2017-18,1610612738,Boston Celtics,201143,Al Horford,C,C,02-14-2018,21700858,BOS,LAC,Made Shot,True,Turnaround Hook Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.2,8.35,3,4,4,41
64139,2018,2017-18,1610612746,LA Clippers,202699,Tobias Harris,F,PF,02-14-2018,21700858,BOS,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.2,5.15,23,4,4,51
64147,2018,2017-18,1610612738,Boston Celtics,1627759,Jaylen Brown,G,SG,02-14-2018,21700858,BOS,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-15.7,28.35,27,4,5,2
64152,2018,2017-18,1610612738,Boston Celtics,201143,Al Horford,C,C,02-14-2018,21700858,BOS,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,5.3,31.35,26,4,5,13
64158,2018,2017-18,1610612746,LA Clippers,201568,Danilo Gallinari,F,SF,02-14-2018,21700858,BOS,LAC,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-20.5,5.85,20,4,5,28
64166,2018,2017-18,1610612746,LA Clippers,201568,Danilo Gallinari,F,SF,02-14-2018,21700858,BOS,LAC,Missed Shot,False,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.1,6.35,1,4,5,32
64188,2018,2017-18,1610612738,Boston Celtics,1628369,Jayson Tatum,F,SF,02-14-2018,21700858,BOS,LAC,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.5,8.25,3,4,5,57
64208,2018,2017-18,1610612738,Boston Celtics,202681,Kyrie Irving,G,PG,02-14-2018,21700858,BOS,LAC,Missed Shot,False,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,7.45,2,4,6,18
64213,2018,2017-18,1610612746,LA Clippers,101150,Lou Williams,G,SG,02-14-2018,21700858,BOS,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,20.2,18.95,24,4,6,26
64223,2018,2017-18,1610612738,Boston Celtics,1627759,Jaylen Brown,G,SG,02-14-2018,21700858,BOS,LAC,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.1,4.55,23,4,6,54
64227,2018,2017-18,1610612746,LA Clippers,203085,Austin Rivers,G,SG,02-14-2018,21700858,BOS,LAC,Made Shot,True,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-9.3,28.75,25,4,7,7
64239,2018,2017-18,1610612738,Boston Celtics,201143,Al Horford,C,C,02-14-2018,21700858,BOS,LAC,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,4.1,24.55,19,4,7,33
64249,2018,2017-18,1610612746,LA Clippers,1626149,Montrezl Harrell,C,C,02-14-2018,21700858,BOS,LAC,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,6.95,1,4,7,49
64256,2018,2017-18,1610612746,LA Clippers,101150,Lou Williams,G,SG,02-14-2018,21700858,BOS,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,11.6,28.55,26,4,7,51
64283,2018,2017-18,1610612738,Boston Celtics,1628369,Jayson Tatum,F,SF,02-14-2018,21700858,BOS,LAC,Missed Shot,False,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.6,7.85,3,4,8,8
64290,2018,2017-18,1610612746,LA Clippers,202699,Tobias Harris,F,PF,02-14-2018,21700858,BOS,LAC,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.2,10.55,5,4,8,25
64294,2018,2017-18,1610612738,Boston Celtics,202681,Kyrie Irving,G,PG,02-14-2018,21700858,BOS,LAC,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.6,6.25,1,4,8,42
64300,2018,2017-18,1610612746,LA Clippers,101150,Lou Williams,G,SG,02-14-2018,21700858,BOS,LAC,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.9,8.65,3,4,8,52
64314,2018,2017-18,1610612738,Boston Celtics,1626179,Terry Rozier,G,PG,02-14-2018,21700858,BOS,LAC,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.8,9.25,4,4,8,59
64324,2018,2017-18,1610612746,LA Clippers,101150,Lou Williams,G,SG,02-14-2018,21700858,BOS,LAC,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.3,6.95,2,4,9,11
