,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
119126,2018,2017-18,1610612751,Brooklyn Nets,201960,DeMarre Carroll,F,PF,12-31-2017,21700539,BOS,BKN,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.6,5.75,1,4,0,0
119128,2018,2017-18,1610612751,Brooklyn Nets,203459,Allen Crabbe,G,SG,12-31-2017,21700539,BOS,BKN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,12.8,28.25,26,4,0,2
119147,2018,2017-18,1610612751,Brooklyn Nets,203915,Spencer Dinwiddie,G,PG,12-31-2017,21700539,BOS,BKN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-15.5,30.05,29,4,0,13
119165,2018,2017-18,1610612751,Brooklyn Nets,203112,Quincy Acy,F,PF,12-31-2017,21700539,BOS,BKN,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,15.8,26.75,26,4,0,18
119167,2018,2017-18,1610612751,Brooklyn Nets,1627747,Caris LeVert,F,SF,12-31-2017,21700539,BOS,BKN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-22.0,21.15,27,4,0,28
119170,2018,2017-18,1610612751,Brooklyn Nets,1626178,Rondae Hollis-Jefferson,F,SF,12-31-2017,21700539,BOS,BKN,Missed Shot,False,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,4.65,0,4,0,33
119174,2018,2017-18,1610612751,Brooklyn Nets,203915,Spencer Dinwiddie,G,PG,12-31-2017,21700539,BOS,BKN,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.4,6.25,1,4,0,35
119178,2018,2017-18,1610612738,Boston Celtics,202681,Kyrie Irving,G,PG,12-31-2017,21700539,BOS,BKN,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-9.3,11.55,11,4,0,50
119186,2018,2017-18,1610612751,Brooklyn Nets,203459,Allen Crabbe,G,SG,12-31-2017,21700539,BOS,BKN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,16.8,26.85,27,4,1,16
119191,2018,2017-18,1610612738,Boston Celtics,202681,Kyrie Irving,G,PG,12-31-2017,21700539,BOS,BKN,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-12.5,26.85,24,4,1,22
119192,2018,2017-18,1610612751,Brooklyn Nets,203915,Spencer Dinwiddie,G,PG,12-31-2017,21700539,BOS,BKN,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.4,9.05,3,4,1,38
119208,2018,2017-18,1610612751,Brooklyn Nets,1626178,Rondae Hollis-Jefferson,F,SF,12-31-2017,21700539,BOS,BKN,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.6,7.15,1,4,2,5
119213,2018,2017-18,1610612738,Boston Celtics,202681,Kyrie Irving,G,PG,12-31-2017,21700539,BOS,BKN,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-16.8,25.75,26,4,2,16
119219,2018,2017-18,1610612751,Brooklyn Nets,1626178,Rondae Hollis-Jefferson,F,SF,12-31-2017,21700539,BOS,BKN,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.05,0,4,2,30
119268,2018,2017-18,1610612751,Brooklyn Nets,203915,Spencer Dinwiddie,G,PG,12-31-2017,21700539,BOS,BKN,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-19.5,24.55,27,4,4,7
119273,2018,2017-18,1610612738,Boston Celtics,202681,Kyrie Irving,G,PG,12-31-2017,21700539,BOS,BKN,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.6,6.75,23,4,4,29
119280,2018,2017-18,1610612738,Boston Celtics,1627759,Jaylen Brown,G,SG,12-31-2017,21700539,BOS,BKN,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.8,7.05,2,4,4,31
119301,2018,2017-18,1610612751,Brooklyn Nets,203112,Quincy Acy,F,PF,12-31-2017,21700539,BOS,BKN,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.3,7.65,2,4,4,46
119308,2018,2017-18,1610612738,Boston Celtics,1628369,Jayson Tatum,F,SF,12-31-2017,21700539,BOS,BKN,Missed Shot,False,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-3.5,18.95,14,4,4,59
119312,2018,2017-18,1610612751,Brooklyn Nets,203459,Allen Crabbe,G,SG,12-31-2017,21700539,BOS,BKN,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-14.9,28.75,27,4,5,26
119319,2018,2017-18,1610612738,Boston Celtics,203382,Aron Baynes,C,C,12-31-2017,21700539,BOS,BKN,Missed Shot,False,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,4.3,8.95,5,4,5,35
119323,2018,2017-18,1610612751,Brooklyn Nets,1626178,Rondae Hollis-Jefferson,F,SF,12-31-2017,21700539,BOS,BKN,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-2.7,9.75,5,4,5,50
119336,2018,2017-18,1610612738,Boston Celtics,1628369,Jayson Tatum,F,SF,12-31-2017,21700539,BOS,BKN,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.7,8.35,23,4,6,0
119338,2018,2017-18,1610612738,Boston Celtics,1626179,Terry Rozier,G,PG,12-31-2017,21700539,BOS,BKN,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,-3.3,19.55,14,4,6,4
119342,2018,2017-18,1610612751,Brooklyn Nets,1626178,Rondae Hollis-Jefferson,F,SF,12-31-2017,21700539,BOS,BKN,Missed Shot,False,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-8.1,4.65,8,4,6,16
119345,2018,2017-18,1610612738,Boston Celtics,1626179,Terry Rozier,G,PG,12-31-2017,21700539,BOS,BKN,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,0.6,20.75,15,4,6,34
119349,2018,2017-18,1610612751,Brooklyn Nets,203459,Allen Crabbe,G,SG,12-31-2017,21700539,BOS,BKN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,6.9,29.45,25,4,6,49
119380,2018,2017-18,1610612751,Brooklyn Nets,1626178,Rondae Hollis-Jefferson,F,SF,12-31-2017,21700539,BOS,BKN,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.3,6.25,1,4,7,15
119405,2018,2017-18,1610612751,Brooklyn Nets,203092,Tyler Zeller,C,C,12-31-2017,21700539,BOS,BKN,Missed Shot,False,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.9,5.25,1,4,7,49
119409,2018,2017-18,1610612751,Brooklyn Nets,201960,DeMarre Carroll,F,PF,12-31-2017,21700539,BOS,BKN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-20.6,21.55,26,4,8,3
119412,2018,2017-18,1610612751,Brooklyn Nets,201960,DeMarre Carroll,F,PF,12-31-2017,21700539,BOS,BKN,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-5.2,7.15,5,4,8,11
