,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
112134,2018,2017-18,1610612741,Chicago Bulls,1626170,Jerian Grant,G,PG,01-06-2018,21700581,IND,CHI,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-12.3,26.95,24,4,0,29
112149,2018,2017-18,1610612741,Chicago Bulls,202347,Quincy Pondexter,F,SF,01-06-2018,21700581,IND,CHI,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.3,5.95,0,4,0,48
112159,2018,2017-18,1610612741,Chicago Bulls,1626170,Jerian Grant,G,PG,01-06-2018,21700581,IND,CHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.2,30.65,25,4,1,9
112163,2018,2017-18,1610612741,Chicago Bulls,202347,Quincy Pondexter,F,SF,01-06-2018,21700581,IND,CHI,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,16.0,16.85,19,4,1,16
112166,2018,2017-18,1610612754,Indiana Pacers,2863,Damien Wilkins,F,SF,01-06-2018,21700581,IND,CHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,9.3,32.65,28,4,1,26
112172,2018,2017-18,1610612741,Chicago Bulls,1626170,Jerian Grant,G,PG,01-06-2018,21700581,IND,CHI,Missed Shot,False,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-2.7,11.65,6,4,1,47
112187,2018,2017-18,1610612754,Indiana Pacers,1627816,Alex Poythress,F,PF,01-06-2018,21700581,IND,CHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-14.5,27.85,26,4,2,17
112195,2018,2017-18,1610612754,Indiana Pacers,2863,Damien Wilkins,F,SF,01-06-2018,21700581,IND,CHI,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.0,6.75,23,4,2,34
112196,2018,2017-18,1610612741,Chicago Bulls,1627835,Paul Zipser,F,SF,01-06-2018,21700581,IND,CHI,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.8,5.75,0,4,2,52
112198,2018,2017-18,1610612754,Indiana Pacers,1626202,Joe Young,G,PG,01-06-2018,21700581,IND,CHI,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-11.7,29.95,27,4,3,10
112213,2018,2017-18,1610612741,Chicago Bulls,1626171,Bobby Portis,F,PF,01-06-2018,21700581,IND,CHI,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,5.95,0,4,3,35
112216,2018,2017-18,1610612754,Indiana Pacers,2863,Damien Wilkins,F,SF,01-06-2018,21700581,IND,CHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-14.4,29.15,27,4,3,43
112246,2018,2017-18,1610612754,Indiana Pacers,202362,Lance Stephenson,G,SG,01-06-2018,21700581,IND,CHI,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.5,6.95,1,4,4,49
112250,2018,2017-18,1610612754,Indiana Pacers,1626202,Joe Young,G,PG,01-06-2018,21700581,IND,CHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-18.3,26.75,28,4,4,52
112256,2018,2017-18,1610612741,Chicago Bulls,1626171,Bobby Portis,F,PF,01-06-2018,21700581,IND,CHI,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,2.2,31.95,26,4,5,18
112261,2018,2017-18,1610612754,Indiana Pacers,1628388,T.J. Leaf,,,01-06-2018,21700581,IND,CHI,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.65,0,4,5,30
112266,2018,2017-18,1610612741,Chicago Bulls,1626170,Jerian Grant,G,PG,01-06-2018,21700581,IND,CHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-19.9,21.95,25,4,5,46
112281,2018,2017-18,1610612741,Chicago Bulls,202347,Quincy Pondexter,F,SF,01-06-2018,21700581,IND,CHI,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,5.85,1,4,6,15
112283,2018,2017-18,1610612754,Indiana Pacers,1626202,Joe Young,G,PG,01-06-2018,21700581,IND,CHI,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,6.25,1,4,6,42
112294,2018,2017-18,1610612754,Indiana Pacers,202709,Cory Joseph,G,PG,01-06-2018,21700581,IND,CHI,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.2,31.25,26,4,7,20
112298,2018,2017-18,1610612754,Indiana Pacers,202709,Cory Joseph,G,PG,01-06-2018,21700581,IND,CHI,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,9.0,10.55,10,4,7,28
112304,2018,2017-18,1610612741,Chicago Bulls,1626171,Bobby Portis,F,PF,01-06-2018,21700581,IND,CHI,Made Shot,True,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,2.3,12.35,7,4,7,59
112307,2018,2017-18,1610612754,Indiana Pacers,1628388,T.J. Leaf,,,01-06-2018,21700581,IND,CHI,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.5,6.25,1,4,8,15
112310,2018,2017-18,1610612741,Chicago Bulls,1627835,Paul Zipser,F,SF,01-06-2018,21700581,IND,CHI,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.3,6.05,0,4,8,39
112314,2018,2017-18,1610612754,Indiana Pacers,1627734,Domantas Sabonis,C,C,01-06-2018,21700581,IND,CHI,Made Shot,True,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,6.8,8.25,7,4,8,57
112320,2018,2017-18,1610612741,Chicago Bulls,1626170,Jerian Grant,G,PG,01-06-2018,21700581,IND,CHI,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-14.6,17.05,18,4,9,16
112332,2018,2017-18,1610612741,Chicago Bulls,1627835,Paul Zipser,F,SF,01-06-2018,21700581,IND,CHI,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,3.5,23.65,18,4,9,42
112339,2018,2017-18,1610612754,Indiana Pacers,202709,Cory Joseph,G,PG,01-06-2018,21700581,IND,CHI,Missed Shot,False,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.6,6.75,1,4,9,59
112346,2018,2017-18,1610612741,Chicago Bulls,202703,Nikola Mirotic,F,PF,01-06-2018,21700581,IND,CHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-18.7,24.15,26,4,10,8
112351,2018,2017-18,1610612754,Indiana Pacers,202709,Cory Joseph,G,PG,01-06-2018,21700581,IND,CHI,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-17.6,5.75,17,4,10,18
112357,2018,2017-18,1610612754,Indiana Pacers,202362,Lance Stephenson,G,SG,01-06-2018,21700581,IND,CHI,Missed Shot,False,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-2.7,11.45,6,4,10,20
112363,2018,2017-18,1610612754,Indiana Pacers,202362,Lance Stephenson,G,SG,01-06-2018,21700581,IND,CHI,Missed Shot,False,Floating Jump shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.8,8.45,3,4,10,49
112369,2018,2017-18,1610612741,Chicago Bulls,1626170,Jerian Grant,G,PG,01-06-2018,21700581,IND,CHI,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,11.9,20.55,19,4,11,6
112377,2018,2017-18,1610612754,Indiana Pacers,202362,Lance Stephenson,G,SG,01-06-2018,21700581,IND,CHI,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-0.2,23.45,18,4,11,31
112387,2018,2017-18,1610612741,Chicago Bulls,1626171,Bobby Portis,F,PF,01-06-2018,21700581,IND,CHI,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-16.3,7.75,16,4,11,43
112404,2018,2017-18,1610612741,Chicago Bulls,1626171,Bobby Portis,F,PF,01-06-2018,21700581,IND,CHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-12.3,30.95,28,3,0,0
112409,2018,2017-18,1610612754,Indiana Pacers,202362,Lance Stephenson,G,SG,01-06-2018,21700581,IND,CHI,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.2,8.65,23,3,0,7
112413,2018,2017-18,1610612741,Chicago Bulls,202703,Nikola Mirotic,F,PF,01-06-2018,21700581,IND,CHI,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-13.9,26.85,25,3,0,24
112414,2018,2017-18,1610612754,Indiana Pacers,1628388,T.J. Leaf,,,01-06-2018,21700581,IND,CHI,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-1.2,31.35,26,3,0,35
112416,2018,2017-18,1610612741,Chicago Bulls,1627739,Kris Dunn,G,PG,01-06-2018,21700581,IND,CHI,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,-0.5,19.65,14,3,0,49
