,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
6022,2018,2017-18,1610612745,Houston Rockets,2772,Trevor Ariza,F,SF,04-07-2018,21701194,HOU,OKC,Made Shot,True,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.5,5.65,0,4,0,20
6024,2018,2017-18,1610612745,Houston Rockets,201935,James Harden,G,SG,04-07-2018,21701194,HOU,OKC,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,2.4,30.95,25,4,0,24
6025,2018,2017-18,1610612745,Houston Rockets,101108,Chris Paul,G,PG,04-07-2018,21701194,HOU,OKC,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.3,6.35,1,4,0,36
6026,2018,2017-18,1610612760,Oklahoma City Thunder,201566,Russell Westbrook,G,PG,04-07-2018,21701194,HOU,OKC,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.5,6.55,1,4,0,40
6029,2018,2017-18,1610612745,Houston Rockets,200782,P.J. Tucker,F,PF,04-07-2018,21701194,HOU,OKC,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.2,9.05,23,4,0,51
6041,2018,2017-18,1610612760,Oklahoma City Thunder,201566,Russell Westbrook,G,PG,04-07-2018,21701194,HOU,OKC,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.5,6.05,0,4,1,35
6043,2018,2017-18,1610612745,Houston Rockets,201935,James Harden,G,SG,04-07-2018,21701194,HOU,OKC,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,9.0,29.25,25,4,1,57
6044,2018,2017-18,1610612760,Oklahoma City Thunder,201566,Russell Westbrook,G,PG,04-07-2018,21701194,HOU,OKC,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-10.6,28.85,25,4,2,15
6047,2018,2017-18,1610612745,Houston Rockets,200782,P.J. Tucker,F,PF,04-07-2018,21701194,HOU,OKC,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.9,5.05,23,4,2,36
6049,2018,2017-18,1610612760,Oklahoma City Thunder,202331,Paul George,F,SF,04-07-2018,21701194,HOU,OKC,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.1,5.65,0,4,2,48
6052,2018,2017-18,1610612745,Houston Rockets,101108,Chris Paul,G,PG,04-07-2018,21701194,HOU,OKC,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.8,5.05,0,4,2,57
6055,2018,2017-18,1610612760,Oklahoma City Thunder,203518,Alex Abrines,G,SG,04-07-2018,21701194,HOU,OKC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-10.0,28.25,25,4,3,7
