,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
93107,2018,2017-18,1610612746,LA Clippers,1626149,Montrezl Harrell,C,C,01-22-2018,21700695,LAC,MIN,Missed Shot,False,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,4.65,0,4,0,22
93108,2018,2017-18,1610612746,LA Clippers,101150,Lou Williams,G,SG,01-22-2018,21700695,LAC,MIN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-13.5,28.25,26,4,0,23
93110,2018,2017-18,1610612746,LA Clippers,202325,Wesley Johnson,F,SF,01-22-2018,21700695,LAC,MIN,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.5,6.35,1,4,0,30
93138,2018,2017-18,1610612750,Minnesota Timberwolves,201952,Jeff Teague,G,PG,01-22-2018,21700695,LAC,MIN,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,2.4,9.85,5,4,0,56
93155,2018,2017-18,1610612750,Minnesota Timberwolves,201952,Jeff Teague,G,PG,01-22-2018,21700695,LAC,MIN,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-4.6,25.55,20,4,1,17
93160,2018,2017-18,1610612746,LA Clippers,101150,Lou Williams,G,SG,01-22-2018,21700695,LAC,MIN,Missed Shot,False,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,21.2,30.65,33,4,1,41
93163,2018,2017-18,1610612750,Minnesota Timberwolves,203952,Andrew Wiggins,F,SF,01-22-2018,21700695,LAC,MIN,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-2.0,27.15,21,4,1,48
93168,2018,2017-18,1610612750,Minnesota Timberwolves,201952,Jeff Teague,G,PG,01-22-2018,21700695,LAC,MIN,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.3,5.85,1,4,2,5
93170,2018,2017-18,1610612746,LA Clippers,1628462,Milos Teodosic,G,PG,01-22-2018,21700695,LAC,MIN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,15.5,25.45,25,4,2,29
93189,2018,2017-18,1610612750,Minnesota Timberwolves,202357,Nemanja Bjelica,F,PF,01-22-2018,21700695,LAC,MIN,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,11.3,28.45,25,4,2,45
93192,2018,2017-18,1610612750,Minnesota Timberwolves,1626157,Karl-Anthony Towns,C,C,01-22-2018,21700695,LAC,MIN,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,7.9,21.85,18,4,3,5
93215,2018,2017-18,1610612750,Minnesota Timberwolves,203952,Andrew Wiggins,F,SF,01-22-2018,21700695,LAC,MIN,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,15.1,14.55,17,4,3,25
