,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
30431,2018,2017-18,1610612763,Memphis Grizzlies,1626150,Andrew Harrison,G,PG,03-19-2018,21701053,BKN,MEM,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-22.5,14.65,24,4,0,0
30432,2018,2017-18,1610612763,Memphis Grizzlies,203210,JaMychal Green,F,PF,03-19-2018,21701053,BKN,MEM,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.7,6.55,2,4,0,12
30433,2018,2017-18,1610612763,Memphis Grizzlies,1626150,Andrew Harrison,G,PG,03-19-2018,21701053,BKN,MEM,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,10.1,18.55,16,4,0,16
30439,2018,2017-18,1610612763,Memphis Grizzlies,1627782,Wayne Selden,G,SG,03-19-2018,21701053,BKN,MEM,Made Shot,True,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.8,31.15,25,4,0,26
30440,2018,2017-18,1610612763,Memphis Grizzlies,203210,JaMychal Green,F,PF,03-19-2018,21701053,BKN,MEM,Made Shot,True,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,6.45,1,4,0,30
30442,2018,2017-18,1610612763,Memphis Grizzlies,1626150,Andrew Harrison,G,PG,03-19-2018,21701053,BKN,MEM,Missed Shot,False,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,5.7,12.05,8,4,0,31
30443,2018,2017-18,1610612751,Brooklyn Nets,203459,Allen Crabbe,G,SG,03-19-2018,21701053,BKN,MEM,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.7,5.15,0,4,0,38
30444,2018,2017-18,1610612763,Memphis Grizzlies,203210,JaMychal Green,F,PF,03-19-2018,21701053,BKN,MEM,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.6,6.55,2,4,0,45
30446,2018,2017-18,1610612751,Brooklyn Nets,1627747,Caris LeVert,F,SF,03-19-2018,21701053,BKN,MEM,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-13.5,24.05,23,4,0,56
30447,2018,2017-18,1610612751,Brooklyn Nets,1626156,D'Angelo Russell,G,PG,03-19-2018,21701053,BKN,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-4.0,30.95,26,4,1,18
30448,2018,2017-18,1610612763,Memphis Grizzlies,1627782,Wayne Selden,G,SG,03-19-2018,21701053,BKN,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.1,6.05,22,4,1,43
30450,2018,2017-18,1610612763,Memphis Grizzlies,1627782,Wayne Selden,G,SG,03-19-2018,21701053,BKN,MEM,Missed Shot,False,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,1.8,13.35,8,4,1,47
30451,2018,2017-18,1610612751,Brooklyn Nets,1626178,Rondae Hollis-Jefferson,F,SF,03-19-2018,21701053,BKN,MEM,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.4,5.55,1,4,2,10
30453,2018,2017-18,1610612763,Memphis Grizzlies,1627782,Wayne Selden,G,SG,03-19-2018,21701053,BKN,MEM,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,18.7,21.25,24,4,2,37
30456,2018,2017-18,1610612751,Brooklyn Nets,1626156,D'Angelo Russell,G,PG,03-19-2018,21701053,BKN,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.8,13.15,24,4,2,44
30458,2018,2017-18,1610612763,Memphis Grizzlies,1627782,Wayne Selden,G,SG,03-19-2018,21701053,BKN,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-22.8,14.05,24,4,3,11
30465,2018,2017-18,1610612763,Memphis Grizzlies,1627782,Wayne Selden,G,SG,03-19-2018,21701053,BKN,MEM,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,3.1,4.45,3,4,4,13
30467,2018,2017-18,1610612763,Memphis Grizzlies,1626150,Andrew Harrison,G,PG,03-19-2018,21701053,BKN,MEM,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.2,6.35,1,4,3,38
30475,2018,2017-18,1610612763,Memphis Grizzlies,1627782,Wayne Selden,G,SG,03-19-2018,21701053,BKN,MEM,Missed Shot,False,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.5,7.25,2,4,3,49
30484,2018,2017-18,1610612751,Brooklyn Nets,1627747,Caris LeVert,F,SF,03-19-2018,21701053,BKN,MEM,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,5.15,0,4,4,7
30495,2018,2017-18,1610612751,Brooklyn Nets,203459,Allen Crabbe,G,SG,03-19-2018,21701053,BKN,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.6,9.25,22,4,4,29
30499,2018,2017-18,1610612751,Brooklyn Nets,203459,Allen Crabbe,G,SG,03-19-2018,21701053,BKN,MEM,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.3,30.05,24,4,5,0
30501,2018,2017-18,1610612751,Brooklyn Nets,1626156,D'Angelo Russell,G,PG,03-19-2018,21701053,BKN,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,15.1,25.15,24,4,5,8
30505,2018,2017-18,1610612763,Memphis Grizzlies,1626150,Andrew Harrison,G,PG,03-19-2018,21701053,BKN,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,14.4,26.15,25,4,5,34
30508,2018,2017-18,1610612751,Brooklyn Nets,1626178,Rondae Hollis-Jefferson,F,SF,03-19-2018,21701053,BKN,MEM,Missed Shot,False,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,4.65,0,4,5,41
30512,2018,2017-18,1610612751,Brooklyn Nets,1626156,D'Angelo Russell,G,PG,03-19-2018,21701053,BKN,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-14.4,27.15,26,4,5,44
30516,2018,2017-18,1610612763,Memphis Grizzlies,1628415,Dillon Brooks,F,SF,03-19-2018,21701053,BKN,MEM,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,5.1,13.55,9,4,6,11
30519,2018,2017-18,1610612751,Brooklyn Nets,1628386,Jarrett Allen,C,C,03-19-2018,21701053,BKN,MEM,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.4,5.25,1,4,6,31
30521,2018,2017-18,1610612763,Memphis Grizzlies,1628415,Dillon Brooks,F,SF,03-19-2018,21701053,BKN,MEM,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-1.9,21.45,16,4,6,46
