,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
120490,2018,2017-18,1610612763,Memphis Grizzlies,203516,James Ennis III,F,SF,12-30-2017,21700535,GSW,MEM,Made Shot,True,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.6,6.75,1,4,0,19
120491,2018,2017-18,1610612763,Memphis Grizzlies,203516,James Ennis III,F,SF,12-30-2017,21700535,GSW,MEM,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-7.0,7.05,7,4,0,27
120492,2018,2017-18,1610612744,Golden State Warriors,1627775,Patrick McCaw,G,SG,12-30-2017,21700535,GSW,MEM,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,2.1,21.85,16,4,0,36
120494,2018,2017-18,1610612763,Memphis Grizzlies,1628397,Ivan Rabb,F,PF,12-30-2017,21700535,GSW,MEM,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,6.55,1,4,0,48
120501,2018,2017-18,1610612763,Memphis Grizzlies,1626185,Jarell Martin,F,PF,12-30-2017,21700535,GSW,MEM,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-22.5,15.75,24,4,1,3
120507,2018,2017-18,1610612763,Memphis Grizzlies,1628397,Ivan Rabb,F,PF,12-30-2017,21700535,GSW,MEM,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.8,13.85,8,4,1,34
120510,2018,2017-18,1610612744,Golden State Warriors,201956,Omri Casspi,F,SF,12-30-2017,21700535,GSW,MEM,Made Shot,True,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-5.1,15.25,11,4,1,47
120515,2018,2017-18,1610612763,Memphis Grizzlies,203516,James Ennis III,F,SF,12-30-2017,21700535,GSW,MEM,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,0.9,26.25,21,4,2,2
120518,2018,2017-18,1610612744,Golden State Warriors,201156,Nick Young,G,SG,12-30-2017,21700535,GSW,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,20.9,19.85,25,4,2,18
120538,2018,2017-18,1610612763,Memphis Grizzlies,1628415,Dillon Brooks,F,SF,12-30-2017,21700535,GSW,MEM,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,1.3,16.35,11,4,2,36
120540,2018,2017-18,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,12-30-2017,21700535,GSW,MEM,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-7.8,29.55,25,4,2,50
120544,2018,2017-18,1610612763,Memphis Grizzlies,201936,Tyreke Evans,G,PG,12-30-2017,21700535,GSW,MEM,Made Shot,True,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.5,7.45,2,4,3,7
120562,2018,2017-18,1610612763,Memphis Grizzlies,201936,Tyreke Evans,G,PG,12-30-2017,21700535,GSW,MEM,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.7,30.85,25,4,3,43
120563,2018,2017-18,1610612744,Golden State Warriors,2585,Zaza Pachulia,C,C,12-30-2017,21700535,GSW,MEM,Made Shot,True,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-5.0,17.45,13,4,4,10
120570,2018,2017-18,1610612763,Memphis Grizzlies,201936,Tyreke Evans,G,PG,12-30-2017,21700535,GSW,MEM,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,12.6,20.95,20,4,4,25
120571,2018,2017-18,1610612744,Golden State Warriors,201142,Kevin Durant,F,SF,12-30-2017,21700535,GSW,MEM,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-10.5,19.05,17,4,4,37
120583,2018,2017-18,1610612763,Memphis Grizzlies,201936,Tyreke Evans,G,PG,12-30-2017,21700535,GSW,MEM,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-12.5,28.55,26,4,4,53
120588,2018,2017-18,1610612744,Golden State Warriors,202691,Klay Thompson,G,SG,12-30-2017,21700535,GSW,MEM,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-11.1,18.85,17,4,5,5
120609,2018,2017-18,1610612744,Golden State Warriors,2561,David West,C,C,12-30-2017,21700535,GSW,MEM,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,13.6,19.45,19,4,5,35
120612,2018,2017-18,1610612763,Memphis Grizzlies,203210,JaMychal Green,F,PF,12-30-2017,21700535,GSW,MEM,Made Shot,True,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,6.55,1,4,5,49
120615,2018,2017-18,1610612763,Memphis Grizzlies,203210,JaMychal Green,F,PF,12-30-2017,21700535,GSW,MEM,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,7.95,2,4,5,53
120623,2018,2017-18,1610612744,Golden State Warriors,2733,Shaun Livingston,G,PG,12-30-2017,21700535,GSW,MEM,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,16.0,7.15,16,4,6,7
120630,2018,2017-18,1610612744,Golden State Warriors,1628395,Jordan Bell,C,C,12-30-2017,21700535,GSW,MEM,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,6.55,1,4,6,46
120632,2018,2017-18,1610612744,Golden State Warriors,201142,Kevin Durant,F,SF,12-30-2017,21700535,GSW,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,10.7,29.55,26,4,6,50
120639,2018,2017-18,1610612744,Golden State Warriors,202691,Klay Thompson,G,SG,12-30-2017,21700535,GSW,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-6.1,30.25,25,4,6,56
120662,2018,2017-18,1610612763,Memphis Grizzlies,1627738,Deyonta Davis,C,C,12-30-2017,21700535,GSW,MEM,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.6,6.75,1,4,7,18
120670,2018,2017-18,1610612744,Golden State Warriors,2738,Andre Iguodala,F,SF,12-30-2017,21700535,GSW,MEM,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.4,4.85,0,4,7,29
120679,2018,2017-18,1610612744,Golden State Warriors,2733,Shaun Livingston,G,PG,12-30-2017,21700535,GSW,MEM,Made Shot,True,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-8.8,10.25,10,4,8,0
120682,2018,2017-18,1610612744,Golden State Warriors,2733,Shaun Livingston,G,PG,12-30-2017,21700535,GSW,MEM,Missed Shot,False,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-6.1,18.15,14,4,8,12
120686,2018,2017-18,1610612763,Memphis Grizzlies,1626185,Jarell Martin,F,PF,12-30-2017,21700535,GSW,MEM,Made Shot,True,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-2.8,8.85,4,4,8,21
120689,2018,2017-18,1610612744,Golden State Warriors,201956,Omri Casspi,F,SF,12-30-2017,21700535,GSW,MEM,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.4,5.85,1,4,8,43
120706,2018,2017-18,1610612744,Golden State Warriors,2561,David West,C,C,12-30-2017,21700535,GSW,MEM,Missed Shot,False,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,4.65,0,4,9,21
120708,2018,2017-18,1610612744,Golden State Warriors,202691,Klay Thompson,G,SG,12-30-2017,21700535,GSW,MEM,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.7,8.15,2,4,9,25
120713,2018,2017-18,1610612763,Memphis Grizzlies,1627738,Deyonta Davis,C,C,12-30-2017,21700535,GSW,MEM,Made Shot,True,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,4.65,0,4,9,39
120716,2018,2017-18,1610612763,Memphis Grizzlies,1628415,Dillon Brooks,F,SF,12-30-2017,21700535,GSW,MEM,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.2,15.75,10,4,9,44
120720,2018,2017-18,1610612744,Golden State Warriors,202691,Klay Thompson,G,SG,12-30-2017,21700535,GSW,MEM,Made Shot,True,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,11.4,16.75,16,4,10,4
120721,2018,2017-18,1610612744,Golden State Warriors,2738,Andre Iguodala,F,SF,12-30-2017,21700535,GSW,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.5,7.75,22,4,10,11
