,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
189454,2018,2017-18,1610612748,Miami Heat,203079,Dion Waiters,G,SG,11-03-2017,21700127,DEN,MIA,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,10.9,25.15,22,4,0,0
189529,2018,2017-18,1610612748,Miami Heat,203079,Dion Waiters,G,SG,11-03-2017,21700127,DEN,MIA,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.2,7.05,2,4,0,30
189541,2018,2017-18,1610612743,Denver Nuggets,203914,Gary Harris,G,SG,11-03-2017,21700127,DEN,MIA,Made Shot,True,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.8,16.05,10,4,0,47
189553,2018,2017-18,1610612743,Denver Nuggets,203115,Will Barton,G,SG,11-03-2017,21700127,DEN,MIA,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.7,7.85,3,4,0,56
189556,2018,2017-18,1610612743,Denver Nuggets,203999,Nikola Jokic,C,C,11-03-2017,21700127,DEN,MIA,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,5.9,29.45,24,4,1,11
189576,2018,2017-18,1610612743,Denver Nuggets,200794,Paul Millsap,F,PF,11-03-2017,21700127,DEN,MIA,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-3.3,9.35,5,4,1,49
189589,2018,2017-18,1610612748,Miami Heat,1626196,Josh Richardson,F,SF,11-03-2017,21700127,DEN,MIA,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-16.8,24.05,25,4,2,12
189597,2018,2017-18,1610612743,Denver Nuggets,1626144,Emmanuel Mudiay,G,PG,11-03-2017,21700127,DEN,MIA,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,5.9,21.05,16,4,2,17
189605,2018,2017-18,1610612748,Miami Heat,202355,Hassan Whiteside,C,C,11-03-2017,21700127,DEN,MIA,Made Shot,True,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.6,6.95,2,4,2,43
189615,2018,2017-18,1610612743,Denver Nuggets,1626144,Emmanuel Mudiay,G,PG,11-03-2017,21700127,DEN,MIA,Missed Shot,False,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,3.0,7.95,4,4,2,55
189624,2018,2017-18,1610612748,Miami Heat,203079,Dion Waiters,G,SG,11-03-2017,21700127,DEN,MIA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-4.8,31.25,26,4,3,23
189633,2018,2017-18,1610612743,Denver Nuggets,1626144,Emmanuel Mudiay,G,PG,11-03-2017,21700127,DEN,MIA,Missed Shot,False,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-4.4,19.05,14,4,3,40
189641,2018,2017-18,1610612743,Denver Nuggets,203999,Nikola Jokic,C,C,11-03-2017,21700127,DEN,MIA,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,13.1,6.35,13,4,3,54
189645,2018,2017-18,1610612748,Miami Heat,203079,Dion Waiters,G,SG,11-03-2017,21700127,DEN,MIA,Made Shot,True,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.5,7.35,3,4,4,4
189651,2018,2017-18,1610612743,Denver Nuggets,201163,Wilson Chandler,F,SF,11-03-2017,21700127,DEN,MIA,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.0,8.15,3,4,4,11
189653,2018,2017-18,1610612748,Miami Heat,201949,James Johnson,F,PF,11-03-2017,21700127,DEN,MIA,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.0,5.85,23,4,4,38
189660,2018,2017-18,1610612743,Denver Nuggets,200794,Paul Millsap,F,PF,11-03-2017,21700127,DEN,MIA,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,9.6,28.45,25,4,4,56
189667,2018,2017-18,1610612748,Miami Heat,202355,Hassan Whiteside,C,C,11-03-2017,21700127,DEN,MIA,Missed Shot,False,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-6.7,6.85,6,4,5,2
189688,2018,2017-18,1610612743,Denver Nuggets,1626144,Emmanuel Mudiay,G,PG,11-03-2017,21700127,DEN,MIA,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,7.0,13.55,10,4,5,24
189709,2018,2017-18,1610612748,Miami Heat,202355,Hassan Whiteside,C,C,11-03-2017,21700127,DEN,MIA,Made Shot,True,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,4.65,0,4,6,14
