,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
97989,2018,2017-18,1610612750,Minnesota Timberwolves,201952,Jeff Teague,G,PG,01-18-2018,21700665,HOU,MIN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,18.2,25.45,27,4,0,5
97992,2018,2017-18,1610612745,Houston Rockets,201569,Eric Gordon,G,SG,01-18-2018,21700665,HOU,MIN,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.0,8.15,23,4,0,12
97994,2018,2017-18,1610612750,Minnesota Timberwolves,202710,Jimmy Butler,G,SG,01-18-2018,21700665,HOU,MIN,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-5.3,32.25,27,4,0,34
97997,2018,2017-18,1610612745,Houston Rockets,201601,Luc Mbah a Moute,F,PF,01-18-2018,21700665,HOU,MIN,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-13.9,27.75,26,4,0,36
97999,2018,2017-18,1610612750,Minnesota Timberwolves,203952,Andrew Wiggins,F,SF,01-18-2018,21700665,HOU,MIN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-10.5,30.15,27,4,1,3
98001,2018,2017-18,1610612745,Houston Rockets,203991,Clint Capela,C,C,01-18-2018,21700665,HOU,MIN,Missed Shot,False,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.0,6.85,1,4,1,9
98002,2018,2017-18,1610612750,Minnesota Timberwolves,201952,Jeff Teague,G,PG,01-18-2018,21700665,HOU,MIN,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-2.1,14.95,9,4,1,31
98007,2018,2017-18,1610612745,Houston Rockets,203991,Clint Capela,C,C,01-18-2018,21700665,HOU,MIN,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.0,5.65,1,4,1,47
98009,2018,2017-18,1610612750,Minnesota Timberwolves,1626157,Karl-Anthony Towns,C,C,01-18-2018,21700665,HOU,MIN,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.3,6.15,1,4,2,6
98010,2018,2017-18,1610612745,Houston Rockets,200782,P.J. Tucker,F,PF,01-18-2018,21700665,HOU,MIN,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.5,6.95,23,4,2,31
98011,2018,2017-18,1610612750,Minnesota Timberwolves,202710,Jimmy Butler,G,SG,01-18-2018,21700665,HOU,MIN,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-15.7,6.95,15,4,2,47
98017,2018,2017-18,1610612750,Minnesota Timberwolves,203952,Andrew Wiggins,F,SF,01-18-2018,21700665,HOU,MIN,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,22.5,14.95,24,4,3,26
98020,2018,2017-18,1610612745,Houston Rockets,203991,Clint Capela,C,C,01-18-2018,21700665,HOU,MIN,Missed Shot,False,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.7,5.45,0,4,4,5
98024,2018,2017-18,1610612745,Houston Rockets,203991,Clint Capela,C,C,01-18-2018,21700665,HOU,MIN,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.3,6.65,2,4,3,40
98025,2018,2017-18,1610612750,Minnesota Timberwolves,201959,Taj Gibson,F,PF,01-18-2018,21700665,HOU,MIN,Made Shot,True,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.3,6.05,1,4,3,55
98028,2018,2017-18,1610612745,Houston Rockets,101108,Chris Paul,G,PG,01-18-2018,21700665,HOU,MIN,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,-6.3,12.35,9,4,4,6
98030,2018,2017-18,1610612750,Minnesota Timberwolves,201952,Jeff Teague,G,PG,01-18-2018,21700665,HOU,MIN,Made Shot,True,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,1.4,18.05,12,4,4,23
