,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
101121,2018,2017-18,1610612752,New York Knicks,1628373,Frank Ntilikina,G,PG,01-15-2018,21700642,BKN,NYK,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-15.4,11.65,16,4,0,19
101126,2018,2017-18,1610612751,Brooklyn Nets,1627747,Caris LeVert,F,SF,01-15-2018,21700642,BKN,NYK,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.2,4.45,23,4,0,39
101137,2018,2017-18,1610612752,New York Knicks,201563,Michael Beasley,F,PF,01-15-2018,21700642,BKN,NYK,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.1,5.65,0,4,1,10
101141,2018,2017-18,1610612751,Brooklyn Nets,203112,Quincy Acy,F,PF,01-15-2018,21700642,BKN,NYK,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,12.4,27.35,25,4,1,26
101143,2018,2017-18,1610612752,New York Knicks,201563,Michael Beasley,F,PF,01-15-2018,21700642,BKN,NYK,Made Shot,True,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.8,6.55,1,4,1,35
101146,2018,2017-18,1610612752,New York Knicks,203504,Trey Burke,G,PG,01-15-2018,21700642,BKN,NYK,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-9.1,12.75,11,4,1,36
101157,2018,2017-18,1610612751,Brooklyn Nets,1628495,Milton Doyle,G,SG,01-15-2018,21700642,BKN,NYK,Made Shot,True,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-2.9,10.85,6,4,1,58
101159,2018,2017-18,1610612752,New York Knicks,204001,Kristaps Porzingis,F,PF,01-15-2018,21700642,BKN,NYK,Missed Shot,False,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.4,6.95,2,4,2,2
101164,2018,2017-18,1610612751,Brooklyn Nets,1627747,Caris LeVert,F,SF,01-15-2018,21700642,BKN,NYK,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-17.1,22.85,24,4,2,29
101169,2018,2017-18,1610612752,New York Knicks,204001,Kristaps Porzingis,F,PF,01-15-2018,21700642,BKN,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-3.2,29.55,24,4,2,38
101173,2018,2017-18,1610612751,Brooklyn Nets,1628495,Milton Doyle,G,SG,01-15-2018,21700642,BKN,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-15.4,24.05,24,4,2,54
101175,2018,2017-18,1610612751,Brooklyn Nets,203459,Allen Crabbe,G,SG,01-15-2018,21700642,BKN,NYK,Missed Shot,False,Turnaround Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-17.4,24.95,26,4,3,29
101177,2018,2017-18,1610612752,New York Knicks,201563,Michael Beasley,F,PF,01-15-2018,21700642,BKN,NYK,Made Shot,True,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,4.65,0,4,3,48
101182,2018,2017-18,1610612752,New York Knicks,201563,Michael Beasley,F,PF,01-15-2018,21700642,BKN,NYK,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.4,5.45,1,4,3,50
101184,2018,2017-18,1610612751,Brooklyn Nets,1627747,Caris LeVert,F,SF,01-15-2018,21700642,BKN,NYK,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.3,5.25,0,4,4,13
101204,2018,2017-18,1610612752,New York Knicks,204001,Kristaps Porzingis,F,PF,01-15-2018,21700642,BKN,NYK,Missed Shot,False,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.2,8.85,3,4,4,36
101212,2018,2017-18,1610612752,New York Knicks,204001,Kristaps Porzingis,F,PF,01-15-2018,21700642,BKN,NYK,Made Shot,True,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.6,5.65,0,4,5,2
101218,2018,2017-18,1610612751,Brooklyn Nets,201960,DeMarre Carroll,F,PF,01-15-2018,21700642,BKN,NYK,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.9,6.55,1,4,5,19
101223,2018,2017-18,1610612751,Brooklyn Nets,201960,DeMarre Carroll,F,PF,01-15-2018,21700642,BKN,NYK,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.6,11.05,5,4,5,20
101231,2018,2017-18,1610612751,Brooklyn Nets,1627747,Caris LeVert,F,SF,01-15-2018,21700642,BKN,NYK,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-10.7,21.35,19,4,5,49
101244,2018,2017-18,1610612752,New York Knicks,1627758,Ron Baker,G,SG,01-15-2018,21700642,BKN,NYK,Made Shot,True,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.6,5.15,1,4,6,6
101249,2018,2017-18,1610612751,Brooklyn Nets,203915,Spencer Dinwiddie,G,PG,01-15-2018,21700642,BKN,NYK,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,8.95,3,4,6,13
101253,2018,2017-18,1610612752,New York Knicks,201563,Michael Beasley,F,PF,01-15-2018,21700642,BKN,NYK,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.1,5.35,1,4,6,36
101259,2018,2017-18,1610612751,Brooklyn Nets,203915,Spencer Dinwiddie,G,PG,01-15-2018,21700642,BKN,NYK,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.6,5.65,2,4,6,43
101286,2018,2017-18,1610612751,Brooklyn Nets,203915,Spencer Dinwiddie,G,PG,01-15-2018,21700642,BKN,NYK,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,6.2,13.55,10,4,8,58
101299,2018,2017-18,1610612751,Brooklyn Nets,203925,Joe Harris,G,SG,01-15-2018,21700642,BKN,NYK,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,3.3,30.05,25,4,7,10
101305,2018,2017-18,1610612752,New York Knicks,201563,Michael Beasley,F,PF,01-15-2018,21700642,BKN,NYK,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.6,5.65,1,4,7,22
101313,2018,2017-18,1610612751,Brooklyn Nets,203915,Spencer Dinwiddie,G,PG,01-15-2018,21700642,BKN,NYK,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.8,6.25,2,4,7,30
101317,2018,2017-18,1610612752,New York Knicks,201563,Michael Beasley,F,PF,01-15-2018,21700642,BKN,NYK,Missed Shot,False,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-10.2,20.65,18,4,7,43
101327,2018,2017-18,1610612751,Brooklyn Nets,203925,Joe Harris,G,SG,01-15-2018,21700642,BKN,NYK,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.6,4.25,1,4,8,1
101332,2018,2017-18,1610612752,New York Knicks,201563,Michael Beasley,F,PF,01-15-2018,21700642,BKN,NYK,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.6,4.75,22,4,8,15
101338,2018,2017-18,1610612751,Brooklyn Nets,203915,Spencer Dinwiddie,G,PG,01-15-2018,21700642,BKN,NYK,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.1,5.85,1,4,8,36
101352,2018,2017-18,1610612752,New York Knicks,201563,Michael Beasley,F,PF,01-15-2018,21700642,BKN,NYK,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.2,5.35,2,4,8,53
101377,2018,2017-18,1610612751,Brooklyn Nets,1628386,Jarrett Allen,C,C,01-15-2018,21700642,BKN,NYK,Missed Shot,False,Turnaround Hook Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.2,6.95,2,4,9,18
101384,2018,2017-18,1610612752,New York Knicks,1628373,Frank Ntilikina,G,PG,01-15-2018,21700642,BKN,NYK,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-12.0,28.85,26,4,9,41
101389,2018,2017-18,1610612751,Brooklyn Nets,203459,Allen Crabbe,G,SG,01-15-2018,21700642,BKN,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.2,11.05,23,4,9,49
101391,2018,2017-18,1610612752,New York Knicks,203124,Kyle O'Quinn,C,C,01-15-2018,21700642,BKN,NYK,Made Shot,True,Turnaround Hook Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.6,5.35,2,4,10,15
101399,2018,2017-18,1610612751,Brooklyn Nets,201960,DeMarre Carroll,F,PF,01-15-2018,21700642,BKN,NYK,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-6.5,28.85,24,4,10,32
101402,2018,2017-18,1610612752,New York Knicks,201563,Michael Beasley,F,PF,01-15-2018,21700642,BKN,NYK,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,3.2,14.85,10,4,10,40
101413,2018,2017-18,1610612751,Brooklyn Nets,1627747,Caris LeVert,F,SF,01-15-2018,21700642,BKN,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.8,7.35,22,4,10,58
101418,2018,2017-18,1610612752,New York Knicks,1627758,Ron Baker,G,SG,01-15-2018,21700642,BKN,NYK,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-16.6,23.85,24,4,11,15
101432,2018,2017-18,1610612751,Brooklyn Nets,1627747,Caris LeVert,F,SF,01-15-2018,21700642,BKN,NYK,Missed Shot,False,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-3.6,17.15,12,4,11,41
101450,2018,2017-18,1610612751,Brooklyn Nets,201960,DeMarre Carroll,F,PF,01-15-2018,21700642,BKN,NYK,Made Shot,True,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,14.1,17.15,18,3,0,0
101453,2018,2017-18,1610612752,New York Knicks,1628373,Frank Ntilikina,G,PG,01-15-2018,21700642,BKN,NYK,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,10.5,20.15,18,3,0,13
101458,2018,2017-18,1610612751,Brooklyn Nets,1627747,Caris LeVert,F,SF,01-15-2018,21700642,BKN,NYK,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-11.0,21.55,19,3,0,30
101492,2018,2017-18,1610612752,New York Knicks,203926,Doug McDermott,F,SF,01-15-2018,21700642,BKN,NYK,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.8,5.25,0,3,0,57
101499,2018,2017-18,1610612751,Brooklyn Nets,203459,Allen Crabbe,G,SG,01-15-2018,21700642,BKN,NYK,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.5,4.45,22,3,1,17
101503,2018,2017-18,1610612752,New York Knicks,203926,Doug McDermott,F,SF,01-15-2018,21700642,BKN,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-16.7,22.85,24,3,1,37
101540,2018,2017-18,1610612752,New York Knicks,201563,Michael Beasley,F,PF,01-15-2018,21700642,BKN,NYK,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-6.0,8.05,6,3,2,25
101545,2018,2017-18,1610612751,Brooklyn Nets,203925,Joe Harris,G,SG,01-15-2018,21700642,BKN,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-11.7,27.75,25,3,2,41
101552,2018,2017-18,1610612752,New York Knicks,203124,Kyle O'Quinn,C,C,01-15-2018,21700642,BKN,NYK,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.1,5.75,0,3,2,54
101560,2018,2017-18,1610612751,Brooklyn Nets,201960,DeMarre Carroll,F,PF,01-15-2018,21700642,BKN,NYK,Missed Shot,False,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.6,6.65,2,3,3,1
