,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
37790,2018,2017-18,1610612756,Phoenix Suns,1627755,Tyler Ulis,G,PG,03-13-2018,21701014,PHX,CLE,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,19.2,22.05,25,4,0,0
37791,2018,2017-18,1610612756,Phoenix Suns,1628432,Davon Reed,G,SG,03-13-2018,21701014,PHX,CLE,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,6.05,0,4,0,24
37792,2018,2017-18,1610612739,Cleveland Cavaliers,1627790,Ante Zizic,C,C,03-13-2018,21701014,PHX,CLE,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.4,5.95,0,4,0,41
37793,2018,2017-18,1610612739,Cleveland Cavaliers,203903,Jordan Clarkson,G,SG,03-13-2018,21701014,PHX,CLE,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.2,30.55,25,4,1,9
37794,2018,2017-18,1610612756,Phoenix Suns,1627737,Marquese Chriss,F,PF,03-13-2018,21701014,PHX,CLE,Missed Shot,False,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-6.8,8.85,7,4,1,31
37799,2018,2017-18,1610612756,Phoenix Suns,1627885,Shaquille Harrison,G,PG,03-13-2018,21701014,PHX,CLE,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.7,5.65,0,4,2,13
37801,2018,2017-18,1610612739,Cleveland Cavaliers,101181,Jose Calderon,G,PG,03-13-2018,21701014,PHX,CLE,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-2.7,21.75,16,4,2,27
37805,2018,2017-18,1610612756,Phoenix Suns,1628432,Davon Reed,G,SG,03-13-2018,21701014,PHX,CLE,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,4.3,29.75,24,4,2,39
37808,2018,2017-18,1610612739,Cleveland Cavaliers,203903,Jordan Clarkson,G,SG,03-13-2018,21701014,PHX,CLE,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,4.6,30.45,25,4,2,51
37809,2018,2017-18,1610612756,Phoenix Suns,1627885,Shaquille Harrison,G,PG,03-13-2018,21701014,PHX,CLE,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.85,0,4,3,5
37814,2018,2017-18,1610612756,Phoenix Suns,1627885,Shaquille Harrison,G,PG,03-13-2018,21701014,PHX,CLE,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.1,6.55,1,4,3,33
