,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
29191,2018,2017-18,1610612756,Phoenix Suns,1627885,Shaquille Harrison,G,PG,03-20-2018,21701063,PHX,DET,Made Shot,True,Driving Floating Bank Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-9.5,10.25,10,4,0,1
29193,2018,2017-18,1610612756,Phoenix Suns,1627737,Marquese Chriss,F,PF,03-20-2018,21701063,PHX,DET,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.7,30.75,25,4,0,7
29196,2018,2017-18,1610612765,Detroit Pistons,1627740,Henry Ellenson,F,PF,03-20-2018,21701063,PHX,DET,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.1,4.95,23,4,0,22
29198,2018,2017-18,1610612756,Phoenix Suns,1627733,Dragan Bender,F,PF,03-20-2018,21701063,PHX,DET,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.3,5.65,0,4,0,36
29199,2018,2017-18,1610612765,Detroit Pistons,1628379,Luke Kennard,G,SG,03-20-2018,21701063,PHX,DET,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,8.5,29.55,25,4,0,50
29200,2018,2017-18,1610612756,Phoenix Suns,1627885,Shaquille Harrison,G,PG,03-20-2018,21701063,PHX,DET,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-3.6,9.45,5,4,1,7
29202,2018,2017-18,1610612756,Phoenix Suns,203901,Elfrid Payton,G,PG,03-20-2018,21701063,PHX,DET,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.8,6.05,1,4,1,30
29205,2018,2017-18,1610612765,Detroit Pistons,1627740,Henry Ellenson,F,PF,03-20-2018,21701063,PHX,DET,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.5,6.85,22,4,1,39
29209,2018,2017-18,1610612765,Detroit Pistons,1627740,Henry Ellenson,F,PF,03-20-2018,21701063,PHX,DET,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.1,4.95,0,4,2,0
29216,2018,2017-18,1610612756,Phoenix Suns,1627737,Marquese Chriss,F,PF,03-20-2018,21701063,PHX,DET,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.6,6.85,1,4,2,12
29217,2018,2017-18,1610612765,Detroit Pistons,202397,Ish Smith,G,PG,03-20-2018,21701063,PHX,DET,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-14.7,12.05,16,4,2,28
29222,2018,2017-18,1610612756,Phoenix Suns,1627737,Marquese Chriss,F,PF,03-20-2018,21701063,PHX,DET,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.8,5.65,0,4,2,51
29225,2018,2017-18,1610612765,Detroit Pistons,203516,James Ennis III,F,SF,03-20-2018,21701063,PHX,DET,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,18.2,4.35,18,4,2,59
29226,2018,2017-18,1610612756,Phoenix Suns,1627885,Shaquille Harrison,G,PG,03-20-2018,21701063,PHX,DET,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.8,29.85,24,4,3,13
29235,2018,2017-18,1610612765,Detroit Pistons,1628379,Luke Kennard,G,SG,03-20-2018,21701063,PHX,DET,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,5.25,0,4,3,33
29237,2018,2017-18,1610612756,Phoenix Suns,203901,Elfrid Payton,G,PG,03-20-2018,21701063,PHX,DET,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.7,6.55,1,4,3,40
29241,2018,2017-18,1610612765,Detroit Pistons,201933,Blake Griffin,F,PF,03-20-2018,21701063,PHX,DET,Made Shot,True,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-5.4,29.95,25,4,3,54
29244,2018,2017-18,1610612756,Phoenix Suns,1627737,Marquese Chriss,F,PF,03-20-2018,21701063,PHX,DET,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,12.9,26.55,24,4,4,17
29253,2018,2017-18,1610612765,Detroit Pistons,203516,James Ennis III,F,SF,03-20-2018,21701063,PHX,DET,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.15,0,4,4,34
29257,2018,2017-18,1610612756,Phoenix Suns,1627737,Marquese Chriss,F,PF,03-20-2018,21701063,PHX,DET,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.2,5.35,1,4,4,39
29260,2018,2017-18,1610612765,Detroit Pistons,203516,James Ennis III,F,SF,03-20-2018,21701063,PHX,DET,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-17.3,24.55,25,4,4,56
29274,2018,2017-18,1610612765,Detroit Pistons,203516,James Ennis III,F,SF,03-20-2018,21701063,PHX,DET,Missed Shot,False,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.5,5.45,0,4,5,28
29281,2018,2017-18,1610612765,Detroit Pistons,201933,Blake Griffin,F,PF,03-20-2018,21701063,PHX,DET,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,13.1,18.85,18,4,5,39
29284,2018,2017-18,1610612756,Phoenix Suns,1627737,Marquese Chriss,F,PF,03-20-2018,21701063,PHX,DET,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-21.8,16.95,24,4,5,59
29292,2018,2017-18,1610612765,Detroit Pistons,203516,James Ennis III,F,SF,03-20-2018,21701063,PHX,DET,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-6.5,31.45,26,4,6,9
29293,2018,2017-18,1610612756,Phoenix Suns,1628367,Josh Jackson,F,SF,03-20-2018,21701063,PHX,DET,Made Shot,True,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,2.5,17.95,12,4,6,25
29298,2018,2017-18,1610612765,Detroit Pistons,1628379,Luke Kennard,G,SG,03-20-2018,21701063,PHX,DET,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-10.5,28.45,25,4,6,45
29302,2018,2017-18,1610612765,Detroit Pistons,201933,Blake Griffin,F,PF,03-20-2018,21701063,PHX,DET,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,10.1,19.55,17,4,6,48
29306,2018,2017-18,1610612756,Phoenix Suns,1627737,Marquese Chriss,F,PF,03-20-2018,21701063,PHX,DET,Made Shot,True,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.8,10.55,5,4,7,15
29323,2018,2017-18,1610612756,Phoenix Suns,1627737,Marquese Chriss,F,PF,03-20-2018,21701063,PHX,DET,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.5,5.85,0,4,7,24
29330,2018,2017-18,1610612756,Phoenix Suns,1627885,Shaquille Harrison,G,PG,03-20-2018,21701063,PHX,DET,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.3,5.25,1,4,7,29
29336,2018,2017-18,1610612765,Detroit Pistons,203516,James Ennis III,F,SF,03-20-2018,21701063,PHX,DET,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,1.8,33.25,28,4,7,40
29342,2018,2017-18,1610612765,Detroit Pistons,202397,Ish Smith,G,PG,03-20-2018,21701063,PHX,DET,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,8.8,23.55,20,4,8,1
29359,2018,2017-18,1610612765,Detroit Pistons,201229,Anthony Tolliver,F,PF,03-20-2018,21701063,PHX,DET,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,4.9,32.25,27,4,8,30
29361,2018,2017-18,1610612756,Phoenix Suns,203458,Alex Len,C,C,03-20-2018,21701063,PHX,DET,Made Shot,True,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,4.65,0,4,8,42
29364,2018,2017-18,1610612756,Phoenix Suns,203458,Alex Len,C,C,03-20-2018,21701063,PHX,DET,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.4,6.35,1,4,8,45
29368,2018,2017-18,1610612765,Detroit Pistons,1628379,Luke Kennard,G,SG,03-20-2018,21701063,PHX,DET,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,9.0,29.95,26,4,9,3
29373,2018,2017-18,1610612756,Phoenix Suns,1628432,Davon Reed,G,SG,03-20-2018,21701063,PHX,DET,Missed Shot,False,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.0,5.55,1,4,9,9
29379,2018,2017-18,1610612765,Detroit Pistons,202704,Reggie Jackson,G,PG,03-20-2018,21701063,PHX,DET,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-10.6,19.65,17,4,9,27
29382,2018,2017-18,1610612756,Phoenix Suns,1628409,Alec Peters,F,PF,03-20-2018,21701063,PHX,DET,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.0,4.55,23,4,9,51
29385,2018,2017-18,1610612765,Detroit Pistons,202704,Reggie Jackson,G,PG,03-20-2018,21701063,PHX,DET,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,8.1,21.55,18,4,10,0
29393,2018,2017-18,1610612765,Detroit Pistons,201229,Anthony Tolliver,F,PF,03-20-2018,21701063,PHX,DET,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,5.45,0,4,10,32
29402,2018,2017-18,1610612765,Detroit Pistons,203516,James Ennis III,F,SF,03-20-2018,21701063,PHX,DET,Missed Shot,False,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.1,6.05,0,4,10,32
29404,2018,2017-18,1610612756,Phoenix Suns,1628409,Alec Peters,F,PF,03-20-2018,21701063,PHX,DET,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.7,7.35,22,4,10,39
29409,2018,2017-18,1610612756,Phoenix Suns,1627737,Marquese Chriss,F,PF,03-20-2018,21701063,PHX,DET,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,13.4,5.65,13,4,10,47
29416,2018,2017-18,1610612756,Phoenix Suns,1627733,Dragan Bender,F,PF,03-20-2018,21701063,PHX,DET,Made Shot,True,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,4.65,0,4,11,22
29421,2018,2017-18,1610612756,Phoenix Suns,1627733,Dragan Bender,F,PF,03-20-2018,21701063,PHX,DET,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-2.5,11.65,6,4,11,22
29425,2018,2017-18,1610612765,Detroit Pistons,1628379,Luke Kennard,G,SG,03-20-2018,21701063,PHX,DET,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-2.7,23.85,18,4,11,47
29452,2018,2017-18,1610612756,Phoenix Suns,1628367,Josh Jackson,F,SF,03-20-2018,21701063,PHX,DET,Missed Shot,False,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,12.7,27.25,25,3,0,1
29461,2018,2017-18,1610612765,Detroit Pistons,201229,Anthony Tolliver,F,PF,03-20-2018,21701063,PHX,DET,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,3.0,31.45,26,3,0,5
29464,2018,2017-18,1610612756,Phoenix Suns,1628409,Alec Peters,F,PF,03-20-2018,21701063,PHX,DET,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,14.9,24.75,24,3,0,24
29467,2018,2017-18,1610612765,Detroit Pistons,1626169,Stanley Johnson,F,SF,03-20-2018,21701063,PHX,DET,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,13.8,26.65,25,3,0,37
29469,2018,2017-18,1610612756,Phoenix Suns,201162,Jared Dudley,F,PF,03-20-2018,21701063,PHX,DET,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.3,5.65,0,3,0,59
29473,2018,2017-18,1610612765,Detroit Pistons,201933,Blake Griffin,F,PF,03-20-2018,21701063,PHX,DET,Missed Shot,False,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,5.45,0,3,1,1
29480,2018,2017-18,1610612756,Phoenix Suns,1627755,Tyler Ulis,G,PG,03-20-2018,21701063,PHX,DET,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-9.2,29.85,26,3,1,12
29484,2018,2017-18,1610612765,Detroit Pistons,202397,Ish Smith,G,PG,03-20-2018,21701063,PHX,DET,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.4,9.35,23,3,1,32
29489,2018,2017-18,1610612756,Phoenix Suns,203584,Troy Daniels,G,SG,03-20-2018,21701063,PHX,DET,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-19.6,13.95,21,3,1,45
29494,2018,2017-18,1610612765,Detroit Pistons,201229,Anthony Tolliver,F,PF,03-20-2018,21701063,PHX,DET,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-11.7,27.75,25,3,2,7
29499,2018,2017-18,1610612756,Phoenix Suns,1628367,Josh Jackson,F,SF,03-20-2018,21701063,PHX,DET,Missed Shot,False,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,5.75,0,3,2,14
29504,2018,2017-18,1610612765,Detroit Pistons,1626169,Stanley Johnson,F,SF,03-20-2018,21701063,PHX,DET,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,5.8,30.15,25,3,2,25
29519,2018,2017-18,1610612765,Detroit Pistons,1628379,Luke Kennard,G,SG,03-20-2018,21701063,PHX,DET,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,20.6,19.85,25,3,2,55
29523,2018,2017-18,1610612756,Phoenix Suns,203584,Troy Daniels,G,SG,03-20-2018,21701063,PHX,DET,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.1,5.35,23,3,3,12
29527,2018,2017-18,1610612765,Detroit Pistons,202397,Ish Smith,G,PG,03-20-2018,21701063,PHX,DET,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-13.8,26.35,25,3,3,23
