,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
56616,2018,2017-18,1610612756,Phoenix Suns,1628367,Josh Jackson,F,SF,02-26-2018,21700902,NOP,PHX,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,1.8,31.85,26,4,0,21
56617,2018,2017-18,1610612740,New Orleans Pelicans,200765,Rajon Rondo,G,PG,02-26-2018,21700902,NOP,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.2,7.45,23,4,0,39
56618,2018,2017-18,1610612756,Phoenix Suns,203584,Troy Daniels,G,SG,02-26-2018,21700902,NOP,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.1,9.25,23,4,1,7
56619,2018,2017-18,1610612756,Phoenix Suns,1626164,Devin Booker,G,SG,02-26-2018,21700902,NOP,PHX,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-14.8,25.35,24,4,1,14
56620,2018,2017-18,1610612740,New Orleans Pelicans,203076,Anthony Davis,F,PF,02-26-2018,21700902,NOP,PHX,Made Shot,True,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,4.65,0,4,1,23
56621,2018,2017-18,1610612740,New Orleans Pelicans,200765,Rajon Rondo,G,PG,02-26-2018,21700902,NOP,PHX,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.8,5.65,0,4,1,23
56622,2018,2017-18,1610612756,Phoenix Suns,1626164,Devin Booker,G,SG,02-26-2018,21700902,NOP,PHX,Made Shot,True,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.5,5.55,1,4,1,36
56623,2018,2017-18,1610612740,New Orleans Pelicans,201950,Jrue Holiday,G,SG,02-26-2018,21700902,NOP,PHX,Made Shot,True,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,6.45,1,4,1,48
56627,2018,2017-18,1610612740,New Orleans Pelicans,203121,Darius Miller,F,SF,02-26-2018,21700902,NOP,PHX,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-20.7,18.45,24,4,1,53
56630,2018,2017-18,1610612740,New Orleans Pelicans,203121,Darius Miller,F,SF,02-26-2018,21700902,NOP,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.9,13.55,24,4,2,16
56631,2018,2017-18,1610612756,Phoenix Suns,203901,Elfrid Payton,G,PG,02-26-2018,21700902,NOP,PHX,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.2,6.05,2,4,2,29
56633,2018,2017-18,1610612740,New Orleans Pelicans,201950,Jrue Holiday,G,SG,02-26-2018,21700902,NOP,PHX,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-9.2,5.45,9,4,2,37
56636,2018,2017-18,1610612756,Phoenix Suns,203901,Elfrid Payton,G,PG,02-26-2018,21700902,NOP,PHX,Missed Shot,False,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.6,6.25,1,4,2,59
56637,2018,2017-18,1610612740,New Orleans Pelicans,202703,Nikola Mirotic,F,PF,02-26-2018,21700902,NOP,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,15.3,26.75,26,4,3,11
56639,2018,2017-18,1610612756,Phoenix Suns,1628367,Josh Jackson,F,SF,02-26-2018,21700902,NOP,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.7,12.75,24,4,3,35
56640,2018,2017-18,1610612740,New Orleans Pelicans,203121,Darius Miller,F,SF,02-26-2018,21700902,NOP,PHX,Made Shot,True,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,6.05,0,4,3,48
56641,2018,2017-18,1610612756,Phoenix Suns,1626164,Devin Booker,G,SG,02-26-2018,21700902,NOP,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,9.5,29.95,26,4,4,8
56643,2018,2017-18,1610612740,New Orleans Pelicans,203076,Anthony Davis,F,PF,02-26-2018,21700902,NOP,PHX,Missed Shot,False,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,6.25,1,4,4,18
