,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
207289,2018,2017-18,1610612757,Portland Trail Blazers,1628403,Caleb Swanigan,F,PF,10-20-2017,21700018,IND,POR,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.5,8.35,3,4,0,11
207308,2018,2017-18,1610612754,Indiana Pacers,1626202,Joe Young,G,PG,10-20-2017,21700018,IND,POR,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,6.8,19.35,15,4,0,27
207314,2018,2017-18,1610612757,Portland Trail Blazers,1628380,Zach Collins,C,C,10-20-2017,21700018,IND,POR,Missed Shot,False,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,4.65,0,4,0,37
207317,2018,2017-18,1610612757,Portland Trail Blazers,1628403,Caleb Swanigan,F,PF,10-20-2017,21700018,IND,POR,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,7.45,2,4,0,39
207320,2018,2017-18,1610612754,Indiana Pacers,1628388,T.J. Leaf,,,10-20-2017,21700018,IND,POR,Made Shot,True,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.7,7.25,2,4,0,54
207325,2018,2017-18,1610612757,Portland Trail Blazers,203894,Shabazz Napier,G,PG,10-20-2017,21700018,IND,POR,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-15.9,15.05,18,4,1,6
207328,2018,2017-18,1610612754,Indiana Pacers,1626202,Joe Young,G,PG,10-20-2017,21700018,IND,POR,Made Shot,True,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.7,11.45,6,4,1,22
207333,2018,2017-18,1610612757,Portland Trail Blazers,1628380,Zach Collins,C,C,10-20-2017,21700018,IND,POR,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-1.7,24.45,19,4,1,35
207351,2018,2017-18,1610612757,Portland Trail Blazers,1628403,Caleb Swanigan,F,PF,10-20-2017,21700018,IND,POR,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-13.8,17.85,18,4,2,6
207371,2018,2017-18,1610612754,Indiana Pacers,2744,Al Jefferson,C,C,10-20-2017,21700018,IND,POR,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,17.2,8.05,17,4,2,27
207373,2018,2017-18,1610612757,Portland Trail Blazers,202329,Al-Farouq Aminu,F,PF,10-20-2017,21700018,IND,POR,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,6.05,0,4,2,53
207380,2018,2017-18,1610612757,Portland Trail Blazers,203994,Jusuf Nurkic,C,C,10-20-2017,21700018,IND,POR,Made Shot,True,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.3,6.65,1,4,3,15
207386,2018,2017-18,1610612754,Indiana Pacers,1628388,T.J. Leaf,,,10-20-2017,21700018,IND,POR,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,2.5,16.55,11,4,3,33
207403,2018,2017-18,1610612757,Portland Trail Blazers,202329,Al-Farouq Aminu,F,PF,10-20-2017,21700018,IND,POR,Made Shot,True,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,4.65,0,4,3,55
207407,2018,2017-18,1610612757,Portland Trail Blazers,202329,Al-Farouq Aminu,F,PF,10-20-2017,21700018,IND,POR,Missed Shot,False,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,4.65,0,4,3,57
207411,2018,2017-18,1610612757,Portland Trail Blazers,203994,Jusuf Nurkic,C,C,10-20-2017,21700018,IND,POR,Missed Shot,False,Hook Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-10.9,7.25,11,4,4,0
207435,2018,2017-18,1610612757,Portland Trail Blazers,202329,Al-Farouq Aminu,F,PF,10-20-2017,21700018,IND,POR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-20.3,23.45,27,4,4,27
207441,2018,2017-18,1610612754,Indiana Pacers,202709,Cory Joseph,G,PG,10-20-2017,21700018,IND,POR,Missed Shot,False,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-12.0,7.25,12,4,4,50
207442,2018,2017-18,1610612757,Portland Trail Blazers,203081,Damian Lillard,G,PG,10-20-2017,21700018,IND,POR,Made Shot,True,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,6.05,0,4,5,1
207445,2018,2017-18,1610612754,Indiana Pacers,202709,Cory Joseph,G,PG,10-20-2017,21700018,IND,POR,Made Shot,True,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,1.0,17.25,12,4,5,18
207469,2018,2017-18,1610612754,Indiana Pacers,1628388,T.J. Leaf,,,10-20-2017,21700018,IND,POR,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,6.3,20.95,16,4,5,51
207471,2018,2017-18,1610612757,Portland Trail Blazers,203994,Jusuf Nurkic,C,C,10-20-2017,21700018,IND,POR,Missed Shot,False,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.7,6.05,1,4,5,57
207474,2018,2017-18,1610612757,Portland Trail Blazers,203994,Jusuf Nurkic,C,C,10-20-2017,21700018,IND,POR,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,6.35,1,4,6,0
207490,2018,2017-18,1610612757,Portland Trail Blazers,203994,Jusuf Nurkic,C,C,10-20-2017,21700018,IND,POR,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.3,6.95,1,4,6,27
207498,2018,2017-18,1610612754,Indiana Pacers,203506,Victor Oladipo,G,SG,10-20-2017,21700018,IND,POR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-1.8,32.25,27,4,6,51
207501,2018,2017-18,1610612757,Portland Trail Blazers,203081,Damian Lillard,G,PG,10-20-2017,21700018,IND,POR,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,15.0,19.55,20,4,6,56
207517,2018,2017-18,1610612757,Portland Trail Blazers,202329,Al-Farouq Aminu,F,PF,10-20-2017,21700018,IND,POR,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.4,11.35,23,4,7,35
207533,2018,2017-18,1610612757,Portland Trail Blazers,203081,Damian Lillard,G,PG,10-20-2017,21700018,IND,POR,Made Shot,True,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-17.7,5.55,17,4,8,2
207540,2018,2017-18,1610612754,Indiana Pacers,1628388,T.J. Leaf,,,10-20-2017,21700018,IND,POR,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.0,10.65,23,4,8,12
207544,2018,2017-18,1610612757,Portland Trail Blazers,202323,Evan Turner,F,SF,10-20-2017,21700018,IND,POR,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,10.2,5.35,10,4,8,27
207565,2018,2017-18,1610612754,Indiana Pacers,1628388,T.J. Leaf,,,10-20-2017,21700018,IND,POR,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.7,6.75,1,4,8,46
207569,2018,2017-18,1610612757,Portland Trail Blazers,203994,Jusuf Nurkic,C,C,10-20-2017,21700018,IND,POR,Missed Shot,False,Turnaround Fadeaway Bank Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-10.6,6.75,10,4,8,55
207578,2018,2017-18,1610612754,Indiana Pacers,1627734,Domantas Sabonis,C,C,10-20-2017,21700018,IND,POR,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,1.6,22.15,16,4,9,9
207590,2018,2017-18,1610612757,Portland Trail Blazers,203468,CJ McCollum,G,SG,10-20-2017,21700018,IND,POR,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-12.8,17.85,17,4,9,33
207600,2018,2017-18,1610612757,Portland Trail Blazers,203994,Jusuf Nurkic,C,C,10-20-2017,21700018,IND,POR,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,12.4,10.75,13,4,10,0
207629,2018,2017-18,1610612757,Portland Trail Blazers,203468,CJ McCollum,G,SG,10-20-2017,21700018,IND,POR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,19.6,20.85,25,4,10,31
207638,2018,2017-18,1610612757,Portland Trail Blazers,202323,Evan Turner,F,SF,10-20-2017,21700018,IND,POR,Missed Shot,False,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,-7.4,16.65,13,4,10,36
207645,2018,2017-18,1610612754,Indiana Pacers,2744,Al Jefferson,C,C,10-20-2017,21700018,IND,POR,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,1.1,21.15,15,4,10,57
207647,2018,2017-18,1610612757,Portland Trail Blazers,1628380,Zach Collins,C,C,10-20-2017,21700018,IND,POR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-9.8,29.85,26,4,11,6
207650,2018,2017-18,1610612754,Indiana Pacers,1628388,T.J. Leaf,,,10-20-2017,21700018,IND,POR,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,4.7,11.15,7,4,11,27
207653,2018,2017-18,1610612754,Indiana Pacers,1628388,T.J. Leaf,,,10-20-2017,21700018,IND,POR,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-5.9,9.05,7,4,11,29
207657,2018,2017-18,1610612754,Indiana Pacers,202709,Cory Joseph,G,PG,10-20-2017,21700018,IND,POR,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,15.4,9.65,16,4,11,40
207674,2018,2017-18,1610612754,Indiana Pacers,201954,Darren Collison,G,PG,10-20-2017,21700018,IND,POR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,11.0,34.75,31,3,0,1
