,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
10932,2018,2017-18,1610612759,San Antonio Spurs,201988,Patty Mills,G,PG,04-03-2018,21701168,LAC,SAS,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-0.2,21.75,16,4,0,9
10933,2018,2017-18,1610612746,LA Clippers,203085,Austin Rivers,G,SG,04-03-2018,21701168,LAC,SAS,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-18.0,24.55,26,4,0,29
10934,2018,2017-18,1610612759,San Antonio Spurs,201988,Patty Mills,G,PG,04-03-2018,21701168,LAC,SAS,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,12.8,30.85,28,4,0,37
10935,2018,2017-18,1610612746,LA Clippers,101150,Lou Williams,G,SG,04-03-2018,21701168,LAC,SAS,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,8.2,21.95,18,4,0,50
10941,2018,2017-18,1610612746,LA Clippers,203085,Austin Rivers,G,SG,04-03-2018,21701168,LAC,SAS,Missed Shot,False,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.1,7.85,2,4,1,24
10944,2018,2017-18,1610612759,San Antonio Spurs,200746,LaMarcus Aldridge,C,C,04-03-2018,21701168,LAC,SAS,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-10.0,23.15,20,4,1,40
10946,2018,2017-18,1610612746,LA Clippers,101150,Lou Williams,G,SG,04-03-2018,21701168,LAC,SAS,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,9.6,16.25,14,4,1,58
10948,2018,2017-18,1610612759,San Antonio Spurs,201980,Danny Green,G,SG,04-03-2018,21701168,LAC,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-19.0,22.75,25,4,2,7
10951,2018,2017-18,1610612746,LA Clippers,202699,Tobias Harris,F,PF,04-03-2018,21701168,LAC,SAS,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.4,7.85,2,4,2,22
10958,2018,2017-18,1610612746,LA Clippers,101150,Lou Williams,G,SG,04-03-2018,21701168,LAC,SAS,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,8.65,3,4,2,45
10965,2018,2017-18,1610612759,San Antonio Spurs,201980,Danny Green,G,SG,04-03-2018,21701168,LAC,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,24.7,6.85,24,4,3,12
10967,2018,2017-18,1610612746,LA Clippers,101150,Lou Williams,G,SG,04-03-2018,21701168,LAC,SAS,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.4,7.95,3,4,3,34
10973,2018,2017-18,1610612746,LA Clippers,202699,Tobias Harris,F,PF,04-03-2018,21701168,LAC,SAS,Made Shot,True,Turnaround Hook Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,6.85,1,4,4,8
10976,2018,2017-18,1610612759,San Antonio Spurs,201988,Patty Mills,G,PG,04-03-2018,21701168,LAC,SAS,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,8.7,30.55,26,4,4,26
