,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
119782,2019,2018-19,1610612737,Atlanta Hawks,1626147,Justin Anderson,F,SF,01-02-2019,21800556,WAS,ATL,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-13.3,17.85,18,4,0,23
119783,2019,2018-19,1610612764,Washington Wizards,1626184,Chasson Randle,G,PG,01-02-2019,21800556,WAS,ATL,Made Shot,True,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-1.1,10.35,5,4,0,32
119785,2019,2018-19,1610612764,Washington Wizards,1626184,Chasson Randle,G,PG,01-02-2019,21800556,WAS,ATL,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.5,8.25,3,4,0,33
119799,2019,2018-19,1610612764,Washington Wizards,2772,Trevor Ariza,F,SF,01-02-2019,21800556,WAS,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.5,4.85,22,4,0,57
119800,2019,2018-19,1610612737,Atlanta Hawks,203473,Dewayne Dedmon,C,C,01-02-2019,21800556,WAS,ATL,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.4,5.75,2,4,1,20
119804,2019,2018-19,1610612737,Atlanta Hawks,1628989,Kevin Huerter,G,SG,01-02-2019,21800556,WAS,ATL,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-15.8,29.35,28,4,1,23
119805,2019,2018-19,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,01-02-2019,21800556,WAS,ATL,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.5,6.35,1,4,1,35
119807,2019,2018-19,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,01-02-2019,21800556,WAS,ATL,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-8.3,23.55,20,4,1,48
119811,2019,2018-19,1610612737,Atlanta Hawks,1627761,DeAndre' Bembry,G,SG,01-02-2019,21800556,WAS,ATL,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.3,18.35,13,4,2,11
119813,2019,2018-19,1610612764,Washington Wizards,203107,Tomas Satoransky,G,PG,01-02-2019,21800556,WAS,ATL,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,8.4,11.65,10,4,2,26
119814,2019,2018-19,1610612737,Atlanta Hawks,202391,Jeremy Lin,G,PG,01-02-2019,21800556,WAS,ATL,Missed Shot,False,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,7.0,16.25,13,4,2,43
119816,2019,2018-19,1610612764,Washington Wizards,201145,Jeff Green,F,PF,01-02-2019,21800556,WAS,ATL,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.2,7.95,23,4,3,9
119820,2019,2018-19,1610612737,Atlanta Hawks,1627761,DeAndre' Bembry,G,SG,01-02-2019,21800556,WAS,ATL,Missed Shot,False,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-3.2,6.85,3,4,3,27
119825,2019,2018-19,1610612737,Atlanta Hawks,1627761,DeAndre' Bembry,G,SG,01-02-2019,21800556,WAS,ATL,Made Shot,True,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,6.3,14.05,10,4,3,59
119829,2019,2018-19,1610612764,Washington Wizards,201145,Jeff Green,F,PF,01-02-2019,21800556,WAS,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,19.2,22.05,25,4,4,14
119833,2019,2018-19,1610612737,Atlanta Hawks,1627761,DeAndre' Bembry,G,SG,01-02-2019,21800556,WAS,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.0,4.25,23,4,4,40
119842,2019,2018-19,1610612764,Washington Wizards,201145,Jeff Green,F,PF,01-02-2019,21800556,WAS,ATL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-12.8,28.65,26,4,5,3
119848,2019,2018-19,1610612737,Atlanta Hawks,203473,Dewayne Dedmon,C,C,01-02-2019,21800556,WAS,ATL,Missed Shot,False,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,6.45,1,4,5,9
119850,2019,2018-19,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,01-02-2019,21800556,WAS,ATL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,4.6,31.25,26,4,5,27
119856,2019,2018-19,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,01-02-2019,21800556,WAS,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-14.3,30.55,29,4,5,52
119859,2019,2018-19,1610612737,Atlanta Hawks,1629027,Trae Young,G,PG,01-02-2019,21800556,WAS,ATL,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,5.25,0,4,5,59
119860,2019,2018-19,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,01-02-2019,21800556,WAS,ATL,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.7,8.15,2,4,6,16
