,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
213159,2019,2018-19,1610612742,Dallas Mavericks,1628372,Dennis Smith Jr.,G,PG,10-20-2018,21800032,DAL,MIN,Made Shot,True,Step Back Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-2.3,25.15,20,4,0,6
213161,2019,2018-19,1610612750,Minnesota Timberwolves,201959,Taj Gibson,F,PF,10-20-2018,21800032,DAL,MIN,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,3.3,16.25,11,4,0,27
213164,2019,2018-19,1610612750,Minnesota Timberwolves,201952,Jeff Teague,G,PG,10-20-2018,21800032,DAL,MIN,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-1.4,14.85,9,4,0,32
213173,2019,2018-19,1610612750,Minnesota Timberwolves,201565,Derrick Rose,G,PG,10-20-2018,21800032,DAL,MIN,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.3,5.75,1,4,0,59
213177,2019,2018-19,1610612750,Minnesota Timberwolves,1626157,Karl-Anthony Towns,C,C,10-20-2018,21800032,DAL,MIN,Made Shot,True,Fadeaway Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.7,12.55,23,4,1,21
213182,2019,2018-19,1610612742,Dallas Mavericks,1628372,Dennis Smith Jr.,G,PG,10-20-2018,21800032,DAL,MIN,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.9,4.55,1,4,1,27
213190,2019,2018-19,1610612742,Dallas Mavericks,1629029,Luka Doncic,G,SG,10-20-2018,21800032,DAL,MIN,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,10.1,7.85,10,4,2,9
213192,2019,2018-19,1610612750,Minnesota Timberwolves,1626157,Karl-Anthony Towns,C,C,10-20-2018,21800032,DAL,MIN,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-9.6,5.35,9,4,2,27
213193,2019,2018-19,1610612742,Dallas Mavericks,1629029,Luka Doncic,G,SG,10-20-2018,21800032,DAL,MIN,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-9.4,6.55,9,4,2,45
213196,2019,2018-19,1610612750,Minnesota Timberwolves,1626157,Karl-Anthony Towns,C,C,10-20-2018,21800032,DAL,MIN,Made Shot,True,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-6.8,6.85,6,4,3,6
213207,2019,2018-19,1610612750,Minnesota Timberwolves,201565,Derrick Rose,G,PG,10-20-2018,21800032,DAL,MIN,Missed Shot,False,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-7.3,6.95,7,4,3,20
213211,2019,2018-19,1610612742,Dallas Mavericks,1628372,Dennis Smith Jr.,G,PG,10-20-2018,21800032,DAL,MIN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,9.0,30.05,26,4,3,32
213213,2019,2018-19,1610612750,Minnesota Timberwolves,201952,Jeff Teague,G,PG,10-20-2018,21800032,DAL,MIN,Made Shot,True,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,4.9,14.95,10,4,3,50
213216,2019,2018-19,1610612742,Dallas Mavericks,202083,Wesley Matthews,F,SF-SG,10-20-2018,21800032,DAL,MIN,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,9.0,28.25,24,4,4,17
213219,2019,2018-19,1610612750,Minnesota Timberwolves,1626157,Karl-Anthony Towns,C,C,10-20-2018,21800032,DAL,MIN,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,5.6,5.65,5,4,4,30
213227,2019,2018-19,1610612742,Dallas Mavericks,1629029,Luka Doncic,G,SG,10-20-2018,21800032,DAL,MIN,Missed Shot,False,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,18.9,21.05,24,4,4,53
213231,2019,2018-19,1610612750,Minnesota Timberwolves,203952,Andrew Wiggins,F,SF,10-20-2018,21800032,DAL,MIN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,11.5,30.15,27,4,4,58
213235,2019,2018-19,1610612742,Dallas Mavericks,1628372,Dennis Smith Jr.,G,PG,10-20-2018,21800032,DAL,MIN,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,5.65,0,4,5,14
213247,2019,2018-19,1610612750,Minnesota Timberwolves,201565,Derrick Rose,G,PG,10-20-2018,21800032,DAL,MIN,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,16.0,24.75,25,4,5,32
213274,2019,2018-19,1610612750,Minnesota Timberwolves,1626157,Karl-Anthony Towns,C,C,10-20-2018,21800032,DAL,MIN,Missed Shot,False,Turnaround Fadeaway shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.2,11.65,23,4,6,1
213291,2019,2018-19,1610612742,Dallas Mavericks,203939,Dwight Powell,C,C,10-20-2018,21800032,DAL,MIN,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,5.15,0,4,6,17
213292,2019,2018-19,1610612750,Minnesota Timberwolves,1626157,Karl-Anthony Towns,C,C,10-20-2018,21800032,DAL,MIN,Made Shot,True,Turnaround Bank Hook Shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,-7.8,8.65,8,4,6,28
213295,2019,2018-19,1610612742,Dallas Mavericks,1628973,Jalen Brunson,G,PG,10-20-2018,21800032,DAL,MIN,Made Shot,True,Turnaround Fadeaway Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,5.1,7.85,5,4,6,46
213303,2019,2018-19,1610612742,Dallas Mavericks,1628372,Dennis Smith Jr.,G,PG,10-20-2018,21800032,DAL,MIN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,4.3,29.85,24,4,6,57
213304,2019,2018-19,1610612750,Minnesota Timberwolves,201565,Derrick Rose,G,PG,10-20-2018,21800032,DAL,MIN,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.5,6.85,1,4,7,13
213311,2019,2018-19,1610612742,Dallas Mavericks,202083,Wesley Matthews,F,SF-SG,10-20-2018,21800032,DAL,MIN,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,11.2,27.65,25,4,7,30
213324,2019,2018-19,1610612742,Dallas Mavericks,1628372,Dennis Smith Jr.,G,PG,10-20-2018,21800032,DAL,MIN,Missed Shot,False,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.3,6.25,2,4,7,43
213329,2019,2018-19,1610612742,Dallas Mavericks,203939,Dwight Powell,C,C,10-20-2018,21800032,DAL,MIN,Made Shot,True,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,4.65,0,4,8,4
213335,2019,2018-19,1610612742,Dallas Mavericks,1628372,Dennis Smith Jr.,G,PG,10-20-2018,21800032,DAL,MIN,Missed Shot,False,Jump Bank Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.9,5.65,1,4,8,6
213344,2019,2018-19,1610612750,Minnesota Timberwolves,1626157,Karl-Anthony Towns,C,C,10-20-2018,21800032,DAL,MIN,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.3,31.75,26,4,8,24
213355,2019,2018-19,1610612742,Dallas Mavericks,202083,Wesley Matthews,F,SF-SG,10-20-2018,21800032,DAL,MIN,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,19.4,20.45,24,4,8,38
213358,2019,2018-19,1610612750,Minnesota Timberwolves,201565,Derrick Rose,G,PG,10-20-2018,21800032,DAL,MIN,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-8.6,16.35,14,4,8,46
213377,2019,2018-19,1610612750,Minnesota Timberwolves,203476,Gorgui Dieng,C,C,10-20-2018,21800032,DAL,MIN,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,0.8,20.95,15,4,9,15
213380,2019,2018-19,1610612742,Dallas Mavericks,202083,Wesley Matthews,F,SF-SG,10-20-2018,21800032,DAL,MIN,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,9,29
213381,2019,2018-19,1610612750,Minnesota Timberwolves,201565,Derrick Rose,G,PG,10-20-2018,21800032,DAL,MIN,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-9.6,20.15,17,4,9,39
213385,2019,2018-19,1610612742,Dallas Mavericks,1628467,Maxi Kleber,F,PF,10-20-2018,21800032,DAL,MIN,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.8,5.35,0,4,9,57
213399,2019,2018-19,1610612742,Dallas Mavericks,1628467,Maxi Kleber,F,PF,10-20-2018,21800032,DAL,MIN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-9.9,28.75,25,4,10,28
213400,2019,2018-19,1610612750,Minnesota Timberwolves,201565,Derrick Rose,G,PG,10-20-2018,21800032,DAL,MIN,Made Shot,True,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.6,6.75,1,4,10,37
213402,2019,2018-19,1610612742,Dallas Mavericks,1628973,Jalen Brunson,G,PG,10-20-2018,21800032,DAL,MIN,Made Shot,True,Running Pull-Up Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,5.9,23.15,18,4,10,57
213406,2019,2018-19,1610612750,Minnesota Timberwolves,201229,Anthony Tolliver,F,PF,10-20-2018,21800032,DAL,MIN,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.0,13.55,24,4,11,3
213412,2019,2018-19,1610612742,Dallas Mavericks,203939,Dwight Powell,C,C,10-20-2018,21800032,DAL,MIN,Made Shot,True,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.7,5.55,1,4,11,21
213417,2019,2018-19,1610612750,Minnesota Timberwolves,201229,Anthony Tolliver,F,PF,10-20-2018,21800032,DAL,MIN,Made Shot,True,Running Pull-Up Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.1,12.65,24,4,11,35
213422,2019,2018-19,1610612742,Dallas Mavericks,202083,Wesley Matthews,F,SF-SG,10-20-2018,21800032,DAL,MIN,Missed Shot,False,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-5.6,7.95,6,4,11,42
213439,2019,2018-19,1610612750,Minnesota Timberwolves,201565,Derrick Rose,G,PG,10-20-2018,21800032,DAL,MIN,Missed Shot,False,Jump Shot,3PT Field Goal,Backcourt,Back Court,BC,Back Court Shot,17.5,56.25,53,3,0,0
213444,2019,2018-19,1610612742,Dallas Mavericks,203939,Dwight Powell,C,C,10-20-2018,21800032,DAL,MIN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.3,29.95,24,3,0,4
213487,2019,2018-19,1610612742,Dallas Mavericks,1628467,Maxi Kleber,F,PF,10-20-2018,21800032,DAL,MIN,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.1,7.35,23,3,0,49
213488,2019,2018-19,1610612750,Minnesota Timberwolves,201565,Derrick Rose,G,PG,10-20-2018,21800032,DAL,MIN,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,8.35,3,3,1,0
