,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
80124,2019,2018-19,1610612743,Denver Nuggets,1627823,Juancho Hernangomez,F,PF,02-02-2019,21800783,MIN,DEN,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-14.1,16.25,17,3,0,0
80133,2019,2018-19,1610612750,Minnesota Timberwolves,2736,Luol Deng,F,SF,02-02-2019,21800783,MIN,DEN,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.1,4.65,22,4,0,3
80162,2019,2018-19,1610612750,Minnesota Timberwolves,2736,Luol Deng,F,SF,02-02-2019,21800783,MIN,DEN,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,6.05,0,4,0,40
80168,2019,2018-19,1610612750,Minnesota Timberwolves,2736,Luol Deng,F,SF,02-02-2019,21800783,MIN,DEN,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.0,5.25,23,4,0,47
80177,2019,2018-19,1610612743,Denver Nuggets,1627736,Malik Beasley,G,SG,02-02-2019,21800783,MIN,DEN,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.3,6.05,0,4,1,2
80197,2019,2018-19,1610612750,Minnesota Timberwolves,1626157,Karl-Anthony Towns,C,C,02-02-2019,21800783,MIN,DEN,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.6,6.25,2,4,1,8
80203,2019,2018-19,1610612743,Denver Nuggets,203999,Nikola Jokic,C,C,02-02-2019,21800783,MIN,DEN,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.4,4.85,0,4,1,27
80212,2019,2018-19,1610612750,Minnesota Timberwolves,201573,Jerryd Bayless,G,PG,02-02-2019,21800783,MIN,DEN,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,8.7,29.55,25,4,1,48
80217,2019,2018-19,1610612743,Denver Nuggets,203115,Will Barton,F,SF,02-02-2019,21800783,MIN,DEN,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,22.7,14.25,24,4,2,5
80222,2019,2018-19,1610612750,Minnesota Timberwolves,1626157,Karl-Anthony Towns,C,C,02-02-2019,21800783,MIN,DEN,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.9,7.55,2,4,2,25
80262,2019,2018-19,1610612743,Denver Nuggets,203999,Nikola Jokic,C,C,02-02-2019,21800783,MIN,DEN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-4.9,30.75,25,4,3,10
80269,2019,2018-19,1610612750,Minnesota Timberwolves,201573,Jerryd Bayless,G,PG,02-02-2019,21800783,MIN,DEN,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.1,5.15,1,4,3,33
80279,2019,2018-19,1610612743,Denver Nuggets,203115,Will Barton,F,SF,02-02-2019,21800783,MIN,DEN,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.2,8.65,23,4,3,52
80293,2019,2018-19,1610612750,Minnesota Timberwolves,1626157,Karl-Anthony Towns,C,C,02-02-2019,21800783,MIN,DEN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,6.2,31.05,26,4,4,16
80302,2019,2018-19,1610612743,Denver Nuggets,1628420,Monte Morris,G,PG,02-02-2019,21800783,MIN,DEN,Made Shot,True,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.2,12.55,7,4,4,35
80307,2019,2018-19,1610612750,Minnesota Timberwolves,1626157,Karl-Anthony Towns,C,C,02-02-2019,21800783,MIN,DEN,Missed Shot,False,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,4.7,10.15,6,4,4,59
80341,2019,2018-19,1610612743,Denver Nuggets,1628470,Torrey Craig,F,SF,02-02-2019,21800783,MIN,DEN,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.3,6.65,1,4,5,19
80348,2019,2018-19,1610612743,Denver Nuggets,203115,Will Barton,F,SF,02-02-2019,21800783,MIN,DEN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.3,30.05,24,4,5,31
80352,2019,2018-19,1610612750,Minnesota Timberwolves,1629006,Josh Okogie,G,SG,02-02-2019,21800783,MIN,DEN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-4.4,30.55,25,4,5,49
80361,2019,2018-19,1610612750,Minnesota Timberwolves,201573,Jerryd Bayless,G,PG,02-02-2019,21800783,MIN,DEN,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.2,4.65,22,4,5,55
80367,2019,2018-19,1610612743,Denver Nuggets,1626168,Trey Lyles,F,PF,02-02-2019,21800783,MIN,DEN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-1.6,30.95,25,4,6,14
80386,2019,2018-19,1610612750,Minnesota Timberwolves,1629006,Josh Okogie,G,SG,02-02-2019,21800783,MIN,DEN,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.9,5.95,22,4,6,24
80392,2019,2018-19,1610612743,Denver Nuggets,1628420,Monte Morris,G,PG,02-02-2019,21800783,MIN,DEN,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.5,12.35,7,4,6,34
80400,2019,2018-19,1610612750,Minnesota Timberwolves,203967,Dario Saric,F,PF,02-02-2019,21800783,MIN,DEN,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,7.3,30.55,26,4,6,58
80406,2019,2018-19,1610612743,Denver Nuggets,1626168,Trey Lyles,F,PF,02-02-2019,21800783,MIN,DEN,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.1,9.75,22,4,7,14
80420,2019,2018-19,1610612743,Denver Nuggets,203486,Mason Plumlee,C,C,02-02-2019,21800783,MIN,DEN,Missed Shot,False,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.2,6.75,1,4,7,32
80432,2019,2018-19,1610612750,Minnesota Timberwolves,203476,Gorgui Dieng,C,C,02-02-2019,21800783,MIN,DEN,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.6,5.45,22,4,8,5
