,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
131539,2019,2018-19,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,12-23-2018,21800494,GSW,LAC,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.3,7.75,2,4,0,0
131540,2019,2018-19,1610612746,LA Clippers,202340,Avery Bradley,G,SG,12-23-2018,21800494,GSW,LAC,Made Shot,True,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,4.65,0,4,0,19
131544,2019,2018-19,1610612746,LA Clippers,202699,Tobias Harris,F,PF,12-23-2018,21800494,GSW,LAC,Missed Shot,False,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.0,7.45,2,4,0,20
131546,2019,2018-19,1610612744,Golden State Warriors,201142,Kevin Durant,F,SF,12-23-2018,21800494,GSW,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-4.4,31.35,26,4,0,28
131550,2019,2018-19,1610612746,LA Clippers,201568,Danilo Gallinari,F,SF,12-23-2018,21800494,GSW,LAC,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,3.4,5.85,3,4,3,53
131553,2019,2018-19,1610612746,LA Clippers,202340,Avery Bradley,G,SG,12-23-2018,21800494,GSW,LAC,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.0,8.95,23,4,0,40
131556,2019,2018-19,1610612744,Golden State Warriors,203110,Draymond Green,F,PF,12-23-2018,21800494,GSW,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,18.9,23.25,26,4,0,54
131557,2019,2018-19,1610612746,LA Clippers,202699,Tobias Harris,F,PF,12-23-2018,21800494,GSW,LAC,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.0,7.05,2,4,1,18
131559,2019,2018-19,1610612744,Golden State Warriors,201142,Kevin Durant,F,SF,12-23-2018,21800494,GSW,LAC,Made Shot,True,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,-6.2,14.75,11,4,1,41
131561,2019,2018-19,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,12-23-2018,21800494,GSW,LAC,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-16.8,28.85,28,4,2,6
131565,2019,2018-19,1610612744,Golden State Warriors,201142,Kevin Durant,F,SF,12-23-2018,21800494,GSW,LAC,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,6.7,17.45,13,4,2,20
