,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
109552,2019,2018-19,1610612746,LA Clippers,1626246,Boban Marjanovic,C,C,01-10-2019,21800618,DEN,LAC,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,10.7,29.45,26,4,0,12
109553,2019,2018-19,1610612746,LA Clippers,1626246,Boban Marjanovic,C,C,01-10-2019,21800618,DEN,LAC,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,-6.2,13.65,10,4,0,14
109555,2019,2018-19,1610612743,Denver Nuggets,1628399,Tyler Lydon,F,PF,01-10-2019,21800618,DEN,LAC,Made Shot,True,Step Back Jump shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.2,5.25,22,4,0,27
109556,2019,2018-19,1610612746,LA Clippers,1628405,Johnathan Motley,F,PF,01-10-2019,21800618,DEN,LAC,Missed Shot,False,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-1.6,14.15,9,4,0,41
109562,2019,2018-19,1610612743,Denver Nuggets,1629164,Brandon Goodwin,G,PG,01-10-2019,21800618,DEN,LAC,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-4.3,6.65,4,4,0,48
109563,2019,2018-19,1610612746,LA Clippers,1628405,Johnathan Motley,F,PF,01-10-2019,21800618,DEN,LAC,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.1,6.45,1,4,1,4
109565,2019,2018-19,1610612746,LA Clippers,1627820,Tyrone Wallace,G,PG,01-10-2019,21800618,DEN,LAC,Missed Shot,False,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.9,7.05,2,4,1,4
109567,2019,2018-19,1610612743,Denver Nuggets,1626168,Trey Lyles,F,PF,01-10-2019,21800618,DEN,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-10.9,27.25,24,4,1,14
109569,2019,2018-19,1610612746,LA Clippers,1628405,Johnathan Motley,F,PF,01-10-2019,21800618,DEN,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-4.7,29.15,24,4,1,27
109574,2019,2018-19,1610612743,Denver Nuggets,1626168,Trey Lyles,F,PF,01-10-2019,21800618,DEN,LAC,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,6.7,8.15,7,4,1,44
109578,2019,2018-19,1610612743,Denver Nuggets,1629164,Brandon Goodwin,G,PG,01-10-2019,21800618,DEN,LAC,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-5.2,15.35,11,4,2,9
109579,2019,2018-19,1610612746,LA Clippers,1628983,Shai Gilgeous-Alexander,G,PG,01-10-2019,21800618,DEN,LAC,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-13.4,18.85,19,4,2,19
109581,2019,2018-19,1610612743,Denver Nuggets,1627823,Juancho Hernangomez,F,PF,01-10-2019,21800618,DEN,LAC,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,8.5,20.85,17,4,2,43
109589,2019,2018-19,1610612743,Denver Nuggets,1628470,Torrey Craig,F,SF,01-10-2019,21800618,DEN,LAC,Made Shot,True,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.9,5.25,1,4,3,20
109592,2019,2018-19,1610612746,LA Clippers,1627820,Tyrone Wallace,G,PG,01-10-2019,21800618,DEN,LAC,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.6,5.85,1,4,3,32
109593,2019,2018-19,1610612743,Denver Nuggets,1627750,Jamal Murray,G,PG,01-10-2019,21800618,DEN,LAC,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-12.0,19.55,18,4,3,40
109596,2019,2018-19,1610612746,LA Clippers,1628405,Johnathan Motley,F,PF,01-10-2019,21800618,DEN,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.9,8.45,23,4,4,4
109603,2019,2018-19,1610612743,Denver Nuggets,203999,Nikola Jokic,C,C,01-10-2019,21800618,DEN,LAC,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.8,8.25,3,4,4,21
109608,2019,2018-19,1610612743,Denver Nuggets,1627823,Juancho Hernangomez,F,PF,01-10-2019,21800618,DEN,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.6,6.85,22,4,4,24
109611,2019,2018-19,1610612746,LA Clippers,1628983,Shai Gilgeous-Alexander,G,PG,01-10-2019,21800618,DEN,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-6.3,29.45,25,4,4,49
109613,2019,2018-19,1610612743,Denver Nuggets,1626168,Trey Lyles,F,PF,01-10-2019,21800618,DEN,LAC,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.2,5.55,1,4,5,3
109616,2019,2018-19,1610612746,LA Clippers,202699,Tobias Harris,F,PF,01-10-2019,21800618,DEN,LAC,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-13.5,10.15,14,4,5,11
109619,2019,2018-19,1610612743,Denver Nuggets,1627750,Jamal Murray,G,PG,01-10-2019,21800618,DEN,LAC,Made Shot,True,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,4.65,0,4,5,20
109622,2019,2018-19,1610612743,Denver Nuggets,1627750,Jamal Murray,G,PG,01-10-2019,21800618,DEN,LAC,Missed Shot,False,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.1,6.15,2,4,5,23
109624,2019,2018-19,1610612746,LA Clippers,202699,Tobias Harris,F,PF,01-10-2019,21800618,DEN,LAC,Made Shot,True,Driving Floating Bank Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,10.1,11.15,11,4,5,43
109631,2019,2018-19,1610612746,LA Clippers,1626149,Montrezl Harrell,C,C,01-10-2019,21800618,DEN,LAC,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.1,6.45,1,4,6,13
109634,2019,2018-19,1610612743,Denver Nuggets,203999,Nikola Jokic,C,C,01-10-2019,21800618,DEN,LAC,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,4.65,0,4,6,29
109639,2019,2018-19,1610612746,LA Clippers,201568,Danilo Gallinari,F,SF,01-10-2019,21800618,DEN,LAC,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-11.2,26.95,24,4,6,43
109641,2019,2018-19,1610612743,Denver Nuggets,203999,Nikola Jokic,C,C,01-10-2019,21800618,DEN,LAC,Missed Shot,False,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.9,6.65,1,4,6,49
109645,2019,2018-19,1610612746,LA Clippers,201568,Danilo Gallinari,F,SF,01-10-2019,21800618,DEN,LAC,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,4.3,20.55,15,4,7,10
109649,2019,2018-19,1610612746,LA Clippers,101150,Lou Williams,G,SG,01-10-2019,21800618,DEN,LAC,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,8.2,7.75,8,4,9,38
109653,2019,2018-19,1610612743,Denver Nuggets,1628420,Monte Morris,G,PG,01-10-2019,21800618,DEN,LAC,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.8,8.35,23,4,7,25
109655,2019,2018-19,1610612746,LA Clippers,202699,Tobias Harris,F,PF,01-10-2019,21800618,DEN,LAC,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.8,8.45,3,4,7,32
109658,2019,2018-19,1610612743,Denver Nuggets,1626168,Trey Lyles,F,PF,01-10-2019,21800618,DEN,LAC,Missed Shot,False,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.2,10.35,5,4,7,41
