,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
104120,2019,2018-19,1610612746,LA Clippers,101150,Lou Williams,G,SG,01-14-2019,21800650,LAC,NOP,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-12.2,36.35,33,4,0,2
104121,2019,2018-19,1610612746,LA Clippers,101150,Lou Williams,G,SG,01-14-2019,21800650,LAC,NOP,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.0,6.95,1,4,0,7
104122,2019,2018-19,1610612746,LA Clippers,101150,Lou Williams,G,SG,01-14-2019,21800650,LAC,NOP,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,8.15,2,4,0,26
104123,2019,2018-19,1610612740,New Orleans Pelicans,203076,Anthony Davis,C,C,01-14-2019,21800650,LAC,NOP,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,15.0,11.05,16,4,0,38
104124,2019,2018-19,1610612740,New Orleans Pelicans,201950,Jrue Holiday,G,SG,01-14-2019,21800650,LAC,NOP,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.6,10.75,5,4,0,47
104125,2019,2018-19,1610612746,LA Clippers,101150,Lou Williams,G,SG,01-14-2019,21800650,LAC,NOP,Made Shot,True,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.1,6.55,1,4,0,59
104126,2019,2018-19,1610612740,New Orleans Pelicans,203944,Julius Randle,F,PF,01-14-2019,21800650,LAC,NOP,Missed Shot,False,Driving Hook Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.8,5.65,1,4,1,13
104127,2019,2018-19,1610612746,LA Clippers,101150,Lou Williams,G,SG,01-14-2019,21800650,LAC,NOP,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-10.9,23.15,20,4,1,37
104129,2019,2018-19,1610612740,New Orleans Pelicans,203076,Anthony Davis,C,C,01-14-2019,21800650,LAC,NOP,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-1.2,22.95,17,4,1,51
104130,2019,2018-19,1610612746,LA Clippers,202699,Tobias Harris,F,PF,01-14-2019,21800650,LAC,NOP,Missed Shot,False,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.4,7.85,2,4,2,3
104131,2019,2018-19,1610612740,New Orleans Pelicans,203076,Anthony Davis,C,C,01-14-2019,21800650,LAC,NOP,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,6.4,23.55,19,4,2,22
104132,2019,2018-19,1610612740,New Orleans Pelicans,201950,Jrue Holiday,G,SG,01-14-2019,21800650,LAC,NOP,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-2.2,15.55,10,4,2,36
104134,2019,2018-19,1610612746,LA Clippers,101150,Lou Williams,G,SG,01-14-2019,21800650,LAC,NOP,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,0.9,21.25,16,4,2,53
104136,2019,2018-19,1610612740,New Orleans Pelicans,203944,Julius Randle,F,PF,01-14-2019,21800650,LAC,NOP,Missed Shot,False,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-3.9,13.45,9,4,3,0
104137,2019,2018-19,1610612740,New Orleans Pelicans,203944,Julius Randle,F,PF,01-14-2019,21800650,LAC,NOP,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.7,7.45,22,4,3,16
104139,2019,2018-19,1610612746,LA Clippers,201568,Danilo Gallinari,F,SF,01-14-2019,21800650,LAC,NOP,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-13.0,28.75,26,4,4,12
104148,2019,2018-19,1610612746,LA Clippers,202699,Tobias Harris,F,PF,01-14-2019,21800650,LAC,NOP,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-17.3,25.45,26,4,4,42
104149,2019,2018-19,1610612740,New Orleans Pelicans,201950,Jrue Holiday,G,SG,01-14-2019,21800650,LAC,NOP,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-9.6,29.75,26,4,4,54
104150,2019,2018-19,1610612746,LA Clippers,1626149,Montrezl Harrell,C,C,01-14-2019,21800650,LAC,NOP,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.5,7.45,2,4,5,10
104152,2019,2018-19,1610612740,New Orleans Pelicans,203076,Anthony Davis,C,C,01-14-2019,21800650,LAC,NOP,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-9.4,29.45,25,4,5,34
104153,2019,2018-19,1610612746,LA Clippers,1626149,Montrezl Harrell,C,C,01-14-2019,21800650,LAC,NOP,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.0,7.85,2,4,5,36
104154,2019,2018-19,1610612740,New Orleans Pelicans,203076,Anthony Davis,C,C,01-14-2019,21800650,LAC,NOP,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-12.0,28.35,26,4,5,48
104157,2019,2018-19,1610612746,LA Clippers,202699,Tobias Harris,F,PF,01-14-2019,21800650,LAC,NOP,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-13.4,10.95,14,4,6,7
104158,2019,2018-19,1610612740,New Orleans Pelicans,201950,Jrue Holiday,G,SG,01-14-2019,21800650,LAC,NOP,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.3,6.95,1,4,6,21
104165,2019,2018-19,1610612740,New Orleans Pelicans,203076,Anthony Davis,C,C,01-14-2019,21800650,LAC,NOP,Made Shot,True,Jump Bank Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.9,8.45,3,4,6,41
104166,2019,2018-19,1610612746,LA Clippers,1626149,Montrezl Harrell,C,C,01-14-2019,21800650,LAC,NOP,Missed Shot,False,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,4.65,0,4,6,45
104170,2019,2018-19,1610612746,LA Clippers,1626149,Montrezl Harrell,C,C,01-14-2019,21800650,LAC,NOP,Missed Shot,False,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.9,7.05,2,4,6,49
104172,2019,2018-19,1610612740,New Orleans Pelicans,203121,Darius Miller,F,SF,01-14-2019,21800650,LAC,NOP,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-18.1,21.95,24,4,7,8
104173,2019,2018-19,1610612746,LA Clippers,202340,Avery Bradley,G,SG,01-14-2019,21800650,LAC,NOP,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.3,8.65,23,4,7,24
104176,2019,2018-19,1610612740,New Orleans Pelicans,203076,Anthony Davis,C,C,01-14-2019,21800650,LAC,NOP,Missed Shot,False,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-3.8,7.45,4,4,7,37
104184,2019,2018-19,1610612746,LA Clippers,201568,Danilo Gallinari,F,SF,01-14-2019,21800650,LAC,NOP,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,13.6,26.75,25,4,7,47
104192,2019,2018-19,1610612740,New Orleans Pelicans,203076,Anthony Davis,C,C,01-14-2019,21800650,LAC,NOP,Made Shot,True,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-4.5,10.95,7,4,8,12
104195,2019,2018-19,1610612746,LA Clippers,202340,Avery Bradley,G,SG,01-14-2019,21800650,LAC,NOP,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-13.1,28.25,26,4,8,29
104198,2019,2018-19,1610612740,New Orleans Pelicans,201950,Jrue Holiday,G,SG,01-14-2019,21800650,LAC,NOP,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,2.4,13.05,8,4,8,50
104204,2019,2018-19,1610612740,New Orleans Pelicans,203944,Julius Randle,F,PF,01-14-2019,21800650,LAC,NOP,Missed Shot,False,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,4.65,0,4,9,1
104206,2019,2018-19,1610612740,New Orleans Pelicans,201950,Jrue Holiday,G,SG,01-14-2019,21800650,LAC,NOP,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.1,6.95,2,4,9,4
104213,2019,2018-19,1610612740,New Orleans Pelicans,203076,Anthony Davis,C,C,01-14-2019,21800650,LAC,NOP,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,11.7,19.35,18,4,9,33
104223,2019,2018-19,1610612740,New Orleans Pelicans,203944,Julius Randle,F,PF,01-14-2019,21800650,LAC,NOP,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.4,6.35,1,4,9,57
104226,2019,2018-19,1610612746,LA Clippers,101150,Lou Williams,G,SG,01-14-2019,21800650,LAC,NOP,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,19.7,26.45,28,4,10,11
104229,2019,2018-19,1610612746,LA Clippers,1627820,Tyrone Wallace,G,PG,01-14-2019,21800650,LAC,NOP,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,4.6,12.05,8,4,10,17
104235,2019,2018-19,1610612746,LA Clippers,101150,Lou Williams,G,SG,01-14-2019,21800650,LAC,NOP,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.5,5.45,1,4,10,39
104236,2019,2018-19,1610612740,New Orleans Pelicans,201950,Jrue Holiday,G,SG,01-14-2019,21800650,LAC,NOP,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-11.2,18.15,17,4,11,1
104237,2019,2018-19,1610612746,LA Clippers,1627820,Tyrone Wallace,G,PG,01-14-2019,21800650,LAC,NOP,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.4,7.45,2,4,11,10
104241,2019,2018-19,1610612746,LA Clippers,201976,Patrick Beverley,G,PG,01-14-2019,21800650,LAC,NOP,Missed Shot,False,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.7,6.75,1,4,11,16
104252,2019,2018-19,1610612746,LA Clippers,1626149,Montrezl Harrell,C,C,01-14-2019,21800650,LAC,NOP,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.3,7.95,2,4,11,35
104256,2019,2018-19,1610612740,New Orleans Pelicans,201950,Jrue Holiday,G,SG,01-14-2019,21800650,LAC,NOP,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,3.8,10.35,6,4,11,47
104273,2019,2018-19,1610612740,New Orleans Pelicans,203076,Anthony Davis,C,C,01-14-2019,21800650,LAC,NOP,Missed Shot,False,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-17.5,24.05,25,3,0,2
104276,2019,2018-19,1610612746,LA Clippers,1627820,Tyrone Wallace,G,PG,01-14-2019,21800650,LAC,NOP,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,22.8,14.85,24,3,0,9
