,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
141103,2019,2018-19,1610612747,Los Angeles Lakers,202362,Lance Stephenson,G,SG,12-16-2018,21800439,WAS,LAL,Missed Shot,False,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,17.4,17.05,21,4,0,0
141105,2019,2018-19,1610612764,Washington Wizards,1628972,Troy Brown Jr.,F,SF,12-16-2018,21800439,WAS,LAL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,10.9,31.55,28,4,0,23
141110,2019,2018-19,1610612747,Los Angeles Lakers,202362,Lance Stephenson,G,SG,12-16-2018,21800439,WAS,LAL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,17.1,30.55,30,4,0,46
141113,2019,2018-19,1610612764,Washington Wizards,1628418,Thomas Bryant,C,C,12-16-2018,21800439,WAS,LAL,Made Shot,True,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.9,7.45,2,4,0,56
141117,2019,2018-19,1610612764,Washington Wizards,1628972,Troy Brown Jr.,F,SF,12-16-2018,21800439,WAS,LAL,Missed Shot,False,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.3,8.15,3,4,0,57
141129,2019,2018-19,1610612764,Washington Wizards,203895,Jordan McRae,G,SG,12-16-2018,21800439,WAS,LAL,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,9.1,7.35,9,4,1,23
141132,2019,2018-19,1610612747,Los Angeles Lakers,1627826,Ivica Zubac,C,C,12-16-2018,21800439,WAS,LAL,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,6.85,1,4,1,37
141136,2019,2018-19,1610612764,Washington Wizards,203107,Tomas Satoransky,G,PG,12-16-2018,21800439,WAS,LAL,Missed Shot,False,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.3,7.95,2,4,1,42
141143,2019,2018-19,1610612764,Washington Wizards,1627855,Okaro White,F,PF,12-16-2018,21800439,WAS,LAL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-21.2,19.55,25,4,1,59
141162,2019,2018-19,1610612764,Washington Wizards,202322,John Wall,G,PG,12-16-2018,21800439,WAS,LAL,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-3.9,31.45,26,4,2,32
141166,2019,2018-19,1610612747,Los Angeles Lakers,1629067,Isaac Bonga,G,PG,12-16-2018,21800439,WAS,LAL,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.8,6.55,2,4,2,54
141168,2019,2018-19,1610612764,Washington Wizards,201145,Jeff Green,F,PF,12-16-2018,21800439,WAS,LAL,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.3,6.55,23,4,3,7
141175,2019,2018-19,1610612747,Los Angeles Lakers,202362,Lance Stephenson,G,SG,12-16-2018,21800439,WAS,LAL,Made Shot,True,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,9.8,29.05,25,4,3,34
141177,2019,2018-19,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,12-16-2018,21800439,WAS,LAL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,3.5,31.55,26,4,3,45
141190,2019,2018-19,1610612747,Los Angeles Lakers,1628366,Lonzo Ball,G,PG,12-16-2018,21800439,WAS,LAL,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.2,6.75,23,4,3,55
141195,2019,2018-19,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,12-16-2018,21800439,WAS,LAL,Made Shot,True,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,14.1,26.85,25,4,4,19
141197,2019,2018-19,1610612747,Los Angeles Lakers,1628398,Kyle Kuzma,F,PF,12-16-2018,21800439,WAS,LAL,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.5,5.95,0,4,4,33
141198,2019,2018-19,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,12-16-2018,21800439,WAS,LAL,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.4,6.65,1,4,4,40
141199,2019,2018-19,1610612747,Los Angeles Lakers,1628398,Kyle Kuzma,F,PF,12-16-2018,21800439,WAS,LAL,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.3,6.35,1,4,4,54
141201,2019,2018-19,1610612747,Los Angeles Lakers,1629004,Svi Mykhailiuk,F,SF,12-16-2018,21800439,WAS,LAL,Missed Shot,False,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.8,7.35,2,4,4,56
141206,2019,2018-19,1610612747,Los Angeles Lakers,1627826,Ivica Zubac,C,C,12-16-2018,21800439,WAS,LAL,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,6.85,1,4,5,27
141212,2019,2018-19,1610612764,Washington Wizards,202322,John Wall,G,PG,12-16-2018,21800439,WAS,LAL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,9.2,31.35,27,4,5,33
141221,2019,2018-19,1610612764,Washington Wizards,1628418,Thomas Bryant,C,C,12-16-2018,21800439,WAS,LAL,Missed Shot,False,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.4,7.85,2,4,5,53
141226,2019,2018-19,1610612747,Los Angeles Lakers,1628398,Kyle Kuzma,F,PF,12-16-2018,21800439,WAS,LAL,Made Shot,True,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,6.55,1,4,6,16
141244,2019,2018-19,1610612764,Washington Wizards,1626155,Sam Dekker,F,PF,12-16-2018,21800439,WAS,LAL,Made Shot,True,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,4.65,0,4,6,45
141248,2019,2018-19,1610612764,Washington Wizards,1626155,Sam Dekker,F,PF,12-16-2018,21800439,WAS,LAL,Missed Shot,False,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,7.95,2,4,6,47
141254,2019,2018-19,1610612747,Los Angeles Lakers,1628398,Kyle Kuzma,F,PF,12-16-2018,21800439,WAS,LAL,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.0,8.45,23,4,7,7
141256,2019,2018-19,1610612764,Washington Wizards,1626155,Sam Dekker,F,PF,12-16-2018,21800439,WAS,LAL,Made Shot,True,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.5,6.75,1,4,7,22
141262,2019,2018-19,1610612747,Los Angeles Lakers,203484,Kentavious Caldwell-Pope,G,SG,12-16-2018,21800439,WAS,LAL,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,6.1,17.05,13,4,7,41
141271,2019,2018-19,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,12-16-2018,21800439,WAS,LAL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,5.5,31.05,26,4,7,54
141279,2019,2018-19,1610612747,Los Angeles Lakers,1629021,Moritz Wagner,C,C,12-16-2018,21800439,WAS,LAL,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.8,6.25,2,4,8,3
141282,2019,2018-19,1610612764,Washington Wizards,1626155,Sam Dekker,F,PF,12-16-2018,21800439,WAS,LAL,Made Shot,True,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.0,6.05,1,4,8,17
141289,2019,2018-19,1610612747,Los Angeles Lakers,1629021,Moritz Wagner,C,C,12-16-2018,21800439,WAS,LAL,Made Shot,True,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,5.1,8.95,6,4,8,35
141291,2019,2018-19,1610612747,Los Angeles Lakers,203484,Kentavious Caldwell-Pope,G,SG,12-16-2018,21800439,WAS,LAL,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.2,8.55,23,4,8,56
