,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
26151,2019,2018-19,1610612748,Miami Heat,203079,Dion Waiters,G,SG,03-22-2019,21801085,MIL,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.0,11.35,23,4,0,27
26153,2019,2018-19,1610612749,Milwaukee Bucks,101141,Ersan Ilyasova,F,PF,03-22-2019,21801085,MIL,MIA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-10.2,28.55,25,4,0,39
26155,2019,2018-19,1610612748,Miami Heat,1627884,Derrick Jones Jr.,F,SF,03-22-2019,21801085,MIL,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.2,13.25,23,4,0,55
26156,2019,2018-19,1610612749,Milwaukee Bucks,204025,Tim Frazier,G,PG,03-22-2019,21801085,MIL,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,24.2,9.55,24,4,1,7
26161,2019,2018-19,1610612749,Milwaukee Bucks,1628391,D.J. Wilson,F,PF,03-22-2019,21801085,MIL,MIA,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.6,6.35,23,4,1,28
26163,2019,2018-19,1610612749,Milwaukee Bucks,1628425,Sterling Brown,G,SG,03-22-2019,21801085,MIL,MIA,Missed Shot,False,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.0,9.55,4,4,1,31
26164,2019,2018-19,1610612748,Miami Heat,201583,Ryan Anderson,F,PF,03-22-2019,21801085,MIL,MIA,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-7.9,25.05,21,4,1,38
26165,2019,2018-19,1610612749,Milwaukee Bucks,1628391,D.J. Wilson,F,PF,03-22-2019,21801085,MIL,MIA,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.8,5.65,1,4,1,50
26167,2019,2018-19,1610612748,Miami Heat,1629130,Duncan Robinson,F,SF,03-22-2019,21801085,MIL,MIA,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,6.15,0,4,2,13
26169,2019,2018-19,1610612749,Milwaukee Bucks,204025,Tim Frazier,G,PG,03-22-2019,21801085,MIL,MIA,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.4,7.45,2,4,2,26
