,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
133517,2019,2018-19,1610612749,Milwaukee Bucks,201572,Brook Lopez,C,C,12-22-2018,21800482,MIA,MIL,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.6,7.25,2,4,8,21
133533,2019,2018-19,1610612749,Milwaukee Bucks,203507,Giannis Antetokounmpo,F,PF,12-22-2018,21800482,MIA,MIL,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.4,5.75,1,4,0,19
133543,2019,2018-19,1610612749,Milwaukee Bucks,202339,Eric Bledsoe,G,PG,12-22-2018,21800482,MIA,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.8,5.15,22,4,0,28
133546,2019,2018-19,1610612748,Miami Heat,1626196,Josh Richardson,G,SG,12-22-2018,21800482,MIA,MIL,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.6,5.75,0,4,0,35
133550,2019,2018-19,1610612749,Milwaukee Bucks,203114,Khris Middleton,F,SF,12-22-2018,21800482,MIA,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,19.1,21.55,25,4,0,38
133552,2019,2018-19,1610612748,Miami Heat,2548,Dwyane Wade,G,SG,12-22-2018,21800482,MIA,MIL,Made Shot,True,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.3,18.45,13,4,0,46
133554,2019,2018-19,1610612749,Milwaukee Bucks,203114,Khris Middleton,F,SF,12-22-2018,21800482,MIA,MIL,Made Shot,True,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-1.6,13.65,8,4,1,0
133559,2019,2018-19,1610612748,Miami Heat,1626196,Josh Richardson,G,SG,12-22-2018,21800482,MIA,MIL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-12.5,22.15,21,4,1,10
133563,2019,2018-19,1610612749,Milwaukee Bucks,1628391,D.J. Wilson,F,PF,12-22-2018,21800482,MIA,MIL,Missed Shot,False,Jump Bank Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.5,8.35,3,4,1,30
133566,2019,2018-19,1610612749,Milwaukee Bucks,203114,Khris Middleton,F,SF,12-22-2018,21800482,MIA,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-19.9,21.05,25,4,1,34
133568,2019,2018-19,1610612748,Miami Heat,2548,Dwyane Wade,G,SG,12-22-2018,21800482,MIA,MIL,Made Shot,True,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.2,18.45,13,4,1,57
133570,2019,2018-19,1610612749,Milwaukee Bucks,203503,Tony Snell,F,SF,12-22-2018,21800482,MIA,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.1,9.55,23,4,2,10
133581,2019,2018-19,1610612749,Milwaukee Bucks,203503,Tony Snell,F,SF,12-22-2018,21800482,MIA,MIL,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.1,11.65,23,4,2,42
133588,2019,2018-19,1610612748,Miami Heat,202355,Hassan Whiteside,C,C,12-22-2018,21800482,MIA,MIL,Missed Shot,False,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-1.7,10.35,5,4,2,51
133594,2019,2018-19,1610612748,Miami Heat,1626159,Justise Winslow,F,SF,12-22-2018,21800482,MIA,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.5,30.75,25,4,3,5
133599,2019,2018-19,1610612749,Milwaukee Bucks,1628391,D.J. Wilson,F,PF,12-22-2018,21800482,MIA,MIL,Made Shot,True,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,9.2,11.95,11,4,3,19
133607,2019,2018-19,1610612748,Miami Heat,202355,Hassan Whiteside,C,C,12-22-2018,21800482,MIA,MIL,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,6.25,1,4,3,37
133612,2019,2018-19,1610612749,Milwaukee Bucks,203114,Khris Middleton,F,SF,12-22-2018,21800482,MIA,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-21.1,18.35,24,4,3,50
133634,2019,2018-19,1610612749,Milwaukee Bucks,202339,Eric Bledsoe,G,PG,12-22-2018,21800482,MIA,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.8,8.15,22,4,4,27
133639,2019,2018-19,1610612748,Miami Heat,1626159,Justise Winslow,F,SF,12-22-2018,21800482,MIA,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-21.7,18.35,25,4,4,32
133658,2019,2018-19,1610612749,Milwaukee Bucks,203114,Khris Middleton,F,SF,12-22-2018,21800482,MIA,MIL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-7.6,29.45,25,4,4,55
133661,2019,2018-19,1610612748,Miami Heat,202355,Hassan Whiteside,C,C,12-22-2018,21800482,MIA,MIL,Made Shot,True,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,4.65,0,4,5,13
133666,2019,2018-19,1610612748,Miami Heat,203585,Rodney McGruder,G,SG,12-22-2018,21800482,MIA,MIL,Missed Shot,False,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-2.0,11.85,6,4,5,19
133683,2019,2018-19,1610612749,Milwaukee Bucks,1628391,D.J. Wilson,F,PF,12-22-2018,21800482,MIA,MIL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-4.8,30.15,25,4,5,56
133688,2019,2018-19,1610612748,Miami Heat,203482,Kelly Olynyk,F,PF,12-22-2018,21800482,MIA,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-16.4,24.45,25,4,6,6
133698,2019,2018-19,1610612749,Milwaukee Bucks,202339,Eric Bledsoe,G,PG,12-22-2018,21800482,MIA,MIL,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,6.05,1,4,6,27
133702,2019,2018-19,1610612748,Miami Heat,204020,Tyler Johnson,G,PG,12-22-2018,21800482,MIA,MIL,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,1.6,15.65,10,4,6,30
133720,2019,2018-19,1610612749,Milwaukee Bucks,203114,Khris Middleton,F,SF,12-22-2018,21800482,MIA,MIL,Made Shot,True,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,16.0,25.85,26,4,7,10
133725,2019,2018-19,1610612748,Miami Heat,203482,Kelly Olynyk,F,PF,12-22-2018,21800482,MIA,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,16.6,27.15,27,4,7,22
133729,2019,2018-19,1610612748,Miami Heat,1626196,Josh Richardson,G,SG,12-22-2018,21800482,MIA,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-19.0,22.95,25,4,7,29
133735,2019,2018-19,1610612749,Milwaukee Bucks,203507,Giannis Antetokounmpo,F,PF,12-22-2018,21800482,MIA,MIL,Missed Shot,False,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.6,6.85,1,4,7,35
