,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
96930,2019,2018-19,1610612750,Minnesota Timberwolves,201565,Derrick Rose,G,PG,01-20-2019,21800689,MIN,PHX,Made Shot,True,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-11.3,22.05,20,4,0,0
96931,2019,2018-19,1610612750,Minnesota Timberwolves,201959,Taj Gibson,F,PF,01-20-2019,21800689,MIN,PHX,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.1,7.05,1,4,0,52
96932,2019,2018-19,1610612756,Phoenix Suns,1627733,Dragan Bender,F,PF,01-20-2019,21800689,MIN,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,8.6,29.55,25,4,1,11
96933,2019,2018-19,1610612750,Minnesota Timberwolves,201565,Derrick Rose,G,PG,01-20-2019,21800689,MIN,PHX,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.9,6.35,2,4,1,29
96934,2019,2018-19,1610612756,Phoenix Suns,2037,Jamal Crawford,G,SG,01-20-2019,21800689,MIN,PHX,Made Shot,True,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.9,12.35,7,4,1,45
96935,2019,2018-19,1610612756,Phoenix Suns,2037,Jamal Crawford,G,SG,01-20-2019,21800689,MIN,PHX,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,-2.2,20.45,15,4,1,50
96936,2019,2018-19,1610612750,Minnesota Timberwolves,201573,Jerryd Bayless,G,PG,01-20-2019,21800689,MIN,PHX,Missed Shot,False,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-9.0,14.85,13,4,2,14
96937,2019,2018-19,1610612756,Phoenix Suns,1628367,Josh Jackson,G,SG,01-20-2019,21800689,MIN,PHX,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-2.5,10.55,5,4,2,31
96938,2019,2018-19,1610612750,Minnesota Timberwolves,201565,Derrick Rose,G,PG,01-20-2019,21800689,MIN,PHX,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-10.6,19.55,17,4,2,44
96939,2019,2018-19,1610612750,Minnesota Timberwolves,1626157,Karl-Anthony Towns,C,C,01-20-2019,21800689,MIN,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,1.2,31.15,25,4,2,57
96940,2019,2018-19,1610612756,Phoenix Suns,1628367,Josh Jackson,G,SG,01-20-2019,21800689,MIN,PHX,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,12.2,12.45,14,4,3,7
96941,2019,2018-19,1610612750,Minnesota Timberwolves,201565,Derrick Rose,G,PG,01-20-2019,21800689,MIN,PHX,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.5,5.95,0,4,3,25
96943,2019,2018-19,1610612750,Minnesota Timberwolves,1626157,Karl-Anthony Towns,C,C,01-20-2019,21800689,MIN,PHX,Missed Shot,False,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-6.4,5.75,6,4,4,0
96944,2019,2018-19,1610612756,Phoenix Suns,1627733,Dragan Bender,F,PF,01-20-2019,21800689,MIN,PHX,Made Shot,True,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,4.65,0,4,4,18
96945,2019,2018-19,1610612756,Phoenix Suns,203933,T.J. Warren,F,SF,01-20-2019,21800689,MIN,PHX,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-7.1,7.15,7,4,4,19
96946,2019,2018-19,1610612756,Phoenix Suns,2037,Jamal Crawford,G,SG,01-20-2019,21800689,MIN,PHX,Made Shot,True,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-1.4,13.05,7,4,4,53
96948,2019,2018-19,1610612750,Minnesota Timberwolves,1626157,Karl-Anthony Towns,C,C,01-20-2019,21800689,MIN,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,11.2,28.45,25,4,5,14
96949,2019,2018-19,1610612750,Minnesota Timberwolves,201229,Anthony Tolliver,F,PF,01-20-2019,21800689,MIN,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,3.8,31.55,26,4,5,22
96951,2019,2018-19,1610612750,Minnesota Timberwolves,201565,Derrick Rose,G,PG,01-20-2019,21800689,MIN,PHX,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.3,8.55,3,4,5,26
96952,2019,2018-19,1610612750,Minnesota Timberwolves,201573,Jerryd Bayless,G,PG,01-20-2019,21800689,MIN,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-22.2,15.65,24,4,5,37
96956,2019,2018-19,1610612756,Phoenix Suns,1627733,Dragan Bender,F,PF,01-20-2019,21800689,MIN,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-6.1,30.25,25,4,5,59
96957,2019,2018-19,1610612750,Minnesota Timberwolves,1626157,Karl-Anthony Towns,C,C,01-20-2019,21800689,MIN,PHX,Missed Shot,False,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,3.0,11.55,6,4,6,10
96960,2019,2018-19,1610612756,Phoenix Suns,203933,T.J. Warren,F,SF,01-20-2019,21800689,MIN,PHX,Missed Shot,False,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,6.5,6.65,6,4,6,35
96962,2019,2018-19,1610612750,Minnesota Timberwolves,201565,Derrick Rose,G,PG,01-20-2019,21800689,MIN,PHX,Missed Shot,False,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,6.5,14.25,11,4,6,51
96966,2019,2018-19,1610612756,Phoenix Suns,1626164,Devin Booker,G,SG,01-20-2019,21800689,MIN,PHX,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.2,9.45,4,4,7,16
96968,2019,2018-19,1610612750,Minnesota Timberwolves,201573,Jerryd Bayless,G,PG,01-20-2019,21800689,MIN,PHX,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,9.5,29.95,26,4,7,35
96970,2019,2018-19,1610612756,Phoenix Suns,1626164,Devin Booker,G,SG,01-20-2019,21800689,MIN,PHX,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,20.3,14.45,22,4,7,53
