,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
79454,2019,2018-19,1610612752,New York Knicks,1628443,Kadeem Allen,G,PG,02-03-2019,21800787,NYK,MEM,Missed Shot,False,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.1,5.95,2,1,1,33
79457,2019,2018-19,1610612763,Memphis Grizzlies,203200,Justin Holiday,G,SG,02-03-2019,21800787,NYK,MEM,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.4,5.95,0,4,0,14
79461,2019,2018-19,1610612763,Memphis Grizzlies,202714,Shelvin Mack,G,PG,02-03-2019,21800787,NYK,MEM,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.5,6.95,3,4,0,16
79466,2019,2018-19,1610612763,Memphis Grizzlies,201144,Mike Conley,G,PG,02-03-2019,21800787,NYK,MEM,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,8.3,8.55,8,4,1,10
79470,2019,2018-19,1610612752,New York Knicks,1628995,Kevin Knox II,F,PF,02-03-2019,21800787,NYK,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.3,3.55,22,4,1,35
79471,2019,2018-19,1610612763,Memphis Grizzlies,201188,Marc Gasol,C,C,02-03-2019,21800787,NYK,MEM,Made Shot,True,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,11.5,11.15,12,4,1,35
79474,2019,2018-19,1610612752,New York Knicks,201599,DeAndre Jordan,C,C,02-03-2019,21800787,NYK,MEM,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.3,6.15,0,4,1,52
79478,2019,2018-19,1610612752,New York Knicks,1628995,Kevin Knox II,F,PF,02-03-2019,21800787,NYK,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,16.1,25.75,26,4,2,1
79480,2019,2018-19,1610612752,New York Knicks,1628372,Dennis Smith Jr.,G,PG,02-03-2019,21800787,NYK,MEM,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.6,7.95,2,4,2,7
79482,2019,2018-19,1610612763,Memphis Grizzlies,202714,Shelvin Mack,G,PG,02-03-2019,21800787,NYK,MEM,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.7,6.25,1,4,2,15
79484,2019,2018-19,1610612752,New York Knicks,1626209,Mario Hezonja,F,SF,02-03-2019,21800787,NYK,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,11.9,27.75,25,4,2,36
79486,2019,2018-19,1610612763,Memphis Grizzlies,201188,Marc Gasol,C,C,02-03-2019,21800787,NYK,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,18.5,23.75,26,4,2,55
79488,2019,2018-19,1610612752,New York Knicks,202083,Wesley Matthews,F,SF-SG,02-03-2019,21800787,NYK,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-11.5,28.95,26,4,3,13
79489,2019,2018-19,1610612763,Memphis Grizzlies,201188,Marc Gasol,C,C,02-03-2019,21800787,NYK,MEM,Made Shot,True,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-8.5,19.05,16,4,3,22
79491,2019,2018-19,1610612752,New York Knicks,202083,Wesley Matthews,F,SF-SG,02-03-2019,21800787,NYK,MEM,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-9.3,29.55,26,4,3,50
79493,2019,2018-19,1610612763,Memphis Grizzlies,201188,Marc Gasol,C,C,02-03-2019,21800787,NYK,MEM,Made Shot,True,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-4.6,14.85,10,4,4,4
79495,2019,2018-19,1610612752,New York Knicks,1628372,Dennis Smith Jr.,G,PG,02-03-2019,21800787,NYK,MEM,Missed Shot,False,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,6.35,1,4,4,27
79497,2019,2018-19,1610612763,Memphis Grizzlies,201144,Mike Conley,G,PG,02-03-2019,21800787,NYK,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-13.1,32.05,29,4,4,39
79498,2019,2018-19,1610612752,New York Knicks,1626209,Mario Hezonja,F,SF,02-03-2019,21800787,NYK,MEM,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.5,5.15,0,4,5,1
79500,2019,2018-19,1610612763,Memphis Grizzlies,203200,Justin Holiday,G,SG,02-03-2019,21800787,NYK,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.9,5.75,22,4,5,10
79502,2019,2018-19,1610612763,Memphis Grizzlies,201144,Mike Conley,G,PG,02-03-2019,21800787,NYK,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-20.1,21.45,25,4,5,16
79504,2019,2018-19,1610612752,New York Knicks,1628995,Kevin Knox II,F,PF,02-03-2019,21800787,NYK,MEM,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.6,6.35,1,4,5,44
79506,2019,2018-19,1610612763,Memphis Grizzlies,203200,Justin Holiday,G,SG,02-03-2019,21800787,NYK,MEM,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,9.4,24.75,21,4,6,1
79509,2019,2018-19,1610612763,Memphis Grizzlies,201144,Mike Conley,G,PG,02-03-2019,21800787,NYK,MEM,Made Shot,True,Floating Jump shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,-2.2,20.35,15,4,6,38
79510,2019,2018-19,1610612752,New York Knicks,1628995,Kevin Knox II,F,PF,02-03-2019,21800787,NYK,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,17.7,22.45,24,4,6,48
79514,2019,2018-19,1610612763,Memphis Grizzlies,202714,Shelvin Mack,G,PG,02-03-2019,21800787,NYK,MEM,Missed Shot,False,Jump Bank Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-9.1,10.45,10,4,7,4
79518,2019,2018-19,1610612763,Memphis Grizzlies,203200,Justin Holiday,G,SG,02-03-2019,21800787,NYK,MEM,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.1,12.65,24,4,7,38
79520,2019,2018-19,1610612752,New York Knicks,1626209,Mario Hezonja,F,SF,02-03-2019,21800787,NYK,MEM,Made Shot,True,Turnaround Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,3.0,7.75,3,4,8,1
79525,2019,2018-19,1610612763,Memphis Grizzlies,201149,Joakim Noah,C,C,02-03-2019,21800787,NYK,MEM,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.8,5.85,1,4,8,32
79528,2019,2018-19,1610612752,New York Knicks,1628436,Luke Kornet,F,PF,02-03-2019,21800787,NYK,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.9,30.45,25,4,8,42
79535,2019,2018-19,1610612763,Memphis Grizzlies,202714,Shelvin Mack,G,PG,02-03-2019,21800787,NYK,MEM,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.3,8.05,2,4,9,29
79536,2019,2018-19,1610612752,New York Knicks,202083,Wesley Matthews,F,SF-SG,02-03-2019,21800787,NYK,MEM,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-3.0,14.05,9,4,9,43
79538,2019,2018-19,1610612763,Memphis Grizzlies,1628991,Jaren Jackson Jr.,F,PF,02-03-2019,21800787,NYK,MEM,Made Shot,True,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,4.65,0,4,9,51
79541,2019,2018-19,1610612763,Memphis Grizzlies,1628975,Jevon Carter,G,PG,02-03-2019,21800787,NYK,MEM,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.3,6.05,1,4,9,57
79543,2019,2018-19,1610612752,New York Knicks,1628443,Kadeem Allen,G,PG,02-03-2019,21800787,NYK,MEM,Missed Shot,False,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.5,6.35,1,4,10,3
79546,2019,2018-19,1610612763,Memphis Grizzlies,203200,Justin Holiday,G,SG,02-03-2019,21800787,NYK,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,22.0,18.25,25,4,10,15
