,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
208243,2019,2018-19,1610612756,Phoenix Suns,1628367,Josh Jackson,G,SG,10-24-2018,21800060,PHX,LAL,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,8.2,28.85,24,4,0,8
208247,2019,2018-19,1610612747,Los Angeles Lakers,203484,Kentavious Caldwell-Pope,G,SG,10-24-2018,21800060,PHX,LAL,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,6.45,1,4,0,17
208250,2019,2018-19,1610612756,Phoenix Suns,1628367,Josh Jackson,G,SG,10-24-2018,21800060,PHX,LAL,Made Shot,True,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.3,5.55,0,4,0,34
208255,2019,2018-19,1610612747,Los Angeles Lakers,1627826,Ivica Zubac,C,C,10-24-2018,21800060,PHX,LAL,Missed Shot,False,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.8,5.15,0,4,0,40
208258,2019,2018-19,1610612747,Los Angeles Lakers,202362,Lance Stephenson,G,SG,10-24-2018,21800060,PHX,LAL,Missed Shot,False,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,1.1,18.45,13,4,0,44
208267,2019,2018-19,1610612756,Phoenix Suns,1628969,Mikal Bridges,F,SF,10-24-2018,21800060,PHX,LAL,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.6,5.35,0,4,1,28
208276,2019,2018-19,1610612747,Los Angeles Lakers,1628366,Lonzo Ball,G,PG,10-24-2018,21800060,PHX,LAL,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.3,6.35,1,4,1,55
208282,2019,2018-19,1610612747,Los Angeles Lakers,1629004,Svi Mykhailiuk,F,SF,10-24-2018,21800060,PHX,LAL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,11.0,28.85,26,4,2,7
208293,2019,2018-19,1610612747,Los Angeles Lakers,202362,Lance Stephenson,G,SG,10-24-2018,21800060,PHX,LAL,Made Shot,True,Pullup Jump shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.5,12.65,23,4,2,49
208296,2019,2018-19,1610612747,Los Angeles Lakers,202362,Lance Stephenson,G,SG,10-24-2018,21800060,PHX,LAL,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-13.3,26.15,24,4,2,59
208300,2019,2018-19,1610612756,Phoenix Suns,1629028,Deandre Ayton,C,C,10-24-2018,21800060,PHX,LAL,Made Shot,True,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,7.0,5.85,7,4,3,11
208305,2019,2018-19,1610612747,Los Angeles Lakers,203484,Kentavious Caldwell-Pope,G,SG,10-24-2018,21800060,PHX,LAL,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,3.0,30.85,25,4,3,24
208309,2019,2018-19,1610612756,Phoenix Suns,1629028,Deandre Ayton,C,C,10-24-2018,21800060,PHX,LAL,Made Shot,True,Hook Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.1,5.85,1,4,3,51
208317,2019,2018-19,1610612747,Los Angeles Lakers,1629140,Johnathan Williams,C,C,10-24-2018,21800060,PHX,LAL,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-0.3,24.65,19,4,4,11
208320,2019,2018-19,1610612756,Phoenix Suns,203933,T.J. Warren,F,SF,10-24-2018,21800060,PHX,LAL,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,5.55,0,4,4,27
208325,2019,2018-19,1610612747,Los Angeles Lakers,1629004,Svi Mykhailiuk,F,SF,10-24-2018,21800060,PHX,LAL,Missed Shot,False,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-3.8,5.85,3,4,4,32
208338,2019,2018-19,1610612756,Phoenix Suns,1629028,Deandre Ayton,C,C,10-24-2018,21800060,PHX,LAL,Made Shot,True,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.4,5.25,1,4,4,46
208346,2019,2018-19,1610612756,Phoenix Suns,2772,Trevor Ariza,F,SF,10-24-2018,21800060,PHX,LAL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,20.1,19.25,24,4,5,9
208351,2019,2018-19,1610612747,Los Angeles Lakers,1628404,Josh Hart,G,SG,10-24-2018,21800060,PHX,LAL,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.1,30.85,25,4,5,20
208356,2019,2018-19,1610612756,Phoenix Suns,1628969,Mikal Bridges,F,SF,10-24-2018,21800060,PHX,LAL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.5,30.45,25,4,5,31
208361,2019,2018-19,1610612747,Los Angeles Lakers,203484,Kentavious Caldwell-Pope,G,SG,10-24-2018,21800060,PHX,LAL,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.6,5.25,0,4,5,52
208372,2019,2018-19,1610612747,Los Angeles Lakers,1629004,Svi Mykhailiuk,F,SF,10-24-2018,21800060,PHX,LAL,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-4.6,8.35,5,4,6,14
208381,2019,2018-19,1610612747,Los Angeles Lakers,1629004,Svi Mykhailiuk,F,SF,10-24-2018,21800060,PHX,LAL,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,8.7,25.15,21,4,6,22
208383,2019,2018-19,1610612756,Phoenix Suns,1629028,Deandre Ayton,C,C,10-24-2018,21800060,PHX,LAL,Made Shot,True,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.8,5.55,0,4,6,41
208388,2019,2018-19,1610612756,Phoenix Suns,203477,Isaiah Canaan,G,PG,10-24-2018,21800060,PHX,LAL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,7.0,28.95,24,4,6,46
208398,2019,2018-19,1610612747,Los Angeles Lakers,203484,Kentavious Caldwell-Pope,G,SG,10-24-2018,21800060,PHX,LAL,Missed Shot,False,Driving Floating Bank Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-8.6,8.55,9,4,7,9
208414,2019,2018-19,1610612747,Los Angeles Lakers,203484,Kentavious Caldwell-Pope,G,SG,10-24-2018,21800060,PHX,LAL,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.6,30.95,25,4,7,29
208429,2019,2018-19,1610612756,Phoenix Suns,1629028,Deandre Ayton,C,C,10-24-2018,21800060,PHX,LAL,Made Shot,True,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,5.55,0,4,7,57
208439,2019,2018-19,1610612756,Phoenix Suns,2199,Tyson Chandler,C,C,10-24-2018,21800060,PHX,LAL,Missed Shot,False,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.9,8.05,2,1,1,11
