,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
69239,2019,2018-19,1610612764,Washington Wizards,1626171,Bobby Portis,F,PF,02-11-2019,21800840,DET,WAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-15.1,26.35,25,4,0,16
69244,2019,2018-19,1610612764,Washington Wizards,201145,Jeff Green,F,PF,02-11-2019,21800840,DET,WAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,22.1,20.95,27,4,0,23
69302,2019,2018-19,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,02-11-2019,21800840,DET,WAS,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.7,6.45,2,4,0,26
69307,2019,2018-19,1610612764,Washington Wizards,1626171,Bobby Portis,F,PF,02-11-2019,21800840,DET,WAS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,8.1,27.45,23,4,0,39
69320,2019,2018-19,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,02-11-2019,21800840,DET,WAS,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-7.4,19.95,16,4,0,52
69342,2019,2018-19,1610612764,Washington Wizards,1626171,Bobby Portis,F,PF,02-11-2019,21800840,DET,WAS,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.4,10.45,23,4,1,15
69346,2019,2018-19,1610612765,Detroit Pistons,202704,Reggie Jackson,G,PG,02-11-2019,21800840,DET,WAS,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,15.7,24.65,24,4,1,35
69350,2019,2018-19,1610612764,Washington Wizards,1626171,Bobby Portis,F,PF,02-11-2019,21800840,DET,WAS,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.6,6.35,22,4,1,49
69369,2019,2018-19,1610612764,Washington Wizards,202325,Wesley Johnson,F,SF,02-11-2019,21800840,DET,WAS,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.6,5.95,22,4,2,38
69371,2019,2018-19,1610612765,Detroit Pistons,203083,Andre Drummond,C,C,02-11-2019,21800840,DET,WAS,Made Shot,True,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,4.65,0,4,2,45
69374,2019,2018-19,1610612765,Detroit Pistons,201933,Blake Griffin,F,PF,02-11-2019,21800840,DET,WAS,Missed Shot,False,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,4.1,13.15,8,4,2,53
69382,2019,2018-19,1610612764,Washington Wizards,1626171,Bobby Portis,F,PF,02-11-2019,21800840,DET,WAS,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-11.9,29.15,26,4,3,15
69385,2019,2018-19,1610612765,Detroit Pistons,201933,Blake Griffin,F,PF,02-11-2019,21800840,DET,WAS,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.9,7.15,3,4,3,31
69389,2019,2018-19,1610612764,Washington Wizards,2772,Trevor Ariza,F,SF,02-11-2019,21800840,DET,WAS,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.1,7.75,23,4,3,57
69417,2019,2018-19,1610612765,Detroit Pistons,203083,Andre Drummond,C,C,02-11-2019,21800840,DET,WAS,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.1,6.35,1,4,4,22
69419,2019,2018-19,1610612764,Washington Wizards,2772,Trevor Ariza,F,SF,02-11-2019,21800840,DET,WAS,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-5.8,33.55,28,4,4,43
69420,2019,2018-19,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,02-11-2019,21800840,DET,WAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,10.1,28.95,25,4,5,0
69424,2019,2018-19,1610612765,Detroit Pistons,1628379,Luke Kennard,G,SG,02-11-2019,21800840,DET,WAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-17.2,25.05,26,4,5,12
69441,2019,2018-19,1610612765,Detroit Pistons,201933,Blake Griffin,F,PF,02-11-2019,21800840,DET,WAS,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.0,8.65,3,4,5,50
69443,2019,2018-19,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,02-11-2019,21800840,DET,WAS,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.1,6.45,1,4,6,16
69465,2019,2018-19,1610612765,Detroit Pistons,1628379,Luke Kennard,G,SG,02-11-2019,21800840,DET,WAS,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,20.9,21.45,26,4,6,38
69468,2019,2018-19,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,02-11-2019,21800840,DET,WAS,Made Shot,True,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,10.7,21.75,19,4,7,5
69495,2019,2018-19,1610612764,Washington Wizards,1626171,Bobby Portis,F,PF,02-11-2019,21800840,DET,WAS,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.7,7.55,2,4,7,47
69500,2019,2018-19,1610612765,Detroit Pistons,201933,Blake Griffin,F,PF,02-11-2019,21800840,DET,WAS,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-1.6,29.75,24,4,7,58
69519,2019,2018-19,1610612764,Washington Wizards,1626171,Bobby Portis,F,PF,02-11-2019,21800840,DET,WAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,5.5,30.85,26,4,8,25
