,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
176030,2020,2019-20,1610612737,Atlanta Hawks,1628381,John Collins,F,PF,10-31-2019,21900066,ATL,MIA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.13,8.325,25,4,0,24
176032,2020,2019-20,1610612737,Atlanta Hawks,1627820,Tyrone Wallace,G,SG,10-31-2019,21900066,ATL,MIA,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.0699999999999999,5.865,1,4,0,37
176034,2020,2019-20,1610612748,Miami Heat,202710,Jimmy Butler,F,SF,10-31-2019,21900066,ATL,MIA,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.04,6.115,3,4,0,41
176035,2020,2019-20,1610612748,Miami Heat,1629134,Kendrick Nunn,G,PG,10-31-2019,21900066,ATL,MIA,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.02,5.875,1,4,1,20
176037,2020,2019-20,1610612737,Atlanta Hawks,203953,Jabari Parker,F,PF,10-31-2019,21900066,ATL,MIA,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.03,5.835,0,4,1,37
176038,2020,2019-20,1610612748,Miami Heat,203086,Meyers Leonard,C,C,10-31-2019,21900066,ATL,MIA,Missed Shot,False,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.01,6.005,2,4,1,42
176039,2020,2019-20,1610612737,Atlanta Hawks,203953,Jabari Parker,F,PF,10-31-2019,21900066,ATL,MIA,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.09,5.855,1,4,2,1
176042,2020,2019-20,1610612737,Atlanta Hawks,1628989,Kevin Huerter,G,SG,10-31-2019,21900066,ATL,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.6,7.725,25,4,2,29
176043,2020,2019-20,1610612748,Miami Heat,1629639,Tyler Herro,G,SG,10-31-2019,21900066,ATL,MIA,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,-1.86,6.275,19,4,2,49
176054,2020,2019-20,1610612748,Miami Heat,1629134,Kendrick Nunn,G,PG,10-31-2019,21900066,ATL,MIA,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.03,5.925,1,4,3,21
176056,2020,2019-20,1610612748,Miami Heat,203086,Meyers Leonard,C,C,10-31-2019,21900066,ATL,MIA,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.37,6.505,24,4,3,53
176059,2020,2019-20,1610612737,Atlanta Hawks,1627761,DeAndre' Bembry,G,SG,10-31-2019,21900066,ATL,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.32,5.975,23,4,4,14
176060,2020,2019-20,1610612737,Atlanta Hawks,1629629,Cam Reddish,F,SF,10-31-2019,21900066,ATL,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.21,8.375,26,4,4,20
176062,2020,2019-20,1610612737,Atlanta Hawks,1629631,De'Andre Hunter,F,SF,10-31-2019,21900066,ATL,MIA,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.25,6.255,5,4,4,22
176064,2020,2019-20,1610612748,Miami Heat,202710,Jimmy Butler,F,SF,10-31-2019,21900066,ATL,MIA,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.42,6.345,7,4,4,45
176067,2020,2019-20,1610612737,Atlanta Hawks,1629629,Cam Reddish,F,SF,10-31-2019,21900066,ATL,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.87,7.415,24,4,5,4
176072,2020,2019-20,1610612748,Miami Heat,203086,Meyers Leonard,C,C,10-31-2019,21900066,ATL,MIA,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.21,8.155000000000001,26,4,5,28
176074,2020,2019-20,1610612737,Atlanta Hawks,1627761,DeAndre' Bembry,G,SG,10-31-2019,21900066,ATL,MIA,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.03,5.885,1,4,5,49
176086,2020,2019-20,1610612737,Atlanta Hawks,1629629,Cam Reddish,F,SF,10-31-2019,21900066,ATL,MIA,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.0699999999999999,5.915,1,4,6,8
176087,2020,2019-20,1610612748,Miami Heat,1629735,Chris Silva,F,PF,10-31-2019,21900066,ATL,MIA,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.13,6.055,3,4,6,17
176089,2020,2019-20,1610612737,Atlanta Hawks,1628989,Kevin Huerter,G,SG,10-31-2019,21900066,ATL,MIA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-0.91,8.245000000000001,26,4,6,43
176090,2020,2019-20,1610612748,Miami Heat,1629639,Tyler Herro,G,SG,10-31-2019,21900066,ATL,MIA,Made Shot,True,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.715,0,4,6,59
176094,2020,2019-20,1610612748,Miami Heat,203482,Kelly Olynyk,C,C,10-31-2019,21900066,ATL,MIA,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.23,8.025,25,4,7,4
176096,2020,2019-20,1610612737,Atlanta Hawks,203953,Jabari Parker,F,PF,10-31-2019,21900066,ATL,MIA,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.35,8.275,25,4,7,18
176097,2020,2019-20,1610612748,Miami Heat,1629735,Chris Silva,F,PF,10-31-2019,21900066,ATL,MIA,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.11,6.025,2,4,7,25
176098,2020,2019-20,1610612737,Atlanta Hawks,1629629,Cam Reddish,F,SF,10-31-2019,21900066,ATL,MIA,Missed Shot,False,Running Pull-Up Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,0.6599999999999999,7.445,17,4,7,40
176099,2020,2019-20,1610612748,Miami Heat,1629134,Kendrick Nunn,G,PG,10-31-2019,21900066,ATL,MIA,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1699999999999999,5.995,2,4,7,46
176101,2020,2019-20,1610612737,Atlanta Hawks,1628381,John Collins,F,PF,10-31-2019,21900066,ATL,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.39,8.305,25,4,7,56
176103,2020,2019-20,1610612748,Miami Heat,1629639,Tyler Herro,G,SG,10-31-2019,21900066,ATL,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.23,8.375,26,4,8,6
176105,2020,2019-20,1610612737,Atlanta Hawks,1629631,De'Andre Hunter,F,SF,10-31-2019,21900066,ATL,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.5699999999999998,7.815,25,4,8,34
176112,2020,2019-20,1610612748,Miami Heat,1629735,Chris Silva,F,PF,10-31-2019,21900066,ATL,MIA,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.09,5.925,1,4,8,51
176114,2020,2019-20,1610612737,Atlanta Hawks,1627820,Tyrone Wallace,G,SG,10-31-2019,21900066,ATL,MIA,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.14,5.985,2,4,9,4
176115,2020,2019-20,1610612748,Miami Heat,1629639,Tyler Herro,G,SG,10-31-2019,21900066,ATL,MIA,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.3,6.455,23,4,9,26
176119,2020,2019-20,1610612737,Atlanta Hawks,203953,Jabari Parker,F,PF,10-31-2019,21900066,ATL,MIA,Made Shot,True,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.715,0,4,9,45
176120,2020,2019-20,1610612737,Atlanta Hawks,1627761,DeAndre' Bembry,G,SG,10-31-2019,21900066,ATL,MIA,Missed Shot,False,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.13,6.675,9,4,9,53
176131,2020,2019-20,1610612737,Atlanta Hawks,1627820,Tyrone Wallace,G,SG,10-31-2019,21900066,ATL,MIA,Made Shot,True,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,0.79,7.065,15,4,10,29
176132,2020,2019-20,1610612748,Miami Heat,203482,Kelly Olynyk,C,C,10-31-2019,21900066,ATL,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.87,7.585,26,4,10,41
176133,2020,2019-20,1610612748,Miami Heat,203482,Kelly Olynyk,C,C,10-31-2019,21900066,ATL,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.9,7.475,25,4,10,46
176135,2020,2019-20,1610612737,Atlanta Hawks,1627745,Damian Jones,C,C,10-31-2019,21900066,ATL,MIA,Missed Shot,False,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.05,5.885,1,4,10,52
176137,2020,2019-20,1610612748,Miami Heat,1629639,Tyler Herro,G,SG,10-31-2019,21900066,ATL,MIA,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,-0.94,7.735,21,4,11,6
176139,2020,2019-20,1610612748,Miami Heat,1629130,Duncan Robinson,G,SG,10-31-2019,21900066,ATL,MIA,Missed Shot,False,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.885,1,4,11,34
176141,2020,2019-20,1610612737,Atlanta Hawks,1713,Vince Carter,F,PF,10-31-2019,21900066,ATL,MIA,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,0.51,7.495,17,4,11,48
176142,2020,2019-20,1610612737,Atlanta Hawks,203953,Jabari Parker,F,PF,10-31-2019,21900066,ATL,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Backcourt,Back Court,BC,Back Court Shot,-1.89,12.615,70,3,0,0
176143,2020,2019-20,1610612748,Miami Heat,1629639,Tyler Herro,G,SG,10-31-2019,21900066,ATL,MIA,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,0.96,8.135,25,3,0,1
176144,2020,2019-20,1610612737,Atlanta Hawks,1627761,DeAndre' Bembry,G,SG,10-31-2019,21900066,ATL,MIA,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.16,6.155,4,3,0,18
176145,2020,2019-20,1610612737,Atlanta Hawks,203953,Jabari Parker,F,PF,10-31-2019,21900066,ATL,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.12,8.344999999999999,25,3,0,21
176149,2020,2019-20,1610612737,Atlanta Hawks,1627761,DeAndre' Bembry,G,SG,10-31-2019,21900066,ATL,MIA,Made Shot,True,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.03,5.875,1,3,0,37
176151,2020,2019-20,1610612748,Miami Heat,1629639,Tyler Herro,G,SG,10-31-2019,21900066,ATL,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.3399999999999999,8.315,25,3,0,54
176153,2020,2019-20,1610612737,Atlanta Hawks,203953,Jabari Parker,F,PF,10-31-2019,21900066,ATL,MIA,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.54,8.285,25,3,1,12
176156,2020,2019-20,1610612737,Atlanta Hawks,203953,Jabari Parker,F,PF,10-31-2019,21900066,ATL,MIA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.55,7.785,25,3,1,43
176158,2020,2019-20,1610612748,Miami Heat,1629130,Duncan Robinson,G,SG,10-31-2019,21900066,ATL,MIA,Made Shot,True,Step Back Jump shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.29,6.565,24,3,2,1
176161,2020,2019-20,1610612737,Atlanta Hawks,1627820,Tyrone Wallace,G,SG,10-31-2019,21900066,ATL,MIA,Made Shot,True,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.05,5.915,1,3,2,25
176162,2020,2019-20,1610612748,Miami Heat,202710,Jimmy Butler,F,SF,10-31-2019,21900066,ATL,MIA,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.63,8.235,25,3,2,32
176163,2020,2019-20,1610612737,Atlanta Hawks,1713,Vince Carter,F,PF,10-31-2019,21900066,ATL,MIA,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.0699999999999999,5.985,2,3,2,51
176164,2020,2019-20,1610612748,Miami Heat,202710,Jimmy Butler,F,SF,10-31-2019,21900066,ATL,MIA,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.16,5.935,2,3,3,8
176165,2020,2019-20,1610612737,Atlanta Hawks,203953,Jabari Parker,F,PF,10-31-2019,21900066,ATL,MIA,Made Shot,True,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,0.52,6.525,9,3,3,31
176169,2020,2019-20,1610612737,Atlanta Hawks,1627761,DeAndre' Bembry,G,SG,10-31-2019,21900066,ATL,MIA,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.715,0,3,4,8
176170,2020,2019-20,1610612737,Atlanta Hawks,1627820,Tyrone Wallace,G,SG,10-31-2019,21900066,ATL,MIA,Missed Shot,False,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.985,2,3,4,9
176178,2020,2019-20,1610612737,Atlanta Hawks,1713,Vince Carter,F,PF,10-31-2019,21900066,ATL,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.23,7.935,24,3,4,29
176185,2020,2019-20,1610612748,Miami Heat,1629134,Kendrick Nunn,G,PG,10-31-2019,21900066,ATL,MIA,Made Shot,True,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.38,6.535,8,3,4,53
176187,2020,2019-20,1610612748,Miami Heat,203086,Meyers Leonard,C,C,10-31-2019,21900066,ATL,MIA,Made Shot,True,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.42,5.935,4,3,5,23
176192,2020,2019-20,1610612737,Atlanta Hawks,1628381,John Collins,F,PF,10-31-2019,21900066,ATL,MIA,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,0.89,6.705,12,3,5,35
176193,2020,2019-20,1610612748,Miami Heat,1628389,Bam Adebayo,F,PF,10-31-2019,21900066,ATL,MIA,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.47,6.985,12,3,5,56
176199,2020,2019-20,1610612737,Atlanta Hawks,1629631,De'Andre Hunter,F,SF,10-31-2019,21900066,ATL,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.3,6.095,23,3,6,18
176200,2020,2019-20,1610612748,Miami Heat,1629134,Kendrick Nunn,G,PG,10-31-2019,21900066,ATL,MIA,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.815,0,3,6,33
176203,2020,2019-20,1610612748,Miami Heat,1629134,Kendrick Nunn,G,PG,10-31-2019,21900066,ATL,MIA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.55,8.245000000000001,25,3,6,54
176205,2020,2019-20,1610612737,Atlanta Hawks,1629631,De'Andre Hunter,F,SF,10-31-2019,21900066,ATL,MIA,Made Shot,True,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.6,5.835,6,3,7,13
176207,2020,2019-20,1610612748,Miami Heat,1629134,Kendrick Nunn,G,PG,10-31-2019,21900066,ATL,MIA,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.02,5.885,1,3,7,30
176210,2020,2019-20,1610612737,Atlanta Hawks,1629629,Cam Reddish,F,SF,10-31-2019,21900066,ATL,MIA,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.18,6.495,7,3,7,38
176211,2020,2019-20,1610612748,Miami Heat,202710,Jimmy Butler,F,SF,10-31-2019,21900066,ATL,MIA,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.03,5.895,1,3,7,51
176212,2020,2019-20,1610612737,Atlanta Hawks,1629629,Cam Reddish,F,SF,10-31-2019,21900066,ATL,MIA,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.63,8.235,25,3,8,2
176213,2020,2019-20,1610612748,Miami Heat,1629130,Duncan Robinson,G,SG,10-31-2019,21900066,ATL,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.3,7.955,25,3,8,13
176215,2020,2019-20,1610612748,Miami Heat,1629134,Kendrick Nunn,G,PG,10-31-2019,21900066,ATL,MIA,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.25,5.875,22,3,8,41
176220,2020,2019-20,1610612737,Atlanta Hawks,1628989,Kevin Huerter,G,SG,10-31-2019,21900066,ATL,MIA,Missed Shot,False,Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.925,1,3,8,54
176223,2020,2019-20,1610612737,Atlanta Hawks,1628989,Kevin Huerter,G,SG,10-31-2019,21900066,ATL,MIA,Missed Shot,False,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.06,6.9350000000000005,11,3,8,58
176226,2020,2019-20,1610612748,Miami Heat,203086,Meyers Leonard,C,C,10-31-2019,21900066,ATL,MIA,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.01,5.885,1,3,9,25
176229,2020,2019-20,1610612737,Atlanta Hawks,203458,Alex Len,C,C,10-31-2019,21900066,ATL,MIA,Made Shot,True,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.715,0,3,9,39
176232,2020,2019-20,1610612737,Atlanta Hawks,203458,Alex Len,C,C,10-31-2019,21900066,ATL,MIA,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.39,6.145,5,3,9,44
176234,2020,2019-20,1610612748,Miami Heat,202710,Jimmy Butler,F,SF,10-31-2019,21900066,ATL,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.38,7.915,25,3,9,55
176237,2020,2019-20,1610612737,Atlanta Hawks,1628381,John Collins,F,PF,10-31-2019,21900066,ATL,MIA,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,0.62,7.695,20,3,10,9
176239,2020,2019-20,1610612737,Atlanta Hawks,1629631,De'Andre Hunter,F,SF,10-31-2019,21900066,ATL,MIA,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.23,6.115,4,3,10,13
176241,2020,2019-20,1610612748,Miami Heat,1629130,Duncan Robinson,G,SG,10-31-2019,21900066,ATL,MIA,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.03,5.905,1,3,10,32
176244,2020,2019-20,1610612737,Atlanta Hawks,1629629,Cam Reddish,F,SF,10-31-2019,21900066,ATL,MIA,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.22,6.484999999999999,23,3,10,59
176248,2020,2019-20,1610612737,Atlanta Hawks,1628381,John Collins,F,PF,10-31-2019,21900066,ATL,MIA,Made Shot,True,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.45,6.885,11,3,11,26
176250,2020,2019-20,1610612748,Miami Heat,1629130,Duncan Robinson,G,SG,10-31-2019,21900066,ATL,MIA,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.29,6.235,23,3,11,45
176260,2020,2019-20,1610612737,Atlanta Hawks,1627820,Tyrone Wallace,G,SG,10-31-2019,21900066,ATL,MIA,Missed Shot,False,Running Pull-Up Jump Shot,3PT Field Goal,Backcourt,Back Court,BC,Back Court Shot,1.39,10.035,44,2,0,0
176262,2020,2019-20,1610612748,Miami Heat,203482,Kelly Olynyk,C,C,10-31-2019,21900066,ATL,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-0.85,8.175,25,2,0,5
176273,2020,2019-20,1610612737,Atlanta Hawks,1713,Vince Carter,F,PF,10-31-2019,21900066,ATL,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-2.06,7.215,25,2,0,33
176277,2020,2019-20,1610612737,Atlanta Hawks,1627761,DeAndre' Bembry,G,SG,10-31-2019,21900066,ATL,MIA,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.2,6.665,9,2,1,9
176280,2020,2019-20,1610612748,Miami Heat,1629134,Kendrick Nunn,G,PG,10-31-2019,21900066,ATL,MIA,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,1.14,6.595,14,2,1,18
176282,2020,2019-20,1610612737,Atlanta Hawks,1627745,Damian Jones,C,C,10-31-2019,21900066,ATL,MIA,Made Shot,True,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.01,5.895,1,2,1,31
176284,2020,2019-20,1610612737,Atlanta Hawks,1627745,Damian Jones,C,C,10-31-2019,21900066,ATL,MIA,Missed Shot,False,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.47,6.205,6,2,1,37
176288,2020,2019-20,1610612737,Atlanta Hawks,1627761,DeAndre' Bembry,G,SG,10-31-2019,21900066,ATL,MIA,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.03,5.855,0,2,2,4
176291,2020,2019-20,1610612737,Atlanta Hawks,1627820,Tyrone Wallace,G,SG,10-31-2019,21900066,ATL,MIA,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.01,6.715,9,2,2,36
176293,2020,2019-20,1610612748,Miami Heat,202710,Jimmy Butler,F,SF,10-31-2019,21900066,ATL,MIA,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,1.7,6.775,19,2,2,50
176295,2020,2019-20,1610612737,Atlanta Hawks,1627820,Tyrone Wallace,G,SG,10-31-2019,21900066,ATL,MIA,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.02,5.935,1,2,3,7
176306,2020,2019-20,1610612748,Miami Heat,1629639,Tyler Herro,G,SG,10-31-2019,21900066,ATL,MIA,Missed Shot,False,Driving Floating Bank Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.24,7.965,25,2,3,37
176307,2020,2019-20,1610612737,Atlanta Hawks,1627820,Tyrone Wallace,G,SG,10-31-2019,21900066,ATL,MIA,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.06,5.945,1,2,3,48
