,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
36086,2020,2019-20,1610612737,Atlanta Hawks,1629629,Cam Reddish,F,SF,02-24-2020,21900850,PHI,ATL,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.12,8.655,28,4,0,13
36092,2020,2019-20,1610612737,Atlanta Hawks,1629027,Trae Young,G,PG,02-24-2020,21900850,PHI,ATL,Missed Shot,False,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.61,7.955,27,4,0,25
36093,2020,2019-20,1610612755,Philadelphia 76ers,203954,Joel Embiid,C,C,02-24-2020,21900850,PHI,ATL,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.14,8.215,26,4,0,32
36097,2020,2019-20,1610612737,Atlanta Hawks,1629027,Trae Young,G,PG,02-24-2020,21900850,PHI,ATL,Made Shot,True,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.08,5.965,2,4,0,55
36098,2020,2019-20,1610612755,Philadelphia 76ers,203954,Joel Embiid,C,C,02-24-2020,21900850,PHI,ATL,Made Shot,True,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.715,0,4,0,59
36102,2020,2019-20,1610612755,Philadelphia 76ers,202699,Tobias Harris,F,PF,02-24-2020,21900850,PHI,ATL,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.12,6.465,7,4,1,1
36108,2020,2019-20,1610612737,Atlanta Hawks,1628381,John Collins,F,PF,02-24-2020,21900850,PHI,ATL,Made Shot,True,Running Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.09,5.835,1,4,1,23
36115,2020,2019-20,1610612755,Philadelphia 76ers,203954,Joel Embiid,C,C,02-24-2020,21900850,PHI,ATL,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.08,5.815,0,4,1,29
36119,2020,2019-20,1610612755,Philadelphia 76ers,203954,Joel Embiid,C,C,02-24-2020,21900850,PHI,ATL,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.13,6.055,3,4,1,30
36122,2020,2019-20,1610612755,Philadelphia 76ers,203922,Glenn Robinson III,F,SF,02-24-2020,21900850,PHI,ATL,Missed Shot,False,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.35,6.595,8,3,0,4
