,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
83209,2020,2019-20,1610612766,Charlotte Hornets,1628970,Miles Bridges,F,SF,01-12-2020,21900590,PHX,CHA,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.88,7.475,25,4,0,6
83212,2020,2019-20,1610612766,Charlotte Hornets,1628970,Miles Bridges,F,SF,01-12-2020,21900590,PHX,CHA,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.765,0,4,0,12
83217,2020,2019-20,1610612766,Charlotte Hornets,1628984,Devonte' Graham,G,PG,01-12-2020,21900590,PHX,CHA,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.0699999999999998,8.355,27,4,0,22
83229,2020,2019-20,1610612766,Charlotte Hornets,1628984,Devonte' Graham,G,PG,01-12-2020,21900590,PHX,CHA,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.01,9.085,33,4,0,32
83234,2020,2019-20,1610612756,Phoenix Suns,1628969,Mikal Bridges,F,SF,01-12-2020,21900590,PHX,CHA,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.02,5.835,0,4,0,34
83237,2020,2019-20,1610612766,Charlotte Hornets,1628407,Dwayne Bacon,G,SG,01-12-2020,21900590,PHX,CHA,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.55,8.285,25,4,0,41
83242,2020,2019-20,1610612756,Phoenix Suns,1626162,Kelly Oubre Jr.,F,SF,01-12-2020,21900590,PHX,CHA,Made Shot,True,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.02,5.865,0,4,0,45
83247,2020,2019-20,1610612756,Phoenix Suns,1626164,Devin Booker,G,SG,01-12-2020,21900590,PHX,CHA,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,-1.13,6.135,11,4,0,58
83250,2020,2019-20,1610612766,Charlotte Hornets,1628984,Devonte' Graham,G,PG,01-12-2020,21900590,PHX,CHA,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.0,8.205,26,4,1,18
83252,2020,2019-20,1610612756,Phoenix Suns,1629028,Deandre Ayton,C,C,01-12-2020,21900590,PHX,CHA,Made Shot,True,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.715,0,4,1,29
83257,2020,2019-20,1610612756,Phoenix Suns,1628969,Mikal Bridges,F,SF,01-12-2020,21900590,PHX,CHA,Missed Shot,False,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.885,1,4,1,29
83270,2020,2019-20,1610612766,Charlotte Hornets,1628407,Dwayne Bacon,G,SG,01-12-2020,21900590,PHX,CHA,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.01,6.345,5,4,1,44
83276,2020,2019-20,1610612756,Phoenix Suns,1629028,Deandre Ayton,C,C,01-12-2020,21900590,PHX,CHA,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.06,5.905,1,4,1,46
83281,2020,2019-20,1610612756,Phoenix Suns,1626164,Devin Booker,G,SG,01-12-2020,21900590,PHX,CHA,Made Shot,True,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.39,6.975,12,4,2,17
83290,2020,2019-20,1610612756,Phoenix Suns,1629028,Deandre Ayton,C,C,01-12-2020,21900590,PHX,CHA,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.05,5.695,0,4,2,40
83296,2020,2019-20,1610612766,Charlotte Hornets,1628407,Dwayne Bacon,G,SG,01-12-2020,21900590,PHX,CHA,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.65,6.165,7,4,2,52
83302,2020,2019-20,1610612766,Charlotte Hornets,1628970,Miles Bridges,F,SF,01-12-2020,21900590,PHX,CHA,Made Shot,True,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,0.89,5.675,8,4,3,22
83304,2020,2019-20,1610612756,Phoenix Suns,201937,Ricky Rubio,G,PG,01-12-2020,21900590,PHX,CHA,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.65,6.015,6,4,3,32
83308,2020,2019-20,1610612756,Phoenix Suns,1626162,Kelly Oubre Jr.,F,SF,01-12-2020,21900590,PHX,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-2.04,7.155,24,4,3,44
83334,2020,2019-20,1610612756,Phoenix Suns,1626164,Devin Booker,G,SG,01-12-2020,21900590,PHX,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.37,8.275,25,4,4,34
83350,2020,2019-20,1610612766,Charlotte Hornets,201587,Nicolas Batum,F,SF,01-12-2020,21900590,PHX,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.22,8.344999999999999,25,4,5,3
83364,2020,2019-20,1610612766,Charlotte Hornets,1626179,Terry Rozier,G,PG,01-12-2020,21900590,PHX,CHA,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-0.8800000000000001,8.155000000000001,25,4,5,38
83376,2020,2019-20,1610612766,Charlotte Hornets,1628970,Miles Bridges,F,SF,01-12-2020,21900590,PHX,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.39,7.895,25,4,6,13
83379,2020,2019-20,1610612756,Phoenix Suns,1626164,Devin Booker,G,SG,01-12-2020,21900590,PHX,CHA,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.89,7.515,25,4,6,27
83383,2020,2019-20,1610612766,Charlotte Hornets,203469,Cody Zeller,C,C,01-12-2020,21900590,PHX,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.09,8.075,25,4,6,34
83389,2020,2019-20,1610612756,Phoenix Suns,203382,Aron Baynes,C,C,01-12-2020,21900590,PHX,CHA,Made Shot,True,Hook Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.03,6.085,3,4,6,46
83397,2020,2019-20,1610612766,Charlotte Hornets,1628407,Dwayne Bacon,G,SG,01-12-2020,21900590,PHX,CHA,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.15,5.885,1,4,7,9
83409,2020,2019-20,1610612756,Phoenix Suns,1628969,Mikal Bridges,F,SF,01-12-2020,21900590,PHX,CHA,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.765,0,4,7,32
83413,2020,2019-20,1610612766,Charlotte Hornets,203469,Cody Zeller,C,C,01-12-2020,21900590,PHX,CHA,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.05,5.785,0,4,7,48
83416,2020,2019-20,1610612756,Phoenix Suns,1626164,Devin Booker,G,SG,01-12-2020,21900590,PHX,CHA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-2.21,6.985,25,4,8,7
83422,2020,2019-20,1610612766,Charlotte Hornets,1628970,Miles Bridges,F,SF,01-12-2020,21900590,PHX,CHA,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.61,5.795,6,4,8,28
83435,2020,2019-20,1610612756,Phoenix Suns,1626162,Kelly Oubre Jr.,F,SF,01-12-2020,21900590,PHX,CHA,Missed Shot,False,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.06,5.725,0,4,8,50
83440,2020,2019-20,1610612756,Phoenix Suns,1626162,Kelly Oubre Jr.,F,SF,01-12-2020,21900590,PHX,CHA,Made Shot,True,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.715,0,4,8,48
83450,2020,2019-20,1610612756,Phoenix Suns,201937,Ricky Rubio,G,PG,01-12-2020,21900590,PHX,CHA,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,5.735,1,4,8,51
83457,2020,2019-20,1610612766,Charlotte Hornets,1626179,Terry Rozier,G,PG,01-12-2020,21900590,PHX,CHA,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.29,5.815,2,4,9,1
83460,2020,2019-20,1610612756,Phoenix Suns,1628969,Mikal Bridges,F,SF,01-12-2020,21900590,PHX,CHA,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.31,5.765,23,4,9,18
83464,2020,2019-20,1610612766,Charlotte Hornets,1628407,Dwayne Bacon,G,SG,01-12-2020,21900590,PHX,CHA,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.05,6.975,12,4,9,27
83466,2020,2019-20,1610612756,Phoenix Suns,1629028,Deandre Ayton,C,C,01-12-2020,21900590,PHX,CHA,Made Shot,True,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.715,0,4,9,41
83470,2020,2019-20,1610612756,Phoenix Suns,1626162,Kelly Oubre Jr.,F,SF,01-12-2020,21900590,PHX,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.28,5.855,22,4,9,47
83472,2020,2019-20,1610612766,Charlotte Hornets,201587,Nicolas Batum,F,SF,01-12-2020,21900590,PHX,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.24,8.495000000000001,27,4,10,11
83477,2020,2019-20,1610612756,Phoenix Suns,204020,Tyler Johnson,G,PG-SG,01-12-2020,21900590,PHX,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,2.03,7.615,27,4,10,35
83482,2020,2019-20,1610612766,Charlotte Hornets,1626179,Terry Rozier,G,PG,01-12-2020,21900590,PHX,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.32,6.065,23,4,10,51
83495,2020,2019-20,1610612766,Charlotte Hornets,1626179,Terry Rozier,G,PG,01-12-2020,21900590,PHX,CHA,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.09,6.975,12,4,11,27
83502,2020,2019-20,1610612756,Phoenix Suns,201937,Ricky Rubio,G,PG,01-12-2020,21900590,PHX,CHA,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,0.85,7.345,17,4,11,49
83515,2020,2019-20,1610612756,Phoenix Suns,1629028,Deandre Ayton,C,C,01-12-2020,21900590,PHX,CHA,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,1.3,6.025,13,3,0,0
83519,2020,2019-20,1610612756,Phoenix Suns,1628969,Mikal Bridges,F,SF,01-12-2020,21900590,PHX,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.7,8.225,25,3,0,2
83522,2020,2019-20,1610612766,Charlotte Hornets,1628407,Dwayne Bacon,G,SG,01-12-2020,21900590,PHX,CHA,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.13,5.685,1,3,0,13
83524,2020,2019-20,1610612756,Phoenix Suns,1629661,Cameron Johnson,F,PF,01-12-2020,21900590,PHX,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.12,8.065,25,3,0,34
83536,2020,2019-20,1610612766,Charlotte Hornets,203469,Cody Zeller,C,C,01-12-2020,21900590,PHX,CHA,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.03,5.765,0,3,0,51
83537,2020,2019-20,1610612756,Phoenix Suns,204020,Tyler Johnson,G,PG-SG,01-12-2020,21900590,PHX,CHA,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,-1.01,5.825,10,3,1,8
83569,2020,2019-20,1610612766,Charlotte Hornets,1628970,Miles Bridges,F,SF,01-12-2020,21900590,PHX,CHA,Missed Shot,False,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.25,6.095,4,3,1,32
83571,2020,2019-20,1610612756,Phoenix Suns,1626162,Kelly Oubre Jr.,F,SF,01-12-2020,21900590,PHX,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-2.27,6.775,24,3,1,44
83576,2020,2019-20,1610612766,Charlotte Hornets,201587,Nicolas Batum,F,SF,01-12-2020,21900590,PHX,CHA,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.775,0,3,2,5
