,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
140874,2020,2019-20,1610612741,Chicago Bulls,1627885,Shaquille Harrison,G,SG,11-27-2019,21900266,GSW,CHI,Missed Shot,False,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.11,5.885,1,4,0,1
140878,2020,2019-20,1610612741,Chicago Bulls,1627885,Shaquille Harrison,G,SG,11-27-2019,21900266,GSW,CHI,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.19,6.345,6,4,0,6
140880,2020,2019-20,1610612744,Golden State Warriors,1629672,Eric Paschall,F,PF,11-27-2019,21900266,GSW,CHI,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.08,6.335,5,4,0,14
140883,2020,2019-20,1610612741,Chicago Bulls,1627885,Shaquille Harrison,G,SG,11-27-2019,21900266,GSW,CHI,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,0.04,7.355,15,4,0,36
140885,2020,2019-20,1610612744,Golden State Warriors,202692,Alec Burks,F,SF-SG,11-27-2019,21900266,GSW,CHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,2.19,7.085,25,4,0,51
140888,2020,2019-20,1610612741,Chicago Bulls,1627885,Shaquille Harrison,G,SG,11-27-2019,21900266,GSW,CHI,Made Shot,True,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,-0.4900000000000001,6.465,8,4,1,12
140905,2020,2019-20,1610612744,Golden State Warriors,202692,Alec Burks,F,SF-SG,11-27-2019,21900266,GSW,CHI,Made Shot,True,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.02,5.905,1,4,1,31
140909,2020,2019-20,1610612741,Chicago Bulls,203107,Tomas Satoransky,G,SG,11-27-2019,21900266,GSW,CHI,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.29,5.855,22,4,1,51
140913,2020,2019-20,1610612744,Golden State Warriors,202692,Alec Burks,F,SF-SG,11-27-2019,21900266,GSW,CHI,Made Shot,True,Pullup Jump shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.28,5.835,22,4,2,2
140919,2020,2019-20,1610612741,Chicago Bulls,1629632,Coby White,G,PG,11-27-2019,21900266,GSW,CHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,2.27,6.835,25,4,2,14
140922,2020,2019-20,1610612741,Chicago Bulls,1628976,Wendell Carter Jr.,C,C,11-27-2019,21900266,GSW,CHI,Missed Shot,False,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.16,6.215,4,4,2,19
140926,2020,2019-20,1610612741,Chicago Bulls,203107,Tomas Satoransky,G,SG,11-27-2019,21900266,GSW,CHI,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.34,6.035,23,4,2,23
140931,2020,2019-20,1610612744,Golden State Warriors,1629016,Omari Spellman,C,C,11-27-2019,21900266,GSW,CHI,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.03,5.835,0,4,2,34
140936,2020,2019-20,1610612741,Chicago Bulls,203107,Tomas Satoransky,G,SG,11-27-2019,21900266,GSW,CHI,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.11,8.585,28,4,2,53
