,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
158560,2020,2019-20,1610612742,Dallas Mavericks,203552,Seth Curry,G,SG,11-14-2019,21900162,NYK,DAL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,2.16,7.285,26,4,0,2
158573,2020,2019-20,1610612742,Dallas Mavericks,1629029,Luka Doncic,G,PG,11-14-2019,21900162,NYK,DAL,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.05,6.045,2,4,0,5
158580,2020,2019-20,1610612752,New York Knicks,202694,Marcus Morris Sr.,F,SF-PF,11-14-2019,21900162,NYK,DAL,Made Shot,True,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.14,8.355,25,4,0,13
158587,2020,2019-20,1610612752,New York Knicks,1629628,RJ Barrett,G,SG,11-14-2019,21900162,NYK,DAL,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.15,5.965,2,4,0,27
158594,2020,2019-20,1610612742,Dallas Mavericks,203552,Seth Curry,G,SG,11-14-2019,21900162,NYK,DAL,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.715,0,4,0,38
158597,2020,2019-20,1610612742,Dallas Mavericks,203501,Tim Hardaway Jr.,G,SG,11-14-2019,21900162,NYK,DAL,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.32,5.825,23,4,0,39
158602,2020,2019-20,1610612752,New York Knicks,1628372,Dennis Smith Jr.,G,PG,11-14-2019,21900162,NYK,DAL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-0.42,7.675,19,4,0,47
158603,2020,2019-20,1610612742,Dallas Mavericks,204001,Kristaps Porzingis,C,C,11-14-2019,21900162,NYK,DAL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,-1.36,6.355,14,4,1,13
158604,2020,2019-20,1610612752,New York Knicks,203944,Julius Randle,F,PF,11-14-2019,21900162,NYK,DAL,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.13,5.805,1,4,1,32
158606,2020,2019-20,1610612742,Dallas Mavericks,1629029,Luka Doncic,G,PG,11-14-2019,21900162,NYK,DAL,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.7100000000000002,7.885,27,4,1,52
158608,2020,2019-20,1610612752,New York Knicks,202694,Marcus Morris Sr.,F,SF-PF,11-14-2019,21900162,NYK,DAL,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.11,5.865,1,4,2,11
158612,2020,2019-20,1610612742,Dallas Mavericks,1626153,Delon Wright,G,PG,11-14-2019,21900162,NYK,DAL,Made Shot,True,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.08,5.845,1,4,2,32
158613,2020,2019-20,1610612752,New York Knicks,202694,Marcus Morris Sr.,F,SF-PF,11-14-2019,21900162,NYK,DAL,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,0.72,6.865,13,4,2,48
158618,2020,2019-20,1610612752,New York Knicks,1628373,Frank Ntilikina,G,PG,11-14-2019,21900162,NYK,DAL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.55,8.245000000000001,25,4,2,59
158624,2020,2019-20,1610612742,Dallas Mavericks,203939,Dwight Powell,C,C,11-14-2019,21900162,NYK,DAL,Made Shot,True,Alley Oop Layup shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.2,6.215,4,4,3,13
158627,2020,2019-20,1610612752,New York Knicks,1628373,Frank Ntilikina,G,PG,11-14-2019,21900162,NYK,DAL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,1.28,7.135,18,4,3,37
158628,2020,2019-20,1610612742,Dallas Mavericks,1629029,Luka Doncic,G,PG,11-14-2019,21900162,NYK,DAL,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.5900000000000001,8.395,26,4,3,55
158629,2020,2019-20,1610612752,New York Knicks,202694,Marcus Morris Sr.,F,SF-PF,11-14-2019,21900162,NYK,DAL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.44,8.375,26,4,4,15
158642,2020,2019-20,1610612752,New York Knicks,1629628,RJ Barrett,G,SG,11-14-2019,21900162,NYK,DAL,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.16,5.785,1,4,4,59
158645,2020,2019-20,1610612752,New York Knicks,1629628,RJ Barrett,G,SG,11-14-2019,21900162,NYK,DAL,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.03,6.235,4,4,5,2
158652,2020,2019-20,1610612752,New York Knicks,202694,Marcus Morris Sr.,F,SF-PF,11-14-2019,21900162,NYK,DAL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.0,8.025,24,4,5,41
158661,2020,2019-20,1610612742,Dallas Mavericks,203501,Tim Hardaway Jr.,G,SG,11-14-2019,21900162,NYK,DAL,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.39,5.845,23,4,6,8
158663,2020,2019-20,1610612752,New York Knicks,1629011,Mitchell Robinson,C,C,11-14-2019,21900162,NYK,DAL,Made Shot,True,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.715,0,4,6,22
158667,2020,2019-20,1610612752,New York Knicks,203944,Julius Randle,F,PF,11-14-2019,21900162,NYK,DAL,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.03,6.135,3,4,6,24
158669,2020,2019-20,1610612742,Dallas Mavericks,1628973,Jalen Brunson,G,PG,11-14-2019,21900162,NYK,DAL,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.4,6.135,5,4,6,51
158677,2020,2019-20,1610612742,Dallas Mavericks,1626246,Boban Marjanovic,C,C,11-14-2019,21900162,NYK,DAL,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.715,0,4,7,19
158682,2020,2019-20,1610612742,Dallas Mavericks,1626153,Delon Wright,G,PG,11-14-2019,21900162,NYK,DAL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.63,7.725,25,4,7,21
158684,2020,2019-20,1610612752,New York Knicks,202694,Marcus Morris Sr.,F,SF-PF,11-14-2019,21900162,NYK,DAL,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,0.22,7.625,18,4,7,38
158688,2020,2019-20,1610612752,New York Knicks,1628422,Damyean Dotson,G,SG,11-14-2019,21900162,NYK,DAL,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.3299999999999999,6.835,11,4,7,53
158701,2020,2019-20,1610612752,New York Knicks,203944,Julius Randle,F,PF,11-14-2019,21900162,NYK,DAL,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.02,5.875,1,4,8,37
158712,2020,2019-20,1610612752,New York Knicks,201959,Taj Gibson,C,C,11-14-2019,21900162,NYK,DAL,Missed Shot,False,Floating Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,0.22,7.465,17,4,8,16
158733,2020,2019-20,1610612742,Dallas Mavericks,203501,Tim Hardaway Jr.,G,SG,11-14-2019,21900162,NYK,DAL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.21,8.515,27,4,8,45
158741,2020,2019-20,1610612742,Dallas Mavericks,203501,Tim Hardaway Jr.,G,SG,11-14-2019,21900162,NYK,DAL,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.13,5.785,1,4,9,4
158747,2020,2019-20,1610612742,Dallas Mavericks,1626246,Boban Marjanovic,C,C,11-14-2019,21900162,NYK,DAL,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.13,5.855,1,4,9,14
158751,2020,2019-20,1610612742,Dallas Mavericks,203501,Tim Hardaway Jr.,G,SG,11-14-2019,21900162,NYK,DAL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,0.96,6.005,9,4,9,18
158758,2020,2019-20,1610612752,New York Knicks,203944,Julius Randle,F,PF,11-14-2019,21900162,NYK,DAL,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.905,1,4,9,49
158762,2020,2019-20,1610612742,Dallas Mavericks,1626246,Boban Marjanovic,C,C,11-14-2019,21900162,NYK,DAL,Missed Shot,False,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.36,5.985,4,4,10,14
158765,2020,2019-20,1610612752,New York Knicks,203944,Julius Randle,F,PF,11-14-2019,21900162,NYK,DAL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.54,8.245000000000001,25,4,10,31
158770,2020,2019-20,1610612752,New York Knicks,1626171,Bobby Portis,F,PF,11-14-2019,21900162,NYK,DAL,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,0.76,6.135,8,4,10,34
158775,2020,2019-20,1610612742,Dallas Mavericks,1628973,Jalen Brunson,G,PG,11-14-2019,21900162,NYK,DAL,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.33,5.835,23,4,10,58
158778,2020,2019-20,1610612752,New York Knicks,1628995,Kevin Knox II,F,SF,11-14-2019,21900162,NYK,DAL,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.4,7.835,24,4,11,9
158781,2020,2019-20,1610612742,Dallas Mavericks,203501,Tim Hardaway Jr.,G,SG,11-14-2019,21900162,NYK,DAL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.31,8.085,26,4,11,18
